ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_bab8e2e0,0.20485788132590044,,0.08105824438975265,0.06216975936900542,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_bab8e2e0,0.09656083711928747,,0.11047888370100915,0.03507076793792542,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_bab8e2e0,0.0744949662594608,,0.3365182853226154,0.059401350789023845,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_bab8e2e0,0.11151940781001148,,0.1365975744169081,0.04607836009434726,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_bab8e2e0,-0.0364855579891341,,0.17354361614184952,0.0175749877151905,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_bab8e2e0,0.25055758317016213,,0.0712018364142054,0.07069036023579092,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_bab8e2e0,0.09082084143501377,,0.12073305380735042,0.03479021451445726,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_bab8e2e0,0.08975135340669287,,0.024625619130051256,0.014350695576079082,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_bab8e2e0,0.2898991102268942,,0.0015616102304660169,0.011469442752487834,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_bab8e2e0,0.15945839599013364,,0.04535066624094413,0.03516533695899658,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_bab8e2e0,0.3337630194992207,,0.026071071382095894,0.0549719505710805,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_bab8e2e0,0.19581800803304228,,0.08470410873895161,0.06093212085234995,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_bab8e2e0,0.11435849499630803,,0.2662678001706413,0.07488006067685123,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_bab8e2e0,0.13510404918316782,,0.15528230771118015,0.0605295885742383,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_bab8e2e0,0.021448417942730974,,0.2582180257182534,0.013711790349068423,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_bab8e2e0,0.13237367340823492,,0.05044077998036235,0.030911756285980183,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_bab8e2e0,0.03434954892080692,,0.7855983754816517,0.1106520404600564,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_bab8e2e0,0.17906996642950657,,0.02515226521620735,0.028948517482945725,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_bab8e2e0,0.09469587210188278,,0.06657641884446118,0.025737182543983772,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_bab8e2e0,0.029661834344452437,,0.7565182880154289,0.08354992749026302,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_bab8e2e0,0.0644046860876651,,0.38043044466553855,0.057696548732721765,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_bab8e2e0,0.2770703171946151,,0.042853046499557464,0.05927873834967354,,
V3d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_bab8e2e0,0.2174947886283667,,0.06665081493258392,0.05914902451551528,,
FFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_bab8e2e0,-0.017915961645239318,,0.823361406942113,0.07059213664634933,,
RSC_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_bab8e2e0,0.15678614292169138,,0.2254928560687763,0.09054667773038895,,
OFA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_bab8e2e0,0.16118785155417978,,0.048306688438641485,0.03677305504323873,,
EBA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_bab8e2e0,0.016831126629075894,,0.5050115621203635,0.020891648609231293,,
mfs-words_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_bab8e2e0,-0.03630365651943499,,0.5455232023421062,0.0503134001651173,,
hV4_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_bab8e2e0,0.17569339690153732,,0.023800720360605834,0.02760020947504774,,
RSC_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_bab8e2e0,0.2606120516816255,,0.061534962805702954,0.06781899618286003,,
V3v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_bab8e2e0,0.21709430603631832,,0.09925907079815721,0.07402528765729288,,
V1v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_bab8e2e0,0.25482406241003813,,0.016129772816941217,0.03276109232833889,,
EBA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_bab8e2e0,0.04748288206517498,,0.3873836699680183,0.043318128533631935,,
V1d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_bab8e2e0,0.30791871582765323,,0.05525802126282203,0.07555035942636218,,
FFA-2_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_bab8e2e0,0.11436075955166337,,0.03724019842395159,0.022708249389754808,,
V2v_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_bab8e2e0,0.09750937662585213,,0.2574513060186586,0.0621937086321305,,
PPA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_bab8e2e0,0.027368630855086406,,0.6079285019679921,0.04540773355741099,,
V2d_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_bab8e2e0,0.2025067105072358,,0.0003717343553385394,0.0039055021121307066,,
OWFA_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_bab8e2e0,0.060445756482157116,,0.018856566219269927,0.008419912582930195,,
V2v_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_bab8e2e0,0.19778343148971153,,0.12700254389092716,0.07813340217769854,,
V3d_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_bab8e2e0,0.12178960321557629,,0.331718641740657,0.09586398068133402,,
VWFA-2_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_bab8e2e0,0.1842505837473657,,0.015477682233132447,0.023192590817801742,,
EBA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_bab8e2e0,-0.005842036219684779,,0.936486977193129,0.06490957146131615,,
OWFA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_bab8e2e0,0.02731021509769055,,0.3165742847972487,0.0206278328027018,,
mfs-words_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_bab8e2e0,0.08826725575937218,,0.12002260497482248,0.03369154667078471,,
OPA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_bab8e2e0,0.023622306986261433,,0.11535706473965447,0.008803916939885522,,
V1v_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_bab8e2e0,0.26744286695448083,,0.04240759105315088,0.05690078585258202,,
OFA_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_bab8e2e0,0.07890782825707189,,0.31592003589346673,0.059493314040585284,,
FFA-1_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_bab8e2e0,0.11824113478034205,,0.3418722521213513,0.09564985354549878,,
V2d_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_bab8e2e0,0.08184239830125765,,0.36211980134895305,0.06987011076554146,,
V3v_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_bab8e2e0,0.09203599281569762,,0.19146098223390234,0.04736371986743765,,
