ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.19033050668968232,,0.07351088160885046,0.054665355755908585,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.07316731053052304,,0.18221263384284178,0.036410151004569825,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.08160184699366389,,0.33853451712271065,0.0654221698456542,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.10592341713518615,,0.12150171738275649,0.040731713246928786,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,-0.04110578422069346,,0.23684741161919107,0.024612505700273787,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.23385064454160545,,0.08169391234794107,0.0712836468704167,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.11391938351790863,,0.11329387892052693,0.042000868813696385,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.08501960560631204,,0.05154953419300252,0.020088452913731097,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.2918146198876288,,0.002334606394933623,0.014124573696629701,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.14446782921127624,,0.037394739438280436,0.028749457469799927,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.32871435804805765,,0.02655418537670066,0.05466017134675616,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.17543468228918488,,0.0728447612675662,0.05013090125369415,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.12173181647213953,,0.24938090651539194,0.07576993722993493,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.11682087660375477,,0.12603617307630816,0.045934628775885354,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.02402099537595612,,0.060594898071707974,0.006198339838856108,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.13135255025447964,,0.03881147056662712,0.02665966288599476,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.04367950374001927,,0.7185347015734542,0.10529679140916548,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.17145601297050364,,0.03339132605420868,0.032141255929363906,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.09657187712770798,,0.08961129268388966,0.031034950396125385,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.0418297594111787,,0.6351653407919264,0.07548448503702129,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.03335920934271997,,0.5194490149673362,0.04304715225775685,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.2598820300345662,,0.050108244024869415,0.06047097592883823,,
V3d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.19850863873674132,,0.0733574346517927,0.056947519359791636,,
FFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.01023134753020291,,0.9076482917888278,0.07800329515829485,,
RSC_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.15947256141361038,,0.16252356594895773,0.07358129671891071,,
OFA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.17574197133924163,,0.053221886856467164,0.04224892347073739,,
EBA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.021320275082874943,,0.3147559101005486,0.016023259292617713,,
mfs-words_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,-0.04112489171275476,,0.520105659085057,0.053162486482375086,,
hV4_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.1639695759387362,,0.04373999928152787,0.03546704115465061,,
RSC_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.2787178761434837,,0.03227745894472796,0.05132519026945899,,
V3v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.2006645677080933,,0.121186080379718,0.077041906759966,,
V1v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.25493633798695226,,0.011055966646556177,0.027030536899112067,,
EBA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.07325585454012394,,0.19637750935795684,0.03836135626377342,,
V1d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.298910292740717,,0.045026946127020316,0.0656661249690621,,
FFA-2_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.11587913622219613,,0.03968156651026898,0.023797574891430848,,
V2v_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.09428902322510992,,0.26919850499175163,0.062273985965227464,,
PPA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.0140887692111536,,0.6527977287930182,0.026907987685935983,,
V2d_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.1966864617537446,,0.0015194950468552324,0.007675726338982855,,
OWFA_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.05146963948165816,,0.008104780651511458,0.004662020820587473,,
V2v_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.18710326705025268,,0.151121030381794,0.08238294121298691,,
V3d_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.10723802293896888,,0.38775499443310235,0.09792707216599197,,
VWFA-2_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.19305278575031426,,0.021704377005161528,0.028914136164992787,,
EBA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,-0.0038540997629938393,,0.9558719784918503,0.06169787963293053,,
OWFA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.02651756557417637,,0.30826163165591713,0.019575061017293508,,
mfs-words_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.07129366102099134,,0.16763910614577926,0.03356737857781187,,
OPA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.001927989263716811,,0.886704435119781,0.011955600211176838,,
V1v_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.2584194073875413,,0.043356546939915655,0.05563437517172997,,
OFA_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.06731626847201606,,0.37921332397712537,0.060112857369020764,,
FFA-1_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.12548250253560386,,0.30074023128547456,0.09071002437899557,,
V2d_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.07251667030198218,,0.38848016718110634,0.06634597237280966,,
V3v_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.07880729899360395,,0.24760059722443267,0.04878602063619051,,
EBA_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.11847716395248353,,0.15418406743555738,0.05283938261329696,,
VWFA-1_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.11140055885586984,,0.2610802416077655,0.07182933838417913,,
RSC_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,-0.07023117532313876,,0.5423438946942665,0.09648073292536084,,
OPA_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.041747326070807673,,0.09230642793364491,0.01364723553161503,,
hV4_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.11969401758641611,,0.28362319633030486,0.08243148497274057,,
FBA-2_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.09592238831682025,,0.011024302725065126,0.010155695470524098,,
hV4_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.09921452311663585,,0.37006366232984467,0.08649422913495439,,
V1d_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.30499810932343735,,0.03313808944681104,0.05694667423061563,,
V1d_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.35762535097560805,,0.017257973687018195,0.047599432804235765,,
VWFA-1_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.12177648498676719,,0.08249718560470268,0.03732747409385321,,
V3d_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.13111772609059905,,0.020634878594943423,0.019132234419773395,,
FFA-1_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.09525198350173414,,0.2663122968882161,0.062377624918172815,,
RSC_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,-0.03298477507525525,,0.8082402946313474,0.11937290787051993,,
V1v_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.3337768164878607,,0.03147523224533612,0.06065761808795476,,
PPA_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.09601246065174478,,0.21044526870287514,0.05276821916392743,,
V3v_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.1542763759792173,,0.18190883725744253,0.07668624209230081,,
OFA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.022376208193917457,,0.07815404118588404,0.006651937304852432,,
V3v_lh_subj03,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,-0.061175227239638065,,0.24919166848904142,0.038055512188340614,,
PPA_lh_subj03,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,0.02107317791383097,,0.743586756472578,0.05617028914287627,,
RSC_lh_subj03,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,-0.05183523648334095,,0.5498514383156481,0.07270815935085145,,
V3d_lh_subj03,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,-0.10952730704380143,,0.43963644701225557,0.11447147400884257,,
VWFA-1_lh_subj03,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,-0.09000885292468297,,0.06840612601098899,0.024834133587613653,,
RSC_rh_subj03,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,-0.06418822824240798,,0.5088506186882734,0.0804975233732907,,
V3v_rh_subj03,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,-0.14674247685305272,,0.013020540953562464,0.016910012779776846,,
OPA_rh_subj03,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,-0.051582086153675565,,0.18683004246630644,0.026106292096858667,,
OPA_lh_subj03,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,-0.057787596588325975,,0.26078571022645974,0.037227830134781724,,
hV4_lh_subj03,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,-0.0421359757843538,,0.049035848064040835,0.0096907056476057,,
V2d_rh_subj03,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,-0.06939999756487825,,0.2546017182029186,0.04388680926914144,,
V3d_rh_subj03,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,-0.1270915171660412,,0.15928026710291995,0.057879550138577776,,
OFA_rh_subj03,backbone.blocks.1,vit_base_t=15_gs=448_27576fc0,-0.13244237889517807,,0.10715787062247392,0.0472396351482143,,
