ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_f26a3a60,0.18763572782271778,,0.08281136360252954,0.05763937513980367,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_f26a3a60,0.08261045635792713,,0.1715123145481593,0.039484590636075435,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_f26a3a60,0.07675553096057948,,0.27342203435793777,0.051324214514741465,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_f26a3a60,0.10081047156819091,,0.15867167232514617,0.04579736101095095,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_f26a3a60,-0.038235647198925284,,0.44741705827125666,0.04077928885784841,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_f26a3a60,0.23534798403352788,,0.08281671065640252,0.07229864487510537,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_f26a3a60,0.10366404078715019,,0.1105761762748435,0.037670367326623586,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_f26a3a60,0.08114193546192865,,0.0800204298342746,0.024445612619063226,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_f26a3a60,0.28676620974355777,,0.006350830060506238,0.022962518451140265,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_f26a3a60,0.14932639995584188,,0.05480781291095676,0.03647572798634275,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_f26a3a60,0.3239139147171353,,0.029896525214347734,0.057299577882571964,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_f26a3a60,0.16114597737243705,,0.1049585881596491,0.05677794683752757,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_f26a3a60,0.12565784102921262,,0.23679256572928728,0.07522596014194113,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_f26a3a60,0.12000580724077041,,0.1494996518108446,0.05247802054598096,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_f26a3a60,0.01750739925863641,,0.4849625311648226,0.020603148503928442,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_f26a3a60,0.13545812512656905,,0.02462472961920947,0.021658524348842422,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_f26a3a60,0.04114355628191635,,0.7315300321720317,0.10438721089185407,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_f26a3a60,0.15914571626487145,,0.05577626940232114,0.039246677411536396,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_f26a3a60,0.09212714620552809,,0.1290922855386763,0.03676011072374379,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_f26a3a60,0.03649333816007537,,0.6872486391116202,0.07836958885186353,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_f26a3a60,0.04380994637303746,,0.4561606357597976,0.04780210724808138,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_f26a3a60,0.24543823757476504,,0.06599976058294414,0.06638648587441888,,
V3d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_f26a3a60,0.19044620381740365,,0.06700036821722369,0.05194339487095533,,
FFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_f26a3a60,0.006366374914378044,,0.9381387286856052,0.07263163070598942,,
RSC_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_f26a3a60,0.15813077486595234,,0.2038074079349221,0.0849707989841161,,
OFA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_f26a3a60,0.1528078622240675,,0.029176032432395145,0.02668868935477273,,
EBA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_f26a3a60,0.018377682782419132,,0.45005717693175484,0.01973558021283206,,
mfs-words_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_f26a3a60,-0.04060588032482382,,0.48287247407721423,0.04752296687163427,,
