ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.213627703874354,,0.05143968406939081,0.050417777383025476,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.09354609972761378,,0.2006363944823272,0.04971994496631834,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.07406529321903747,,0.29805015550167324,0.05313879741451969,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.11732801969498746,,0.10082094580133384,0.04037373243519648,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,-0.025283643649254464,,0.38223331948196404,0.022757387073772655,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.22728769903654658,,0.07341572717939092,0.06523258178826884,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.07588946031161932,,0.10822394191543634,0.027227464138856374,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.0997598967363658,,0.04616963822314339,0.022212196835689584,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.3081642732366034,,0.001965956989243773,0.013683915460468212,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.14273985769347808,,0.04368726250180761,0.030855094341413713,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.31931993644623374,,0.020364610474144472,0.04627828207540896,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.18757435538431752,,0.08229303292598153,0.05741522794153296,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.11098806682637564,,0.2994381336733073,0.07994007790866675,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.126995324329389,,0.1250709393278047,0.04970161695147596,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.033358850425115015,,0.22078707431718986,0.01897320569025828,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.1390621361142922,,0.03276492067499358,0.025810388990784913,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.026379693858226777,,0.8286266744674978,0.10723551672120288,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.17878214031667153,,0.025207897558704635,0.02893517650355781,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.09587120654996704,,0.053169385077540175,0.02303540252314496,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.0237683326408856,,0.7872001429779178,0.07717018437797037,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.06124287337870287,,0.31017759819793767,0.04544948986110776,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.2626144745920908,,0.04612547423712673,0.058442820688520504,,
V3d_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.2302701886252356,,0.04978617967887393,0.05339454525982172,,
FFA-1_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,-0.01597064568555423,,0.8412699078464982,0.07024364327389396,,
RSC_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.16644876800192934,,0.1366849696782412,0.06880180137169663,,
OFA_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.14050805850216577,,0.07185997259414605,0.03984607437369082,,
EBA_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.004236214871383637,,0.8652725343439982,0.02203073999329896,,
mfs-words_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,-0.02153842502818475,,0.7250477371605988,0.05325641271422078,,
hV4_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.15799679750904305,,0.046067545912073585,0.0351372666069108,,
RSC_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.2757449574042375,,0.042310001321476,0.05859507437113715,,
V3v_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.19319858388312505,,0.12111341049338895,0.07414852279842661,,
V1v_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.27036605951990583,,0.008082747346428588,0.024455518659516947,,
EBA_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.04896323595513836,,0.430919976802149,0.05002678971284272,,
V1d_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.3161944673145882,,0.04977828529021461,0.07331220433145592,,
FFA-2_rh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.12264332603134515,,0.025547215682078045,0.01998772128348474,,
V2v_rh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.0938176673635905,,0.23035137520030044,0.05503209691328733,,
PPA_rh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.028553106965548178,,0.7124798168169145,0.06725635766179207,,
V2d_rh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.18919460166212312,,0.0013725824758496214,0.0070165787264316135,,
OWFA_lh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.06613159455324191,,0.01238737408976558,0.0074295560458026485,,
V2v_lh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.19016877183561834,,0.15598291968166042,0.08544643753550506,,
V3d_lh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.10565316681988086,,0.34655943923683175,0.08654552008228365,,
VWFA-2_lh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.19845975979150812,,0.02159485756415066,0.02964637002828295,,
EBA_rh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.018565923080260793,,0.785899915432846,0.059895690480338735,,
OWFA_rh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.028094624842875143,,0.1732545473795824,0.013518165624878661,,
mfs-words_lh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.09836912970737181,,0.040219562622040524,0.020346715772374527,,
OPA_rh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.02840799340748591,,0.03234188902099442,0.005236741431196524,,
V1v_lh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.26808960650944913,,0.03387969067728,0.05064172967368534,,
OFA_lh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.08007834861265965,,0.268709612728462,0.052812509727512884,,
FFA-1_lh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.14384031098983582,,0.20920237174891806,0.07872393871944235,,
V2d_lh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.07525679243625873,,0.358239441077684,0.06359153257527193,,
V3v_lh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.08746613051311179,,0.25146045400321526,0.05478765896155784,,
EBA_lh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.10988217042077086,,0.08903041464565008,0.035180696997717906,,
VWFA-1_lh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.12600446857154898,,0.1847538621164355,0.06329169443550921,,
RSC_rh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,-0.09170802180683026,,0.35728147181968983,0.07729623367560841,,
OPA_lh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.05788192407982908,,0.013700681012343863,0.006845617867214183,,
hV4_lh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.13421128583000436,,0.28131870709601103,0.09181944857786306,,
FBA-2_rh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.10568910670944419,,0.008493485071235466,0.009802875496956248,,
hV4_rh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.09198525011559809,,0.41417016358633185,0.08998070803542497,,
V1d_lh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.30575010781369266,,0.03192985799531457,0.05598395491458828,,
V1d_rh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.35265478322427796,,0.015447919053677362,0.04434680430119438,,
VWFA-1_rh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.14007783461931264,,0.05857131077727614,0.0354789032430016,,
V3d_rh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.13236504524215895,,0.01580709319348549,0.016842092069612406,,
FFA-1_rh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.09068494694705688,,0.26683103161568983,0.05947778002269779,,
RSC_lh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,-0.0497367485548671,,0.6440942880214547,0.09234574806976462,,
V1v_rh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.3243760620454252,,0.03793364052652338,0.0650425977538969,,
PPA_lh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.09277774700253082,,0.16114711257678083,0.042572365055609004,,
V3v_rh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.14876553951995872,,0.1918113294563076,0.07665378166498357,,
OFA_rh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.016304845403219952,,0.07793849730574587,0.004839510669365362,,
V3v_lh_subj03,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,-0.04620857087422514,,0.14084383985559623,0.01946087191192426,,
PPA_lh_subj03,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,0.027737521312512753,,0.6557792087291302,0.05349703079959761,,
RSC_lh_subj03,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,-0.07556398202194968,,0.4266277622986484,0.0763490214745643,,
V3d_lh_subj03,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,-0.10227984423976633,,0.4756924922086484,0.11745957534999137,,
VWFA-1_lh_subj03,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,-0.10089410818008894,,0.08284196730210062,0.030999935674568258,,
RSC_rh_subj03,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,-0.052527426455818704,,0.5934148386320965,0.08346066054000875,,
V3v_rh_subj03,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,-0.14263319975880762,,0.006265249063704058,0.011343263202989229,,
OPA_rh_subj03,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,-0.030569346429272847,,0.523212550635584,0.03985147625225818,,
OPA_lh_subj03,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,-0.0413960165764373,,0.4945753103116153,0.04997270226813262,,
hV4_lh_subj03,backbone.blocks.1,vit_base_t=20_gs=224_bed03ddb,-0.03490762311094362,,0.20873688912668506,0.01907496087446357,,
