ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.22567008397818286,,0.06371167006417923,0.05986098944436971,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.07180206141526181,,0.2674614972653912,0.04718060893261335,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.04316704391050649,,0.516928843460793,0.055325147585749135,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.11726648781639137,,0.09213107247591416,0.03829244512961327,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,-0.015979210652835026,,0.617250245267325,0.027272681068460865,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.23969424012944285,,0.07224000837238884,0.06817455866352426,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.07457612475163934,,0.11243521501991748,0.02737076034242122,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.09836244762261859,,0.05463014883030346,0.023984455500778972,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.3068382823336911,,0.002949693605057074,0.016701690428949437,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.13712391144232608,,0.04086413843592649,0.02860365402491801,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.31900829350832405,,0.02179422917816287,0.04788100356336011,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.20099704991931797,,0.07311681221525966,0.05755538967238647,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.10880840433723094,,0.3029058421518488,0.07913394096112236,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.12479803569523958,,0.143720586873232,0.05323023875971936,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.03506009960112329,,0.040144530037881876,0.007244651774754444,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.12315920769533036,,0.03498170941988823,0.023660295056480395,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.014015075253647471,,0.9015383205596288,0.10016079159210263,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.18057599683922917,,0.022079117355812722,0.02728579517684446,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.09898128592011934,,0.07208598378530388,0.028118982682964293,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.009320443710624135,,0.9095354620280088,0.07255357426817084,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.051315340502142315,,0.36822260813109964,0.044519862803068126,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.26537021698398067,,0.042581128139951865,0.05658296032785724,,
V3d_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.23726127484551615,,0.05469778085275742,0.05789213669807976,,
FFA-1_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,-0.021369330825004054,,0.7764989545417028,0.06589750562519463,,
RSC_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.1654006536339758,,0.15054586181684113,0.07265047891578387,,
OFA_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.15209825468030783,,0.055586109634347895,0.037439010675168714,,
EBA_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,-0.0015324791597324256,,0.9329029656429685,0.01611374355219306,,
mfs-words_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,-0.04275095495807172,,0.4593631675544404,0.04703849474987267,,
hV4_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.1698966704788344,,0.03858246899206561,0.034374616948619784,,
RSC_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.2672402307693866,,0.05550470454502768,0.06572875213109587,,
V3v_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.20684332660065266,,0.10594353409936676,0.07328165294064137,,
V1v_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.2593699303082903,,0.009833681951184536,0.02591189906574076,,
EBA_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.038060688574439706,,0.42495403997660297,0.038289234456300635,,
V1d_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.30672485138987576,,0.05790940316893556,0.07720591690904685,,
FFA-2_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.11977009380699867,,0.022506952124026633,0.01827828904632541,,
V2v_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.10437898452964317,,0.20560832952638622,0.056434198637053415,,
PPA_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.024264169535318375,,0.6859256903843931,0.051864060723440034,,
V2d_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.1908684438978356,,0.004683237923210907,0.013108012695631912,,
OWFA_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.07278667298043896,,0.016228031231849304,0.009386878985824383,,
V2v_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.19089812690816677,,0.1272214204892434,0.07549286844913485,,
V3d_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.1147941279973571,,0.31232681085172187,0.08569813919212173,,
VWFA-2_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.20410223453793497,,0.022648723825204192,0.031249700512156097,,
EBA_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.012577704057633263,,0.8588153746339817,0.06236297569004752,,
OWFA_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.028833076210631043,,0.1368102416256599,0.011924977060938136,,
mfs-words_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.08855202874865975,,0.089412576911946,0.028421345435402565,,
OPA_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.001154076254124883,,0.9505671033258465,0.016488159292821367,,
V1v_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.2651719985030691,,0.03527292527523353,0.05116583323890746,,
OFA_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.09097810309462784,,0.19504386439126253,0.047418644716443664,,
FFA-1_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.14396004369126156,,0.22480463051775545,0.08295479732243285,,
V2d_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.08041854761565925,,0.2703719778777449,0.05329628255070685,,
V3v_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.09499329663229283,,0.1551484842114992,0.04253554986142462,,
EBA_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.10892807519978946,,0.09886118367985065,0.037055523410642305,,
VWFA-1_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.12291857495197234,,0.22451996300770347,0.07076479848112889,,
RSC_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,-0.07275548195427764,,0.5175275134109931,0.09339813718394356,,
OPA_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.039008482354628955,,0.18623738251632568,0.019700169999657575,,
hV4_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.1312541848034032,,0.2652228763572843,0.08567810811402692,,
FBA-2_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.10622844943957678,,0.014654438723014288,0.013002891216923643,,
hV4_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.10188364340841859,,0.3702594303649419,0.08886691405199355,,
V1d_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.3069907681099406,,0.03580249152764721,0.05970263728860034,,
V1d_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.3620762836700741,,0.01109770382022113,0.03846404778376345,,
VWFA-1_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.12379921640243587,,0.09686444239546856,0.04161663962568787,,
V3d_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.13800374569087592,,0.007297458057779275,0.011853968901803506,,
FFA-1_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.09515283718745943,,0.24208727729631024,0.05791248286005619,,
RSC_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,-0.03348630366908878,,0.7769872526778753,0.10350109973069423,,
V1v_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.3471722707251395,,0.026483614844925136,0.05764952941451798,,
PPA_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.09226486735354399,,0.12757019875377673,0.036548390805637744,,
V3v_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.17041245630239552,,0.1441827796588468,0.07283323742771064,,
OFA_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.017911697368272257,,0.0008376317606456933,0.0005187239240450421,,
V3v_lh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,-0.04481067948938467,,0.2260961423358177,0.025929320472958452,,
PPA_lh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.0066332329392768145,,0.9113157945367827,0.05268043849085422,,
RSC_lh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,-0.08538053636182956,,0.4134243157227253,0.08335818119570948,,
V3d_lh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,-0.09828388553460743,,0.4889651739534381,0.11689421616993476,,
VWFA-1_lh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,-0.0975078083928536,,0.08067438858956692,0.029511902592220387,,
RSC_rh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,-0.0616592310800231,,0.568521105148446,0.09115685212693807,,
V3v_rh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,-0.13129019217326912,,0.014945829739964958,0.016233171200257242,,
OPA_rh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,-0.03660915240458839,,0.3834267574922545,0.03305437150851805,,
OPA_lh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,-0.059631286369899415,,0.33070009257527944,0.04680828810598713,,
hV4_lh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,-0.02986807104663408,,0.06177562925021862,0.007789257875238321,,
V2d_rh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,-0.046911570231429445,,0.39142453752851225,0.04325091281290519,,
V3d_rh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,-0.11013509081933771,,0.19459233400339518,0.057311986535160446,,
OFA_rh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,-0.13040463285419668,,0.09519632332701765,0.043396915677921546,,
EBA_rh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.040755167487754436,,0.4866158587494933,0.048171808816143524,,
V1v_lh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.19007609904339393,,0.06213432073207668,0.04972782702832453,,
V1v_rh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.059113721838551604,,0.43796967056574587,0.061514897224276756,,
mfs-words_lh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.030326156605836718,,0.6103414816598144,0.050682577308341664,,
OWFA_lh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,-0.10332715652093127,,0.04242854763185301,0.02198954202749701,,
hV4_rh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,-0.1487592017505491,,0.009457915599166518,0.014570662832031428,,
EBA_lh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.0330321771974439,,0.6543938844096928,0.0634189978607053,,
V2v_lh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.1514717202351552,,0.05004326324544539,0.03522070392751884,,
FFA-1_lh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.023559590297766397,,0.6696528335988505,0.04759808715666779,,
VWFA-2_lh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,-0.1460415640052546,,0.07400336221296909,0.04210227424125313,,
FFA-2_rh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,-0.08688183298165149,,0.5146918984527908,0.11068235134507155,,
V2d_lh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,-0.05116811135281013,,0.7043207491385092,0.11689543018656387,,
OFA_lh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,-0.028717548150046512,,0.45838624506416714,0.0315171001475655,,
OWFA_rh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,-0.21333398367438408,,0.041573279290307,0.044910401385791436,,
V1d_lh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.033871356060121795,,0.820430032838046,0.13120987186140803,,
FFA-1_rh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,-0.050434119203085735,,0.4362109281914801,0.05224324528831962,,
PPA_rh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,-0.11195733785016874,,0.04091621457292126,0.023369813436865772,,
V2v_rh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,-0.044306826832987346,,0.01828157226685037,0.0060743030114952185,,
VWFA-1_rh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,-0.11863909601351397,,0.005860631179040802,0.00912253436045456,,
FBA-2_rh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,-0.06750206447068048,,0.3261267140248635,0.05233332082405004,,
V1d_rh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.10825367719303164,,0.2841542829163184,0.07466626880148378,,
RSC_lh_subj04,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.007588854973509721,,0.9071575507839946,0.05754860552641464,,
hV4_rh_subj04,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,-0.04094368275371441,,0.5332566071573863,0.05485786730666768,,
PPA_lh_subj04,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,3.0537005898203844e-05,,0.9993795996327262,0.034804814650766853,,
hV4_lh_subj04,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,-0.019693039787568877,,0.5206281670370267,0.025493399487099715,,
FFA-2_rh_subj04,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.0748251820245537,,0.2180807284086966,0.042181646130769926,,
OWFA_lh_subj04,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.06858442065739533,,0.4894218890908122,0.0816698151442739,,
V1v_lh_subj04,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.08162623040929988,,0.10699822464015232,0.029088827559428973,,
V2d_lh_subj04,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.09178113330023456,,0.01361412149952427,0.01081977408059885,,
V3d_lh_subj04,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.06344490361275905,,0.24704686853540658,0.039209258493625165,,
EBA_lh_subj04,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.017185495955410125,,0.6498436697920078,0.032507349827565035,,
RSC_rh_subj04,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.09000670318563714,,0.3619654827786313,0.07680876562751339,,
OPA_rh_subj04,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,-0.011629471212942782,,0.8054927516321567,0.041470034164790226,,
OWFA_rh_subj04,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.02283752746256218,,0.8155316425710004,0.08603879986082662,,
mfs-words_lh_subj04,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.07519370065252488,,0.5137261412940666,0.0955434216774,,
OFA_lh_subj04,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.052204836146241294,,0.35221006817582456,0.04341235553225114,,
FFA-1_rh_subj04,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.15627300036783096,,0.1005054954309262,0.053676521459226856,,
FFA-1_lh_subj04,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.11898687299036222,,0.13279664578328315,0.048311716345691126,,
PPA_rh_subj04,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.007795009521406854,,0.9075472436476598,0.05936325990910684,,
V2v_rh_subj04,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.030965594926604056,,0.5163595974324984,0.03962618922149562,,
OPA_lh_subj04,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.00833966394796261,,0.8670056464674682,0.043946590396833685,,
V1v_rh_subj04,backbone.blocks.1,vit_base_t=25_gs=224_cf2f1693,0.05517434283249054,,0.6032316898398544,0.09025877901811304,,
