ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b537cdfa,0.20116441001721275,,0.055285349582981175,0.0493706076698645,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b537cdfa,0.06833308320690733,,0.2619124591423767,0.04416945562922875,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b537cdfa,0.06539770645811985,,0.44865316156851964,0.06997331511766988,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b537cdfa,0.09284530585820074,,0.10709647221525016,0.03310489673765806,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b537cdfa,-0.03135906307851322,,0.4824327024070646,0.03665840816856116,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b537cdfa,0.22796286061988522,,0.07607667714431733,0.06674716393892717,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b537cdfa,0.09269473347366046,,0.08151985967012661,0.028221536672569818,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b537cdfa,0.0875896765416101,,0.045721689267471166,0.01940069157902482,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b537cdfa,0.2916442389462568,,0.0029079520933763766,0.01576143721759021,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b537cdfa,0.13102041242401652,,0.06562095360657803,0.03532587532120387,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b537cdfa,0.3243457962636131,,0.02156945208261878,0.04842205685823573,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b537cdfa,0.18082716065670024,,0.08414913081587735,0.05605696370445326,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b537cdfa,0.09960692220004526,,0.36223665761268775,0.08506222568214743,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b537cdfa,0.11661195835267224,,0.1860354525139551,0.05884842668996054,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b537cdfa,0.033527277544949975,,0.2834587654355201,0.02307885029368014,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b537cdfa,0.13250713406245654,,0.04043196413822004,0.027484705216302526,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b537cdfa,0.018149117354074595,,0.8800878942971007,0.10625086510650068,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b537cdfa,0.17081753876529837,,0.020754449042354444,0.024999498592140828,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b537cdfa,0.08965096642515795,,0.1468477086939862,0.03876167706019524,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b537cdfa,0.012642712200842393,,0.8786909361696595,0.07314973251302695,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b537cdfa,0.03997454904922236,,0.5139225475039773,0.050819765620386925,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b537cdfa,0.25486858561677833,,0.03855515794823847,0.05154733656804549,,
V3d_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b537cdfa,0.2127882324087916,,0.0613591711080726,0.0552868170387267,,
FFA-1_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b537cdfa,-0.010589361709181516,,0.901725137043901,0.07582369571195312,,
RSC_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b537cdfa,0.13990458379607798,,0.24944945842442012,0.08709949020956004,,
OFA_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b537cdfa,0.1474637646645389,,0.04720724440573275,0.03322800564785305,,
EBA_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b537cdfa,0.007606639783377486,,0.6118076416109176,0.012769183966280337,,
mfs-words_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b537cdfa,-0.047640398246090426,,0.429143276610239,0.04845099598019772,,
hV4_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b537cdfa,0.16147611207031484,,0.05012331290987629,0.037579371714956664,,
RSC_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b537cdfa,0.25014771773547234,,0.06153928000730992,0.06509837614749199,,
V3v_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b537cdfa,0.19351495641810804,,0.12946718892011885,0.07735295667624399,,
V1v_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b537cdfa,0.24850532791419874,,0.01836389258001486,0.03414793980826355,,
EBA_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b537cdfa,0.04395637859970004,,0.4419767754229885,0.04622121114833652,,
V1d_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b537cdfa,0.3135568596978083,,0.04784739339297248,0.07116734628963355,,
FFA-2_rh_subj02,backbone.blocks.1,vit_base_t=5_gs=224_b537cdfa,0.12125981370532612,,0.03457601068387984,0.023152579324779668,,
V2v_rh_subj02,backbone.blocks.1,vit_base_t=5_gs=224_b537cdfa,0.1063714357546157,,0.19557583552920987,0.055545877193416894,,
PPA_rh_subj02,backbone.blocks.1,vit_base_t=5_gs=224_b537cdfa,0.029093925349734165,,0.6736990440967539,0.05959680574632573,,
V2d_rh_subj02,backbone.blocks.1,vit_base_t=5_gs=224_b537cdfa,0.19401818218334776,,0.003377328041204441,0.011303977720146194,,
OWFA_lh_subj02,backbone.blocks.1,vit_base_t=5_gs=224_b537cdfa,0.06000741599261461,,0.014006080659417787,0.0071773307498624785,,
V2v_lh_subj02,backbone.blocks.1,vit_base_t=5_gs=224_b537cdfa,0.19874109194334455,,0.09701610402378108,0.06687012582487198,,
V3d_lh_subj02,backbone.blocks.1,vit_base_t=5_gs=224_b537cdfa,0.1014384430196054,,0.41003200804818973,0.09816624918432418,,
VWFA-2_lh_subj02,backbone.blocks.1,vit_base_t=5_gs=224_b537cdfa,0.1989528983387919,,0.02954309781468659,0.03497602942789104,,
EBA_rh_subj02,backbone.blocks.1,vit_base_t=5_gs=224_b537cdfa,-0.00844311328687744,,0.9139161421419455,0.06909565697512454,,
OWFA_rh_subj02,backbone.blocks.1,vit_base_t=5_gs=224_b537cdfa,0.034036640417062856,,0.1347502690181436,0.013945160889842205,,
mfs-words_lh_subj02,backbone.blocks.1,vit_base_t=5_gs=224_b537cdfa,0.07096181146154613,,0.11311748016363563,0.02613851388326713,,
OPA_rh_subj02,backbone.blocks.1,vit_base_t=5_gs=224_b537cdfa,0.00774324277355416,,0.42428615148509885,0.007776233737529718,,
V1v_lh_subj02,backbone.blocks.1,vit_base_t=5_gs=224_b537cdfa,0.2783526995509001,,0.027132038340779575,0.04680764155631938,,
OFA_lh_subj02,backbone.blocks.1,vit_base_t=5_gs=224_b537cdfa,0.07983937347496711,,0.24314301356290452,0.048751434675050595,,
FFA-1_lh_subj02,backbone.blocks.1,vit_base_t=5_gs=224_b537cdfa,0.13076899897181837,,0.27326993693919815,0.08740269592367358,,
V2d_lh_subj02,backbone.blocks.1,vit_base_t=5_gs=224_b537cdfa,0.08430459550306481,,0.32151498680048685,0.06454391977297864,,
V3v_lh_subj02,backbone.blocks.1,vit_base_t=5_gs=224_b537cdfa,0.09163943855619623,,0.18626218474818484,0.04628417463924657,,
EBA_lh_subj02,backbone.blocks.1,vit_base_t=5_gs=224_b537cdfa,0.09900070031868087,,0.1594164161127298,0.04511143658298429,,
