ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_ba6795ba,0.25661466329969534,,0.0009555984686249254,0.0079383569551567,,
OPA_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_ba6795ba,0.1374325078102538,,0.031045716118556037,0.024796469098095505,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_ba6795ba,0.09772348457788634,,0.494969015627982,0.11809395033374032,,
V3v_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_ba6795ba,0.39769336884662837,,0.007487132663482316,0.034606329414474335,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_ba6795ba,0.030305033437657974,,0.6464099802482537,0.056688813816412165,,
V2v_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_ba6795ba,0.4990930758220309,,0.0029215534614050907,0.027035954054286437,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_ba6795ba,0.06572510397880141,,0.4247591379795458,0.06608629511775886,,
hV4_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_ba6795ba,0.21406373568726922,,0.0018008678360762363,0.009096434949828713,,
V1d_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_ba6795ba,0.32223176448305546,,0.006636520169645166,0.026382054921143136,,
OPA_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_ba6795ba,0.10022271480323391,,0.2074447643970447,0.05452669039331311,,
V1v_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_ba6795ba,0.4993174515574382,,0.0065399947694276496,0.040579232005612524,,
V3d_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_ba6795ba,0.2717920895747121,,0.003847498361468863,0.016907603913181805,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_ba6795ba,0.20108370195039893,,0.039099481179807286,0.04097290194248588,,
PPA_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_ba6795ba,0.019217233202527207,,0.8906515242741867,0.12352391056132592,,
OFA_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_ba6795ba,0.09142658770015034,,0.07152545939023278,0.02585977824406658,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_ba6795ba,0.028292715459270302,,0.5965503182347767,0.04537244896942664,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_ba6795ba,0.19673480572466207,,0.19001917033201016,0.10072265359329234,,
V2v_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_ba6795ba,0.4299975759467653,,0.0024838664242273585,0.021470410464156257,,
OWFA_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_ba6795ba,0.1489269806864003,,0.23065344563842333,0.08744254709492053,,
FBA-2_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_ba6795ba,0.21411108106734322,,0.09920898640151221,0.07298654282959299,,
PPA_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_ba6795ba,0.13931544370630203,,0.18996063981290454,0.07131057921306785,,
V2d_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_ba6795ba,0.2778166031414621,,0.0006512734224711719,0.007093361422354241,,
V3d_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_ba6795ba,0.20691874667080548,,0.013769931038540722,0.024535067695664055,,
FFA-1_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_ba6795ba,0.026686072052464316,,0.11578971224084722,0.009968131659206604,,
RSC_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_ba6795ba,0.036221466465227566,,0.8285380179996903,0.14716465333054154,,
OFA_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_ba6795ba,0.05934360135305938,,0.6013663180974969,0.096539812548244,,
EBA_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_ba6795ba,0.1783088682167684,,0.08002807248342017,0.05372197719025973,,
mfs-words_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_ba6795ba,0.04669638684250693,,0.5148414587587518,0.059512440929187796,,
hV4_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_ba6795ba,0.32011337486807917,,0.03029997815608556,0.05702596187722356,,
RSC_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_ba6795ba,0.04586289255329773,,0.813196953723003,0.17054920045655972,,
V3v_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_ba6795ba,0.4400922473477253,,0.0008478287948732677,0.012822540856278944,,
V1v_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_ba6795ba,0.4436080401659475,,0.01346505423925899,0.05200248477609448,,
EBA_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_ba6795ba,0.08428459788280662,,0.28675734094235034,0.05856830061810534,,
V1d_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_ba6795ba,0.3179537403951184,,0.01583176350684057,0.04048866800738247,,
FFA-2_rh_subj02,backbone.layer1,resnet50_t=0_gs=112_ba6795ba,0.017724587313287726,,0.6935666632935766,0.03893255056123856,,
V2v_rh_subj02,backbone.layer1,resnet50_t=0_gs=112_ba6795ba,0.30269462470147684,,6.143608907553773e-05,0.002372665422362104,,
PPA_rh_subj02,backbone.layer1,resnet50_t=0_gs=112_ba6795ba,0.17770960603182265,,0.061798718540409046,0.04635419650025174,,
V2d_rh_subj02,backbone.layer1,resnet50_t=0_gs=112_ba6795ba,0.2153789738154287,,0.016611813472851057,0.028110961660842284,,
OWFA_lh_subj02,backbone.layer1,resnet50_t=0_gs=112_ba6795ba,0.05181527731608301,,0.5549226756876319,0.07371725234933975,,
V2v_lh_subj02,backbone.layer1,resnet50_t=0_gs=112_ba6795ba,0.410906465724586,,0.010304713483061232,0.04203758140743101,,
V3d_lh_subj02,backbone.layer1,resnet50_t=0_gs=112_ba6795ba,0.23081581273673776,,0.033669086411865036,0.04345789205333755,,
VWFA-2_lh_subj02,backbone.layer1,resnet50_t=0_gs=112_ba6795ba,-0.0025108320469355385,,0.9724483639087584,0.06441549882732231,,
EBA_rh_subj02,backbone.layer1,resnet50_t=0_gs=112_ba6795ba,-0.005721547261378024,,0.9547772921830637,0.08937115848105422,,
OWFA_rh_subj02,backbone.layer1,resnet50_t=0_gs=112_ba6795ba,0.13746599937836335,,0.01769292359321823,0.018531829245846426,,
mfs-words_lh_subj02,backbone.layer1,resnet50_t=0_gs=112_ba6795ba,-0.01274660750392329,,0.8024839595564207,0.04473383116766492,,
OPA_rh_subj02,backbone.layer1,resnet50_t=0_gs=112_ba6795ba,0.02496844851668241,,0.8292007348737186,0.10185013787308783,,
