ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_db6b2de5,0.25869682268654526,,0.0066296481023309815,0.021169185022557283,,
OPA_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_db6b2de5,0.16364836354107576,,0.04088711144663263,0.03414679032036713,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_db6b2de5,0.07180895069246528,,0.5361555294576661,0.09698042030609856,,
V3v_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_db6b2de5,0.38841405565352743,,0.016466253452356916,0.050467044115240146,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_db6b2de5,0.04209259835137475,,0.6091662548781519,0.07009777151902914,,
V2v_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_db6b2de5,0.49882792640603063,,0.003434327258234223,0.02930842469320416,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_db6b2de5,0.06860817255631013,,0.4665050057073894,0.076913015760015,,
hV4_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_db6b2de5,0.213785650131713,,0.00616520256931755,0.01686427266074683,,
V1d_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_db6b2de5,0.3115175001618667,,0.020082384673803667,0.04482384287776889,,
OPA_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_db6b2de5,0.1374057814853532,,0.14316254789783445,0.05846463203193138,,
V1v_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_db6b2de5,0.5041038583095016,,0.00599010729547166,0.03919180558256405,,
V3d_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_db6b2de5,0.2528309183360608,,0.026867198587265946,0.04229922628701731,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_db6b2de5,0.20969271475202736,,0.02159572378602475,0.031325023490961224,,
PPA_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_db6b2de5,0.03547453172263369,,0.7363121317666161,0.09176190275533014,,
OFA_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_db6b2de5,0.08710928368856441,,0.15141325770652758,0.03840210856579548,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_db6b2de5,0.0439563174009597,,0.367612135868679,0.03807407619108946,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_db6b2de5,0.19537024323349286,,0.129945134751119,0.07827155566222166,,
V2v_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_db6b2de5,0.4376695184058195,,0.004852379134061734,0.030599101542525185,,
OWFA_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_db6b2de5,0.13240528977186664,,0.26200623154127306,0.08560863282415879,,
FBA-2_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_db6b2de5,0.20790261268195756,,0.06504523629704015,0.055782439944844324,,
PPA_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_db6b2de5,0.1756459229103221,,0.11093608350017854,0.06395136699727921,,
V2d_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_db6b2de5,0.2643009262701132,,0.010014570000315607,0.026649924682878585,,
V3d_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_db6b2de5,0.19553893595165003,,0.00634431788498642,0.015649478670671353,,
FFA-1_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_db6b2de5,0.05540396695408817,,0.17562809153083736,0.026900252636687768,,
RSC_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_db6b2de5,0.06058636945760526,,0.5721443038406999,0.09050187173734749,,
OFA_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_db6b2de5,0.03612738486145282,,0.6832608005068883,0.07650024888700181,,
EBA_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_db6b2de5,0.16254156336753275,,0.09594352901350667,0.05433774762670335,,
mfs-words_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_db6b2de5,0.07895957320314027,,0.40435699561825467,0.07529291227219433,,
hV4_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_db6b2de5,0.3044172732346166,,0.03252987292886695,0.05628750344674452,,
RSC_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_db6b2de5,0.03722112800663526,,0.7982908401836226,0.12779950482048244,,
V3v_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_db6b2de5,0.42671748056947706,,0.001731895310259159,0.017781399411831704,,
V1v_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_db6b2de5,0.447001956208574,,0.020724277706567918,0.06537057251218226,,
EBA_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_db6b2de5,0.09459707501182213,,0.22230400309625015,0.05406985881241074,,
V1d_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_db6b2de5,0.3018441278869778,,0.014425789454560547,0.036651458300496084,,
FFA-2_rh_subj02,backbone.layer1,resnet50_t=0_gs=224_db6b2de5,0.025764611313015856,,0.4700091449835624,0.02914994856828706,,
V2v_rh_subj02,backbone.layer1,resnet50_t=0_gs=224_db6b2de5,0.3180281553751792,,0.0005735253915559781,0.007619540240323236,,
PPA_rh_subj02,backbone.layer1,resnet50_t=0_gs=224_db6b2de5,0.2017583209179786,,0.07128008203751612,0.056957428736748326,,
V2d_rh_subj02,backbone.layer1,resnet50_t=0_gs=224_db6b2de5,0.18948533506306572,,0.014123733058449892,0.02276087938767836,,
OWFA_lh_subj02,backbone.layer1,resnet50_t=0_gs=224_db6b2de5,0.035947462749846774,,0.5304336823809084,0.047793237344850754,,
V2v_lh_subj02,backbone.layer1,resnet50_t=0_gs=224_db6b2de5,0.3792418789811672,,0.004708067907308389,0.026114119705673674,,
