ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_4febfe49,0.2670281044994158,,0.004026728510581523,0.016996043225671137,,
OPA_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_4febfe49,0.1714012441102822,,0.010357602003335943,0.01758076634674899,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_4febfe49,0.1033462104770745,,0.3682932606732301,0.08967718931093141,,
V3v_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_4febfe49,0.38830134727039983,,0.02403391460362346,0.06130856813500285,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_4febfe49,0.044790405455925796,,0.6350320184919592,0.08079310033148071,,
V2v_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_4febfe49,0.4980696898815773,,0.005544219642755352,0.037241062126510856,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_4febfe49,0.06788932047690256,,0.414722291469082,0.06650523717013439,,
hV4_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_4febfe49,0.2166628470166124,,0.012336468826703917,0.02428998783759681,,
V1d_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_4febfe49,0.3046857254059825,,0.013346966000212589,0.035556986256983274,,
OPA_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_4febfe49,0.13659601730948068,,0.2303346166455971,0.08012098300917195,,
V1v_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_4febfe49,0.48871404455583844,,0.015263032363978262,0.061078937284517715,,
V3d_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_4febfe49,0.23772064484075597,,0.019019370287911824,0.033260567213696204,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_4febfe49,0.2080351191482608,,0.025402011521803446,0.03380411316428981,,
PPA_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_4febfe49,0.04049440535216834,,0.7322386630237796,0.1030332122183076,,
OFA_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_4febfe49,0.10101942768799038,,0.16052743656366408,0.04623860166970041,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_4febfe49,0.05033226943519322,,0.32472416845812613,0.03887324332751527,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_4febfe49,0.1878813014061708,,0.16445651783629556,0.08735894686322117,,
V2v_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_4febfe49,0.44123336315284706,,0.0085436935244118,0.04104762062249628,,
OWFA_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_4febfe49,0.13168470956737668,,0.30978726690870806,0.09762023562971639,,
FBA-2_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_4febfe49,0.2068687938721314,,0.0885713582419761,0.06603634219018069,,
PPA_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_4febfe49,0.18798997373627815,,0.1545327512153555,0.08396268920869779,,
V2d_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_4febfe49,0.2528059038945913,,0.008157469891649364,0.02297390007182085,,
V3d_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_4febfe49,0.2133759325276805,,0.014954183502048747,0.02639007495528614,,
FFA-1_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_4febfe49,0.05653670841770625,,0.20484268887243565,0.030487650412214427,,
RSC_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_4febfe49,0.08353015115158867,,0.3253430874834776,0.06462179393158322,,
OFA_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_4febfe49,0.06472453449170812,,0.46858269042155687,0.07295551676282486,,
EBA_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_4febfe49,0.17956477007630064,,0.06373620836745847,0.04764126469910175,,
mfs-words_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_4febfe49,0.07438040759895935,,0.4574246871172014,0.08142664007415203,,
hV4_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_4febfe49,0.30769242703029986,,0.03191811357051216,0.056328722963833164,,
RSC_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_4febfe49,0.07798619299828202,,0.5767238123795368,0.11803407985874317,,
V3v_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_4febfe49,0.43367636756960554,,0.0012313399690956407,0.01523197108259394,,
V1v_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_4febfe49,0.44315757655777466,,0.025761877639374882,0.07253816828477541,,
EBA_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_4febfe49,0.11033852348535694,,0.15343722506185475,0.049056934747307795,,
V1d_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_4febfe49,0.2730550343460371,,0.03646342755903155,0.053618570217111534,,
FFA-2_rh_subj02,backbone.layer1,resnet50_t=0_gs=540_4febfe49,0.025885380946468223,,0.535832965881541,0.034928126938695146,,
