ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.20317649334851473,,0.0399230805800026,0.041860172480591075,,
OPA_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.1379907352546536,,0.08385325001549981,0.042691775692863844,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.05571629732728356,,0.6791451285511938,0.11629671783585525,,
V3v_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.34926728904562104,,0.01785046222284971,0.04729968405005788,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,-0.03479552375628651,,0.7127842788046055,0.08205497094547545,,
V2v_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.48431628951475614,,0.005586457523265994,0.03635154770286267,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.05024625892666253,,0.5693330413214885,0.07445599106889447,,
hV4_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.16885815401789858,,0.026665251437437656,0.028139607436694483,,
V1d_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.25895760858831884,,0.051381692171453566,0.061078697429241255,,
OPA_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.1361788850958616,,0.09063169304763077,0.044049386430493616,,
V1v_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.4885860997106734,,0.005072790226454032,0.03493186552699389,,
V3d_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.20245951760322367,,0.07745836519541463,0.05988378809347183,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.1927721447369255,,0.048944808354309824,0.04429060925416591,,
PPA_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.03661914991917922,,0.7786647619465207,0.11408680107461198,,
OFA_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.04117686950143881,,0.3998775964097936,0.03880955183254774,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,-0.0115380918746432,,0.8391256907062985,0.05005395612455195,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.17435552672761634,,0.2379063944124217,0.10474419125725645,,
V2v_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.41342642278381514,,0.00722648318620394,0.035336661653237886,,
OWFA_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.12223234400113697,,0.3496606438169806,0.10095808642383279,,
FBA-2_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.18769410289295427,,0.1411050397588492,0.07913967516106411,,
PPA_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.16531029749773876,,0.1276462330751749,0.06550737921842105,,
V2d_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.22141814350075592,,0.009493456126551225,0.02172875468523673,,
V3d_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.1383813635169188,,0.04090225845063288,0.028880282404494566,,
FFA-1_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.0369103376130497,,0.4636564199534511,0.041070713436286474,,
RSC_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.09200864968776722,,0.34959862701198563,0.07598219880028712,,
OFA_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.009614701762978661,,0.9313455824829333,0.09879305262252878,,
EBA_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.1582908793286604,,0.07210016289155587,0.044972823206626704,,
mfs-words_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.0300541266263621,,0.7049101790253982,0.06881002586054281,,
hV4_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.27463603737162456,,0.06798497720902094,0.07551467217606145,,
RSC_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.07347522490674897,,0.6294596328850579,0.1302327636190128,,
V3v_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.41145685346062427,,0.0004318706890152725,0.008553460814258519,,
V1v_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.4258320427799221,,0.01996970639736634,0.06109498985391661,,
EBA_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.09279192016375633,,0.24768019943470218,0.05745727170429267,,
V1d_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.24221076029520439,,0.0009132930988855666,0.007324806529213736,,
FFA-2_rh_subj02,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,-0.013970807107232613,,0.5959239693929432,0.022363210364181322,,
V2v_rh_subj02,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.3072801617336473,,0.004173700123561285,0.01991397349536987,,
PPA_rh_subj02,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.17628366512957946,,0.06912468498403145,0.048921442875197355,,
V2d_rh_subj02,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.16045456128807836,,0.022361169689913907,0.02440503168617935,,
OWFA_lh_subj02,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,-0.007529034516733975,,0.9026471919746828,0.054426193951089885,,
V2v_lh_subj02,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.37912144291420496,,0.001966483162081087,0.01683700050961027,,
V3d_lh_subj02,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.23421384798512665,,0.01643983267554979,0.030406611486472827,,
VWFA-2_lh_subj02,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,-0.002210819444124712,,0.9801782380616344,0.07885163218239437,,
EBA_rh_subj02,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,-0.017032083498253425,,0.7937547669571052,0.05713863201540811,,
OWFA_rh_subj02,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.1336809179231677,,0.012132474916849677,0.014860182150806457,,
mfs-words_lh_subj02,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,-0.04012728260055215,,0.483651613479799,0.04705954736041038,,
OPA_rh_subj02,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,-0.013231706711320396,,0.909217304958019,0.10263624691495163,,
V1v_lh_subj02,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.4177677533638539,,0.011816000387222757,0.04581900296984243,,
OFA_lh_subj02,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.034361894348412095,,0.645652890785481,0.06412062527009808,,
FFA-1_lh_subj02,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,-0.006857132268153498,,0.7223829971566362,0.016778980399998842,,
V2d_lh_subj02,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.15332914345011475,,0.012841455403760376,0.01754470966983366,,
V3v_lh_subj02,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.2169760464740588,,0.020061919866473762,0.03120399568597494,,
EBA_lh_subj02,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.04106642747611419,,0.592799470567286,0.06513216137375527,,
VWFA-1_lh_subj02,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,-0.05471318532120494,,0.3762253708610187,0.0484770529686697,,
RSC_rh_subj02,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.17631366420862218,,0.1269768615361928,0.06964325875985898,,
OPA_lh_subj02,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.10066530845795635,,0.5835372089336244,0.15539086621130566,,
hV4_lh_subj02,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.19467290454884537,,0.1150372996383189,0.07243296517880488,,
FBA-2_rh_subj02,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,-0.029707635628970903,,0.40725710299791806,0.02854262453426533,,
hV4_rh_subj02,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.3804518605447072,,0.013501933415524567,0.04466121464688472,,
V1d_lh_subj02,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.3847404601736659,,0.0039812413430044295,0.024348763215912596,,
V1d_rh_subj02,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.3565142692909551,,0.026611173815932528,0.05934906902119134,,
VWFA-1_rh_subj02,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,-0.11737946855783876,,0.0862372153713486,0.03690074119033134,,
V3d_rh_subj02,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.1967363188517932,,0.03729521808970737,0.03909583381736682,,
FFA-1_rh_subj02,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.12429632175684772,,0.010131072257107179,0.012606819329819902,,
RSC_lh_subj02,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.14613698721377336,,0.22556384964330398,0.0844159421028339,,
V1v_rh_subj02,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.5124651477190876,,0.003866949875623618,0.03196031134591673,,
PPA_lh_subj02,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.22464888694448593,,0.07272674308228064,0.06413576152060617,,
V3v_rh_subj02,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.441976079532159,,0.0005475030766159648,0.010345951481307607,,
OFA_rh_subj02,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.08676148076069227,,0.05290218564735316,0.020789680524213438,,
V3v_lh_subj03,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.19352839709017275,,0.018592513956433954,0.02676309237875637,,
PPA_lh_subj03,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.18870873971068472,,0.061400442530021145,0.04904858427174857,,
RSC_lh_subj03,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,-0.02027341837159879,,0.562947447685403,0.029501804216047863,,
V3d_lh_subj03,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.16182051951528229,,0.024271754302719082,0.025680525353921416,,
VWFA-1_lh_subj03,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.009998015665147094,,0.8921887651568849,0.0651922623251488,,
RSC_rh_subj03,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.08672003389304776,,0.3038414790534538,0.06323434841430829,,
V3v_rh_subj03,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.16581256166774438,,0.01612300951823773,0.021312875714277455,,
OPA_rh_subj03,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.17367680224751889,,0.04763596912126891,0.039325271838893186,,
OPA_lh_subj03,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.130663285964317,,0.03719347754573137,0.025928159737091158,,
hV4_lh_subj03,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.21591222142764344,,0.03765481922518322,0.043125022741633164,,
V2d_rh_subj03,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.17609567692436986,,0.030261790266857474,0.03134950961448831,,
V3d_rh_subj03,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.11340348873085608,,0.1028915370674471,0.03949138563606759,,
OFA_rh_subj03,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.08299341869998747,,0.11207811488221345,0.03040229128093702,,
EBA_rh_subj03,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.033706883814551766,,0.621952179127991,0.05836701838175202,,
V1v_lh_subj03,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.4187582042595046,,0.0065598697150074615,0.03408441440519196,,
V1v_rh_subj03,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.3178332055027044,,0.03704754459698634,0.0629381582925979,,
mfs-words_lh_subj03,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.11272299017969378,,0.40795042621900646,0.10849792165326952,,
OWFA_lh_subj03,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.07274711356190453,,0.26789053545686475,0.04786202833524357,,
hV4_rh_subj03,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.07913636311053031,,0.05291311576952623,0.018964683566316767,,
EBA_lh_subj03,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.05726531774187934,,0.3229644561458481,0.04401631748192938,,
V2v_lh_subj03,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.4092563838616187,,0.007961332999896905,0.036736150152942085,,
FFA-1_lh_subj03,backbone.layer1,resnet50_t=10_gs=224_08d6e3e8,0.07869635118099759,,0.18747105445209464,0.03992182107288225,,
