ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_c1fc800a,0.20921681937464398,,0.020310075318888014,0.030279403075859974,,
OPA_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_c1fc800a,0.1062231264166188,,0.0996009862110759,0.03629303509760598,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_c1fc800a,0.06409538753946897,,0.6581025909130637,0.12457257098131025,,
V3v_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_c1fc800a,0.36140053119685067,,0.0021641700671466645,0.01683993016584753,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_c1fc800a,0.045274094377568956,,0.6386233476705259,0.0826011756634284,,
V2v_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_c1fc800a,0.4759641232057196,,0.0029383713843536413,0.02585748574129733,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_c1fc800a,0.05577560395797282,,0.5745483759390589,0.08389163145588392,,
hV4_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_c1fc800a,0.20417690472776737,,0.026786908219338428,0.03410609240405438,,
V1d_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_c1fc800a,0.26363066249346506,,0.04132940206373363,0.055325045320245556,,
OPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_c1fc800a,0.10243843821432726,,0.19085210463952904,0.052602399379008596,,
V1v_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_c1fc800a,0.4763723559247249,,0.00124093825080851,0.016796783688583887,,
V3d_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_c1fc800a,0.2288411700123242,,0.05945481498935146,0.05843793931177718,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_c1fc800a,0.17354770969018338,,0.06062215832328902,0.044793034944028746,,
PPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_c1fc800a,0.02143795029170235,,0.8762507413542944,0.12155548604864669,,
