ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.2124227392164226,,0.019776727850288216,0.030324615048692737,,
OPA_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.1446403311668962,,0.027066966332896063,0.024292232224388467,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.05387132761494227,,0.6784592690577869,0.1121782995657018,,
V3v_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.35703646063258204,,0.009905329429204808,0.035800754393186376,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,-0.004967524780971159,,0.9530315444977413,0.07470319927624919,,
V2v_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.4864737279969959,,0.005097934624821863,0.0348675941127659,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.0617910329915696,,0.5265102330996198,0.0812787153194811,,
hV4_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.19056338944857645,,0.015929099110724952,0.024342898156581347,,
V1d_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.27072245703822473,,0.04662566944252541,0.060596997926620155,,
OPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.13355096522639517,,0.10746642012798442,0.04771617875261139,,
V1v_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.48775667367994585,,0.003755571212495168,0.029975551074835505,,
V3d_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.21337600024155925,,0.061169513588294554,0.05534530967078631,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.2109900772220045,,0.053379577507071896,0.050804170776173885,,
PPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.03255575075012104,,0.7725339708752563,0.09855069798798669,,
OFA_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.06900925324391861,,0.21526130186575296,0.03854229417602071,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.010208883107872066,,0.8583485185533647,0.05044762390201536,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.19752042654089363,,0.23087083120841267,0.11605451466062988,,
V2v_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.42152068562823336,,0.004024998009119436,0.02682352437825594,,
OWFA_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.13299957762714373,,0.31211852457283895,0.0992321488179249,,
FBA-2_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.20840939832978223,,0.14257977868842928,0.08844894011200113,,
PPA_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.18457450104453677,,0.09938199475667191,0.06298213150864229,,
V2d_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.23024760738550418,,0.006892848435825459,0.01921536803610045,,
V3d_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.15758075980204156,,0.03587533751033501,0.030678740239520667,,
FFA-1_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.049839334761226727,,0.4104354681673398,0.048282240417378885,,
RSC_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.08934628015132433,,0.3419033737232158,0.07228171102569653,,
OFA_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.027234714407005593,,0.7969505477449337,0.0928674310322982,,
EBA_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.16566827515158436,,0.07749496285521854,0.04901467044811688,,
mfs-words_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.050990742196481,,0.5686135476463775,0.07540443431326377,,
hV4_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.2818777164988106,,0.06107791143047114,0.07305306783296486,,
RSC_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.07579716480436177,,0.556240138607916,0.10823521650221204,,
V3v_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.4158894048684176,,0.0005232351502420109,0.0095169282028922,,
V1v_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.42540455765480023,,0.022948222852430946,0.06557723673742594,,
EBA_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.09847297027786966,,0.2625551909473874,0.06377321778908307,,
V1d_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.24971568748386863,,0.00020660808797962662,0.003589936694019195,,
FFA-2_rh_subj02,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,-0.008804217209714917,,0.6603361022325203,0.017238791206468745,,
V2v_rh_subj02,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.31172895872956313,,0.0030501589031474282,0.017255742582342717,,
PPA_rh_subj02,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.18352032471833626,,0.05417939499578418,0.04454806807784872,,
V2d_rh_subj02,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.1816588007345937,,0.018259491952256075,0.024889287946786447,,
OWFA_lh_subj02,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.015065907138458656,,0.8420108812373583,0.06658312937488137,,
V2v_lh_subj02,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.37663928699841787,,0.0048338915246219135,0.026281673978830127,,
V3d_lh_subj02,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.23599473441451782,,0.026234894739954787,0.038996039704746396,,
VWFA-2_lh_subj02,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,-0.005195408211971712,,0.9498574938029778,0.07317318978063998,,
EBA_rh_subj02,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.00445969441110512,,0.9453453978548457,0.05761210572257437,,
OWFA_rh_subj02,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.14418486194320973,,0.020286249513157276,0.020854872824029317,,
mfs-words_lh_subj02,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,-0.04259207974169369,,0.38054180898422985,0.03816698977252353,,
OPA_rh_subj02,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.0137844145484951,,0.8963489648153005,0.09353068863599309,,
V1v_lh_subj02,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.41332165648332553,,0.013384464117662313,0.04830394722255697,,
OFA_lh_subj02,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.044825079965929715,,0.6196057663751668,0.07706043281868485,,
FFA-1_lh_subj02,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.0032965103778199306,,0.8929540670903436,0.021650436577760654,,
V2d_lh_subj02,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.1538051915468782,,0.027747290392955808,0.026167871909899505,,
V3v_lh_subj02,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.21496015641503732,,0.02747756382577755,0.0363867637329003,,
EBA_lh_subj02,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.04741643223481432,,0.5456973951176718,0.06574640030884325,,
VWFA-1_lh_subj02,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,-0.04182724501444904,,0.4362692467234697,0.04333420401339038,,
RSC_rh_subj02,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.17155805982175712,,0.10812397733611293,0.06151754317918934,,
OPA_lh_subj02,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.10797948872052143,,0.5641503067701017,0.15766722664175342,,
hV4_lh_subj02,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.2098662489926549,,0.08316533325260438,0.06462492765563115,,
FBA-2_rh_subj02,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,-0.029679601618903068,,0.3681494627196509,0.02574429392598619,,
hV4_rh_subj02,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.40887357670543106,,0.009876894766594984,0.04093879322222998,,
V1d_lh_subj02,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.3904110532860167,,0.0033119693986168627,0.022524031665874734,,
V1d_rh_subj02,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.37070107166857125,,0.02416338668354065,0.0586929787782596,,
VWFA-1_rh_subj02,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,-0.07513980323759219,,0.10399785328195235,0.02633162158587544,,
V3d_rh_subj02,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.22458427371083542,,0.025879219975792487,0.03684800566181755,,
FFA-1_rh_subj02,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.1477043573390776,,0.001148679829350447,0.005010340078526058,,
RSC_lh_subj02,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.12465413797218211,,0.26312206328876503,0.08086478401306804,,
V1v_rh_subj02,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.5114897313085284,,0.0040573571456528615,0.03268008977878504,,
PPA_lh_subj02,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.22106764191646663,,0.08439605658916825,0.0686461942571669,,
V3v_rh_subj02,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.4504713672722176,,0.0003223625480864844,0.008089925116451251,,
OFA_rh_subj02,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.09248150554739439,,0.04879305524278455,0.021212680654630656,,
V3v_lh_subj03,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.20561062832451918,,0.005177648294641705,0.014852631771762815,,
PPA_lh_subj03,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.19652738625210106,,0.04273827579609986,0.041986564116963075,,
RSC_lh_subj03,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,-0.010465707924837869,,0.722080944118473,0.025578784432962586,,
V3d_lh_subj03,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.15655312270036367,,0.0077731912820833285,0.013883688061586652,,
VWFA-1_lh_subj03,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.003055874082775615,,0.9701810272449192,0.07243268964901688,,
RSC_rh_subj03,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.09442668287257912,,0.2079864456667263,0.05146776192724776,,
V3v_rh_subj03,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.16788218012567124,,0.015009722032719403,0.020802866179175136,,
OPA_rh_subj03,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.18770059478116807,,0.023409396019656404,0.029234224456200254,,
OPA_lh_subj03,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.1376875083472188,,0.0056710970682746775,0.010413132907495187,,
hV4_lh_subj03,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.21792312686861084,,0.029586958232896105,0.0383407404044681,,
V2d_rh_subj03,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.17966045821131227,,0.027375126132069463,0.030352358987815384,,
V3d_rh_subj03,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.11441649410153691,,0.12369817966984653,0.04447878637190625,,
OFA_rh_subj03,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.08328974875547229,,0.1438203366703943,0.03554117666190616,,
EBA_rh_subj03,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.034417763139531564,,0.6393066994155628,0.06293095447318169,,
V1v_lh_subj03,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.4277347038762412,,0.008139516417637412,0.038827342040959105,,
V1v_rh_subj03,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.31749283973815534,,0.034450802969139376,0.06050428932036313,,
mfs-words_lh_subj03,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.0818075726539651,,0.6099215010572694,0.13654730432319664,,
OWFA_lh_subj03,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.07571925902243844,,0.1456826090548726,0.032573768190463995,,
hV4_rh_subj03,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.07209337821028146,,0.04668118429287226,0.016147292537805752,,
EBA_lh_subj03,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.06311952922133697,,0.26061765488951144,0.04064237904936787,,
V2v_lh_subj03,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.42355687919383245,,0.011017487648242315,0.04482960354170294,,
FFA-1_lh_subj03,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.06984589355712181,,0.2778529331790798,0.047308898824371344,,
VWFA-2_lh_subj03,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.1694228504439471,,0.3580853019827067,0.14310282570501523,,
FFA-2_rh_subj03,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.18041338116833658,,0.2213282717804372,0.1027935083213497,,
V2d_lh_subj03,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.24096448468759765,,0.025575519289045025,0.03929364770597451,,
OFA_lh_subj03,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.09316713039027828,,0.08186902340518817,0.02843426558252341,,
OWFA_rh_subj03,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.00946345233970357,,0.8597959734366208,0.04725666873044554,,
V1d_lh_subj03,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.32514849750128016,,0.04278699885794864,0.06950773292227003,,
FFA-1_rh_subj03,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,-0.013114284227640882,,0.8211080552430676,0.051000679830366394,,
PPA_rh_subj03,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.2074632410661371,,0.011593926893360905,0.022535052517907134,,
V2v_rh_subj03,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.30002945121271873,,0.010530864893703125,0.031034679275061858,,
VWFA-1_rh_subj03,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,-0.011423614501005727,,0.9380184075980738,0.13007384748857373,,
FBA-2_rh_subj03,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,-0.041968677278204136,,0.6424878935194138,0.07752180229584849,,
V1d_rh_subj03,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.2700757714835171,,0.01821434049056255,0.03695634471446459,,
RSC_lh_subj04,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.06204762731364479,,0.6911846903888916,0.13512869940519398,,
hV4_rh_subj04,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.18600746730637982,,0.03454442778573226,0.035497985311536896,,
PPA_lh_subj04,backbone.layer1,resnet50_t=15_gs=224_54467996_center_crop,0.16436022253648605,,0.03441998676475224,0.03130719572515024,,
