ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_5882b966,0.20550414998977498,,0.024051694136453926,0.03245931941529534,,
OPA_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_5882b966,0.1308835292363685,,0.05194627659346876,0.031053798289713254,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_5882b966,0.06616433983196378,,0.6143882798551351,0.11194404503502595,,
V3v_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_5882b966,0.3370110564306707,,0.02020863454538468,0.04864898026683592,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_5882b966,-0.01822468018401405,,0.8533107161663229,0.08690064632505848,,
V2v_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_5882b966,0.47612196615169494,,0.006771168627767403,0.039378965037744997,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_5882b966,0.06106918894008479,,0.512853964551589,0.07741438166098831,,
hV4_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_5882b966,0.1776270814377295,,0.025437252833898586,0.028883841208992213,,
V1d_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_5882b966,0.2619833228760961,,0.039831075171608776,0.053909929876490174,,
OPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_5882b966,0.12938993091565534,,0.1396641699647997,0.05420703470511443,,
V1v_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_5882b966,0.4815248229824756,,0.004823098111597159,0.03356271981074496,,
V3d_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_5882b966,0.2122349956165709,,0.055443678905105126,0.05216874907396431,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_5882b966,0.20695573313683033,,0.06508875350387192,0.05554891513082668,,
PPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_5882b966,0.04409746364142179,,0.685933968299096,0.09425999132579901,,
OFA_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_5882b966,0.06116814852210178,,0.297780706074125,0.04385242470961041,,
