ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.23208559891374994,,0.0378939061258895,0.04651105177173889,,
OPA_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.15368903099180767,,0.02637804830766817,0.025467764807995223,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.09416130547647111,,0.4540575669591387,0.1021792569350733,,
V3v_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.36596728196758543,,0.01583217755496279,0.04660340278045313,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_24ebec84,-0.003733321341277577,,0.9592768346723064,0.0647706770679479,,
V2v_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.496316954243805,,0.004290449463187964,0.0326145584808927,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.06516423514442087,,0.4841116956404803,0.07651472306692286,,
hV4_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.19795153241801003,,0.009700276413867871,0.019639413257113138,,
V1d_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.2763331459325082,,0.05605902912707789,0.06833409851144064,,
OPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.1551344297343528,,0.13828955951350042,0.06459257596653889,,
V1v_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.4973170285787176,,0.0022290339264314633,0.023518989478517376,,
V3d_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.23014203108661457,,0.04416270549694042,0.050036989158996015,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.22310531689156288,,0.05079494444560324,0.05229665231847846,,
PPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.049368791982385675,,0.6281584666925566,0.08714975849964686,,
OFA_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.07299002293079809,,0.14769442988157278,0.031673171347029606,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.021884569393022645,,0.6770918294096446,0.045355776826007964,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.2099945840729814,,0.17913956541866818,0.10331368703358748,,
V2v_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.4287475797955344,,0.0053052674849340085,0.031353694954059354,,
OWFA_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.14500714182067073,,0.2460313153263018,0.08933614296847886,,
FBA-2_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.22305471110445985,,0.10287432476014631,0.07766845498491831,,
PPA_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.17806526685615787,,0.1142831370950974,0.06599311417537754,,
V2d_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.23592631249527996,,0.005378729722776401,0.017372956144368144,,
V3d_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.17180528439113643,,0.05132833152072569,0.040499857790983876,,
FFA-1_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.05907642120632662,,0.31992002401948016,0.04503237812758323,,
RSC_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.1320224134714197,,0.04309529447586989,0.028331120076663146,,
OFA_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.04777866647899396,,0.6107712008123404,0.07995400525682604,,
EBA_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.1703513006235167,,0.07444882185442257,0.049276115630474515,,
mfs-words_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.05568291640580714,,0.5884261540822863,0.08718805550090042,,
hV4_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.2970709890392984,,0.04042081519818736,0.061609597061242166,,
RSC_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.12252022222486493,,0.2386871043006759,0.07378402232723676,,
V3v_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.4322846694665079,,0.00029765824512010755,0.007459775588311796,,
V1v_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.42343068092989306,,0.022744164919940902,0.06497188750589683,,
EBA_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.10719238207912422,,0.2244735209673921,0.061701884680657744,,
V1d_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.25020651738673694,,0.0013236093194894732,0.009111921855673522,,
FFA-2_rh_subj02,backbone.layer1,resnet50_t=15_gs=336_24ebec84,-0.00566639710181781,,0.8444122403099537,0.025438723093379797,,
V2v_rh_subj02,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.3203378941019292,,0.0006584894129555578,0.008224268507279588,,
PPA_rh_subj02,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.1750810435774264,,0.06619608855796391,0.047434117092732805,,
V2d_rh_subj02,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.19671278527039393,,0.023729630417686925,0.030854331988831606,,
OWFA_lh_subj02,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.020835233501014138,,0.7436259443019752,0.05554513759078882,,
V2v_lh_subj02,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.3703794913038287,,0.0028876737783378867,0.019946337294955693,,
V3d_lh_subj02,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.26117392088141633,,0.013815628249489328,0.03102071436174885,,
VWFA-2_lh_subj02,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.020693723105774567,,0.7433152612984397,0.055096407596285465,,
EBA_rh_subj02,backbone.layer1,resnet50_t=15_gs=336_24ebec84,-0.007290348939262184,,0.9030445433014845,0.05291881908437845,,
OWFA_rh_subj02,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.15285139213961704,,0.01692784695961153,0.02014369451048697,,
mfs-words_lh_subj02,backbone.layer1,resnet50_t=15_gs=336_24ebec84,-0.0403544445234166,,0.5898508135999248,0.06345095213041642,,
OPA_rh_subj02,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.0011857106879731572,,0.9904657288636667,0.08793393304928981,,
V1v_lh_subj02,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.40499758240588024,,0.011841729241623055,0.04446762795693253,,
OFA_lh_subj02,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.06775649522504869,,0.48334506667574084,0.07939760298786015,,
FFA-1_lh_subj02,backbone.layer1,resnet50_t=15_gs=336_24ebec84,-0.004207610832069252,,0.8656557890576856,0.021945559525212266,,
V2d_lh_subj02,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.18383180223260154,,0.014389335539331359,0.02229295664308141,,
V3v_lh_subj02,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.21871687669835813,,0.016764010306175428,0.028680431954490968,,
EBA_lh_subj02,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.03318555593761107,,0.6417689517764141,0.061157124015533845,,
VWFA-1_lh_subj02,backbone.layer1,resnet50_t=15_gs=336_24ebec84,-0.04541171531470737,,0.4569112032094226,0.049647047630013694,,
RSC_rh_subj02,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.16448228629571857,,0.21467476466322344,0.0916861533883045,,
OPA_lh_subj02,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.10606945391997569,,0.5765340798093428,0.16045117411308552,,
hV4_lh_subj02,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.20267950105457797,,0.0910096209574027,0.06571750467444429,,
FBA-2_rh_subj02,backbone.layer1,resnet50_t=15_gs=336_24ebec84,-0.023083104501067906,,0.4821205637023743,0.02696168433843659,,
hV4_rh_subj02,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.41868427105113576,,0.015045514349377032,0.051943867456752994,,
V1d_lh_subj02,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.3913477004114429,,0.0019083983112656076,0.017120624260455353,,
V1d_rh_subj02,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.3864255735940923,,0.029528777622873252,0.06791660739289415,,
VWFA-1_rh_subj02,backbone.layer1,resnet50_t=15_gs=336_24ebec84,-0.08267837727429449,,0.08022655748064123,0.024944807048787185,,
V3d_rh_subj02,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.24692131630652148,,0.04095065308624692,0.051565084730950915,,
FFA-1_rh_subj02,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.15393791523129408,,0.013566579915306872,0.01811486160948695,,
RSC_lh_subj02,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.12177904150806941,,0.4070761800811199,0.11694832455839305,,
V1v_rh_subj02,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.5196900916289845,,0.004456923657985603,0.03481108290948184,,
PPA_lh_subj02,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.21215239702784935,,0.13094457954023617,0.08539654983701075,,
V3v_rh_subj02,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.4680812167767554,,0.00025136272849377744,0.007422556995555228,,
OFA_rh_subj02,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.09568492698354307,,0.010614345102469506,0.00993731406075942,,
V3v_lh_subj03,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.19183648085056962,,0.011360479618485634,0.020623130991822506,,
PPA_lh_subj03,backbone.layer1,resnet50_t=15_gs=336_24ebec84,0.18458825335308485,,0.039243499534268006,0.03768525228336064,,
RSC_lh_subj03,backbone.layer1,resnet50_t=15_gs=336_24ebec84,-0.016194250057436358,,0.3483432648231709,0.013328784925409717,,
