ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_319a7576,0.2176844469943091,,0.042700898725613966,0.046484895403312645,,
OPA_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_319a7576,0.1491129273216348,,0.018613904623844615,0.02063306258579149,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_319a7576,0.06264929125209806,,0.5998214528424144,0.10144953670390784,,
V3v_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_319a7576,0.3556034497550959,,0.023136174646385798,0.05504921044729795,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_319a7576,0.0009082312270662085,,0.9902726166087421,0.0660183781286251,,
V2v_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_319a7576,0.4941224714648189,,0.007019934029554692,0.0416195202567737,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_319a7576,0.06098736599040679,,0.44006795788271846,0.06381198753899689,,
hV4_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_319a7576,0.1883227467600944,,0.01343746794078785,0.022053270527857737,,
V1d_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_319a7576,0.2682963206295723,,0.05923544924518199,0.0683747959867125,,
OPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_319a7576,0.14544063896847859,,0.13107124732269537,0.05857829095379289,,
V1v_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_319a7576,0.4969168881383688,,0.0047591597521467665,0.034403559173120525,,
V3d_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_319a7576,0.2175038326131267,,0.05942562808425697,0.055527843969185434,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_319a7576,0.21623681984546872,,0.04935476786696391,0.04990566827682304,,
PPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_319a7576,0.0480251400012825,,0.6274725405957406,0.0845966634712084,,
OFA_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_319a7576,0.0724893580995684,,0.19168192957458208,0.03733403805232461,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_319a7576,0.0221305929809191,,0.6972628520818751,0.04926505824247074,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_319a7576,0.20377088114140515,,0.20720027746049466,0.11077064653885062,,
V2v_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_319a7576,0.42136017836233447,,0.008537558415977675,0.039184573903374265,,
OWFA_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_319a7576,0.13754888707232574,,0.27706839434057673,0.0929549205189605,,
FBA-2_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_319a7576,0.21498803670697256,,0.11648949954081426,0.08059627926523452,,
PPA_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_319a7576,0.1860383239316378,,0.09641531427028782,0.062370276639488534,,
V2d_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_319a7576,0.22742884271093056,,0.006745863614512527,0.018774581997072163,,
V3d_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_319a7576,0.16200288487670225,,0.036717426597702614,0.03192872456500306,,
FFA-1_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_319a7576,0.06554311969157776,,0.304197973615693,0.047840108411957516,,
RSC_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_319a7576,0.13686810427832163,,0.0651443126578578,0.036754051706616817,,
OFA_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_319a7576,0.04135526591743969,,0.6331727828063185,0.07416042276237794,,
EBA_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_319a7576,0.16167655060067773,,0.07307916692079217,0.04628264002804731,,
mfs-words_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_319a7576,0.06710632797378134,,0.4955289129569259,0.08121544338250769,,
