ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_4da6250d,0.22385346173822007,,0.0211922656853048,0.033116308464567354,,
OPA_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_4da6250d,0.13647189569505605,,0.05951552848992129,0.034869589142880617,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_4da6250d,0.07034969013547923,,0.5850809589404293,0.1090831331050584,,
V3v_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_4da6250d,0.34347617753788495,,0.017083188368757496,0.04547802251073547,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_4da6250d,-0.005881218939870759,,0.9473727630971205,0.07891136021811618,,
V2v_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_4da6250d,0.4861702143104572,,0.005516155563933795,0.03625844141480498,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_4da6250d,0.04547808033818699,,0.597320784751898,0.07309891107067759,,
hV4_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_4da6250d,0.18474024311655154,,0.019578303819485166,0.026236141782751098,,
V1d_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_4da6250d,0.27259026046905327,,0.04913957345458343,0.06276352897406025,,
OPA_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_4da6250d,0.1361275328066044,,0.07587524549333569,0.03979853078487317,,
V1v_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_4da6250d,0.48327833553915983,,0.004250323732518438,0.03160794012659363,,
V3d_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_4da6250d,0.21870988224070184,,0.06733458129766474,0.05981704495651352,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_4da6250d,0.19672034092756582,,0.058012209724608334,0.04956463914150658,,
PPA_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_4da6250d,0.040232270015333776,,0.7273407976817045,0.10038398104776713,,
OFA_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_4da6250d,0.06627860407015872,,0.24413089009080177,0.04059468672725285,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_4da6250d,-0.0026440350742322344,,0.9572140286427631,0.04365690416774264,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_4da6250d,0.18153923321142695,,0.21927955167295718,0.10274409822005987,,
V2v_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_4da6250d,0.40579142989242006,,0.006658377809429152,0.03327854457265814,,
OWFA_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_4da6250d,0.13176484949252762,,0.3146337440892507,0.0989946331762588,,
FBA-2_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_4da6250d,0.19609130030669086,,0.12400324188363684,0.07634373284244177,,
PPA_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_4da6250d,0.16931393569406072,,0.10778283126245923,0.06059927302903521,,
V2d_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_4da6250d,0.235528885877916,,0.007325326042660881,0.020270007916654637,,
V3d_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_4da6250d,0.1603274524353879,,0.024270223658676503,0.025442746875930174,,
FFA-1_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_4da6250d,0.034091113813183214,,0.5160333835110786,0.043587479073599014,,
RSC_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_4da6250d,0.12033528771964042,,0.18921272489915003,0.06142992227970328,,
OFA_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_4da6250d,0.024237707484248885,,0.8136082214163586,0.0903382176904863,,
EBA_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_4da6250d,0.15687511830634038,,0.07267257032370998,0.04476813206755154,,
mfs-words_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_4da6250d,0.030063368298341428,,0.7122617647613729,0.07075525084114774,,
hV4_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_4da6250d,0.27928903986150017,,0.06564847642913701,0.07531970714502767,,
RSC_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_4da6250d,0.10548836111067078,,0.43439462668474416,0.10875754470870645,,
V3v_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_4da6250d,0.4139883324346516,,0.0006957726006549577,0.010925680147919798,,
V1v_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_4da6250d,0.41853238638040086,,0.022785730879683094,0.06428099963300202,,
EBA_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_4da6250d,0.0958176278605289,,0.24202418252675645,0.05830568423256167,,
