ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.21954678942914604,,0.034025751152241414,0.04156610370868788,,
OPA_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.15153229101434887,,0.040735045427386325,0.03155602567715335,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.05982028531289083,,0.6553610008357447,0.11521584526267062,,
V3v_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.35589650834087655,,0.01036908253762985,0.03652514096976769,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_b74a644b,-0.006146865729051595,,0.9425806801891166,0.07557246230812524,,
V2v_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.4954573005680743,,0.004843407674088966,0.03460698912879252,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.0670258563905578,,0.5006390058347401,0.08222960495501769,,
hV4_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.194575182193357,,0.01874341978714243,0.02701995633231946,,
V1d_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.27530306418909617,,0.053337724220777843,0.06626184490426085,,
OPA_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.143690351971023,,0.1070247775922576,0.05121389820094661,,
V1v_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.5030448433734035,,0.0018986284230306121,0.021950569850060598,,
V3d_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.23147975839442367,,0.045501250117008736,0.05113897529323207,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.2080479514137293,,0.05058128888340696,0.04865619802552639,,
PPA_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.05498064585370652,,0.6065282587412535,0.09083555938255934,,
OFA_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.07241040467030231,,0.21532584253145717,0.0404505258826982,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.0074436525925396,,0.9023269489682806,0.053630865894428184,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.18794720459588277,,0.2363964978801166,0.11237610023339854,,
V2v_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.4204153599620199,,0.005205148719855593,0.030450591878719704,,
OWFA_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.14421160409889988,,0.26470738801198523,0.09399275898400655,,
FBA-2_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.2025565538973173,,0.14595042622533033,0.08723918034442567,,
PPA_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.1955735315067458,,0.07507795379930765,0.056839825497961356,,
V2d_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.24417289358263983,,0.0034766637337901,0.014434891297804247,,
V3d_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.16463178959461675,,0.040895362482328085,0.034355680692947595,,
FFA-1_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.05137594555029961,,0.42119548044030797,0.05118219984056555,,
RSC_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.1254514394932417,,0.13794861176706194,0.052153324054941816,,
OFA_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.042750362910411725,,0.6824829950767077,0.09027798368555594,,
EBA_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.16387226102282476,,0.08918928094781815,0.05252033417935975,,
mfs-words_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.04042082275358998,,0.6290893716351895,0.07156185982062169,,
hV4_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.30137360137390184,,0.04809068623919115,0.06858907395303952,,
RSC_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.11647998528432717,,0.3340905998291075,0.09227392221499554,,
V3v_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.4245344143398862,,9.414679664022193e-05,0.004119517410035475,,
V1v_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.43042355899473855,,0.021723911143551256,0.06449589258719982,,
EBA_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.10148620030176365,,0.2703190103202632,0.067248137942286,,
V1d_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.2580559426682741,,0.0017806519227587185,0.010903953227116637,,
FFA-2_rh_subj02,backbone.layer1,resnet50_t=25_gs=224_b74a644b,-0.012516278315911034,,0.6786848930382403,0.02608352965946678,,
V2v_rh_subj02,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.3142626518407354,,0.0017630377503489814,0.013212908460036959,,
PPA_rh_subj02,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.18625519033922489,,0.049446504558196686,0.04302922795237072,,
V2d_rh_subj02,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.19173754306937132,,0.013249103316529605,0.022292028143268784,,
OWFA_lh_subj02,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.014002068809249665,,0.8523998926428907,0.06634489630073288,,
V2v_lh_subj02,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.3828936565841865,,0.0046848430212189625,0.026300004833563765,,
V3d_lh_subj02,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.2447918174946145,,0.014493773609668229,0.029795377341036645,,
VWFA-2_lh_subj02,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.0007828675240041753,,0.9920233737120234,0.06939692343857827,,
EBA_rh_subj02,backbone.layer1,resnet50_t=25_gs=224_b74a644b,-0.02374040881897957,,0.7166681898626046,0.05682067689879885,,
OWFA_rh_subj02,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.14618940197169714,,0.02320438604236535,0.02266538582151658,,
mfs-words_lh_subj02,backbone.layer1,resnet50_t=25_gs=224_b74a644b,-0.03765900123640487,,0.5478669625744482,0.052532529988796615,,
OPA_rh_subj02,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.0059291059318054935,,0.9537609606573274,0.09057339372993449,,
V1v_lh_subj02,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.4216254045502694,,0.014270373450297155,0.05091335195645878,,
OFA_lh_subj02,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.05208596034952143,,0.5833793601689343,0.08036504811474231,,
FFA-1_lh_subj02,backbone.layer1,resnet50_t=25_gs=224_b74a644b,-0.011955642288352256,,0.7195397344761785,0.028933236550619464,,
V2d_lh_subj02,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.16805307810671719,,0.013265162302058152,0.019550472125640272,,
V3v_lh_subj02,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.2227615125471981,,0.017326039346022816,0.02970920371731123,,
EBA_lh_subj02,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.029938683192719667,,0.6971089123738422,0.06660940838736945,,
VWFA-1_lh_subj02,backbone.layer1,resnet50_t=25_gs=224_b74a644b,-0.04656284510741401,,0.49970781582005275,0.05698319386258938,,
RSC_rh_subj02,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.18161296831659124,,0.09188215940337689,0.05921174277450926,,
OPA_lh_subj02,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.11340911459174201,,0.5431008443853016,0.15612325287274978,,
hV4_lh_subj02,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.20340186720537237,,0.09041128799331159,0.0657016267888205,,
FBA-2_rh_subj02,backbone.layer1,resnet50_t=25_gs=224_b74a644b,-0.040267357789944946,,0.3423296862069536,0.03261378905229294,,
hV4_rh_subj02,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.401447677804458,,0.014406981835984592,0.048713345497716214,,
V1d_lh_subj02,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.39465101670932584,,0.003643828298049629,0.023888098346600644,,
V1d_rh_subj02,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.38208388216444583,,0.025323215687629397,0.06198556088875089,,
VWFA-1_rh_subj02,backbone.layer1,resnet50_t=25_gs=224_b74a644b,-0.0963116498188012,,0.15294139381018645,0.042732000513961935,,
V3d_rh_subj02,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.23395361685102914,,0.03363770436868949,0.04402706479054657,,
FFA-1_rh_subj02,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.14948194892724243,,0.028805864705704034,0.02593420025237856,,
RSC_lh_subj02,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.1547673495740669,,0.20918872541996567,0.08470041571675933,,
V1v_rh_subj02,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.5189193871860781,,0.005618768883385641,0.039062195908998926,,
PPA_lh_subj02,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.2399000227678374,,0.07033586373952785,0.06722309271930323,,
V3v_rh_subj02,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.44460205358554034,,0.0003328142954842509,0.008112988794907757,,
OFA_rh_subj02,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.09131803034191689,,0.004787803458067725,0.0063414496773539905,,
V3v_lh_subj03,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.19117629128258404,,0.012773145823976111,0.021815980306466226,,
PPA_lh_subj03,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.19745971347843594,,0.05373283496661636,0.04771674816395627,,
RSC_lh_subj03,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.008692887684927113,,0.711520631795161,0.020401720599360854,,
V3d_lh_subj03,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.15445894325478168,,0.026618500330032442,0.02571652551255611,,
VWFA-1_lh_subj03,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.012700194405648674,,0.8561072602224459,0.061760845250636194,,
RSC_rh_subj03,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.10550535453090178,,0.20367491053071557,0.05666701539096239,,
V3v_rh_subj03,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.1581958262953338,,0.01619901809792524,0.02038290909065098,,
OPA_rh_subj03,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.18519222647355402,,0.03272353668181408,0.03434946288630486,,
OPA_lh_subj03,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.13283281081683349,,0.028189282406193665,0.022786797985090503,,
hV4_lh_subj03,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.2100302178858807,,0.03842647102773205,0.04240351250460659,,
V2d_rh_subj03,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.18736991653675794,,0.029958456049312493,0.03318118847660974,,
V3d_rh_subj03,backbone.layer1,resnet50_t=25_gs=224_b74a644b,0.12001652421505067,,0.10737668494792413,0.042859283825827266,,
