ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_491786e2,0.21331157801230483,,0.0251075045903607,0.03445214041088024,,
OPA_rh_subj01,backbone.layer1,resnet50_t=5_gs=224_491786e2,0.1452467102319501,,0.05542103296678793,0.035694650663286344,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=5_gs=224_491786e2,0.05976548878003715,,0.6375478271565753,0.10866802852849926,,
V3v_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_491786e2,0.3450751632798588,,0.017042228262865357,0.04563349850858293,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_491786e2,-0.0025324611918467947,,0.9795684925879661,0.08762675419547487,,
V2v_rh_subj01,backbone.layer1,resnet50_t=5_gs=224_491786e2,0.48685217294555017,,0.006495952450132685,0.039431423314007834,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=5_gs=224_491786e2,0.05432270651429214,,0.5438522165126847,0.07493833007985697,,
hV4_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_491786e2,0.19118762393619418,,0.02323250227176909,0.029660561487269255,,
V1d_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_491786e2,0.26424664677513104,,0.044749464409471376,0.057859186726552624,,
OPA_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_491786e2,0.13552350363558993,,0.08226286503333956,0.04147417656468636,,
V1v_rh_subj01,backbone.layer1,resnet50_t=5_gs=224_491786e2,0.49217134556389075,,0.0029349372690780575,0.026722269968538045,,
V3d_rh_subj01,backbone.layer1,resnet50_t=5_gs=224_491786e2,0.21638348199386512,,0.058853890682169445,0.054950134283033095,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_491786e2,0.20882070937398645,,0.0499654538140663,0.04851491131328154,,
PPA_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_491786e2,0.02956333266658898,,0.7756166973101408,0.0907883515343753,,
OFA_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_491786e2,0.06931741632712303,,0.27492564112111756,0.046553930617961675,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_491786e2,0.0021350835104934443,,0.9719336884231505,0.05377041746159525,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=5_gs=224_491786e2,0.18414918084766577,,0.20421484054071637,0.0990899927475843,,
V2v_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_491786e2,0.414301031484219,,0.0066692441226258985,0.03400440072505085,,
OWFA_rh_subj01,backbone.layer1,resnet50_t=5_gs=224_491786e2,0.13925640123145192,,0.30584802417019663,0.1021114935563321,,
FBA-2_rh_subj01,backbone.layer1,resnet50_t=5_gs=224_491786e2,0.19401549882450608,,0.1260887236481707,0.07630741124438352,,
PPA_rh_subj01,backbone.layer1,resnet50_t=5_gs=224_491786e2,0.17906799565767606,,0.08027852023458211,0.05404623393114441,,
V2d_rh_subj01,backbone.layer1,resnet50_t=5_gs=224_491786e2,0.22530610055138153,,0.0051979083319971505,0.016307428354112922,,
V3d_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_491786e2,0.15894948003902257,,0.017690190384734267,0.021426323178140694,,
FFA-1_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_491786e2,0.05415229328780363,,0.37687077165453586,0.048061410289202425,,
RSC_rh_subj01,backbone.layer1,resnet50_t=5_gs=224_491786e2,0.1068745938464858,,0.21565842439502683,0.05976906397556204,,
OFA_rh_subj01,backbone.layer1,resnet50_t=5_gs=224_491786e2,0.022438973125803174,,0.8304844066347027,0.09224590076200358,,
EBA_rh_subj01,backbone.layer1,resnet50_t=5_gs=224_491786e2,0.15855464128465233,,0.0719235813918924,0.04498606408289407,,
mfs-words_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_491786e2,0.04932748624028601,,0.580988312920588,0.07558307107574293,,
hV4_rh_subj01,backbone.layer1,resnet50_t=5_gs=224_491786e2,0.2805889978599055,,0.058544976761260505,0.07105007636532795,,
RSC_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_491786e2,0.08418474400484532,,0.5028567032763094,0.10389403577403238,,
V3v_rh_subj01,backbone.layer1,resnet50_t=5_gs=224_491786e2,0.412542984957972,,0.0005222509506451845,0.009431461278715025,,
V1v_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_491786e2,0.4232737171962396,,0.023934934737233373,0.06668747582164512,,
EBA_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_491786e2,0.0951354503165917,,0.25997921673766083,0.061140642295074196,,
V1d_rh_subj01,backbone.layer1,resnet50_t=5_gs=224_491786e2,0.24166269068753587,,0.0002859951636822778,0.0040877292371900515,,
FFA-2_rh_subj02,backbone.layer1,resnet50_t=5_gs=224_491786e2,-0.01291478221563317,,0.6547307382405303,0.02482276454336592,,
V2v_rh_subj02,backbone.layer1,resnet50_t=5_gs=224_491786e2,0.3039919670145444,,0.004202392247144632,0.019768903126232317,,
PPA_rh_subj02,backbone.layer1,resnet50_t=5_gs=224_491786e2,0.18568998431830908,,0.06955761890357037,0.051711218673310896,,
V2d_rh_subj02,backbone.layer1,resnet50_t=5_gs=224_491786e2,0.1773448638816565,,0.01826726063394345,0.02430354343074868,,
OWFA_lh_subj02,backbone.layer1,resnet50_t=5_gs=224_491786e2,0.011728707943165181,,0.8485257276523936,0.054119767994447184,,
V2v_lh_subj02,backbone.layer1,resnet50_t=5_gs=224_491786e2,0.36559439513969244,,0.0019024307291186943,0.015968874403872974,,
V3d_lh_subj02,backbone.layer1,resnet50_t=5_gs=224_491786e2,0.24179076947867828,,0.013092015763226056,0.027940887344122284,,
VWFA-2_lh_subj02,backbone.layer1,resnet50_t=5_gs=224_491786e2,-0.0015069111494669478,,0.9852579088136328,0.07227138167824589,,
EBA_rh_subj02,backbone.layer1,resnet50_t=5_gs=224_491786e2,-0.01474202317571891,,0.832425839204716,0.061326764488679006,,
OWFA_rh_subj02,backbone.layer1,resnet50_t=5_gs=224_491786e2,0.12669902660280832,,0.020094063321247937,0.018236019748793526,,
mfs-words_lh_subj02,backbone.layer1,resnet50_t=5_gs=224_491786e2,-0.05335482645174234,,0.31812136304394656,0.04047113403379696,,
OPA_rh_subj02,backbone.layer1,resnet50_t=5_gs=224_491786e2,0.0014698297472439347,,0.9896692750182998,0.10060001803794627,,
V1v_lh_subj02,backbone.layer1,resnet50_t=5_gs=224_491786e2,0.41081665172389337,,0.012198345743108324,0.045793125346837424,,
OFA_lh_subj02,backbone.layer1,resnet50_t=5_gs=224_491786e2,0.050541980979187086,,0.4891907906664731,0.06014818012542698,,
FFA-1_lh_subj02,backbone.layer1,resnet50_t=5_gs=224_491786e2,-0.02398417033560452,,0.2809573268927094,0.01639149428846969,,
V2d_lh_subj02,backbone.layer1,resnet50_t=5_gs=224_491786e2,0.1642649151437405,,0.018093211899899823,0.022400566457582472,,
V3v_lh_subj02,backbone.layer1,resnet50_t=5_gs=224_491786e2,0.20942064054083528,,0.025024332600789727,0.033765472789890075,,
EBA_lh_subj02,backbone.layer1,resnet50_t=5_gs=224_491786e2,0.040921843595956985,,0.571259032929903,0.06097313132118558,,
