ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_f67cb922,0.28912102698118775,,0.018143712737236004,0.039483524639495185,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_f67cb922,0.17253663990913007,,0.0026332588615933963,0.008871297437798463,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_f67cb922,0.062195006813494276,,0.08902099211684451,0.01991160763111234,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_f67cb922,0.3778687349737166,,0.026328378950177717,0.06255513391397305,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_f67cb922,0.12808158296747005,,0.22375433897268202,0.07355458523157493,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_f67cb922,0.5127480245082545,,0.006053687458443923,0.040076778023239376,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_f67cb922,0.04371543208212413,,0.43823978349620984,0.045523104956945316,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_f67cb922,0.2510747985814377,,0.007748812219866629,0.022230852295663003,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_f67cb922,0.35352136860925915,,0.017583972345524914,0.047507385361187614,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_f67cb922,0.13320899011508414,,0.2832304749129949,0.09163576163266376,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_f67cb922,0.5300962179186041,,0.009371844131925322,0.05168168207977603,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_f67cb922,0.26931905884185453,,0.032760814643566054,0.04998320924818874,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_f67cb922,0.15123272661169532,,0.019120442842583286,0.021217446187951988,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_f67cb922,0.0875148543731301,,0.4053097819090017,0.08365804077684187,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_f67cb922,0.15269337304943975,,0.08826293528178392,0.04864507126033589,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_f67cb922,-0.013991581986324683,,0.40474428168230225,0.013355303552151627,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_f67cb922,0.16195479387325637,,0.15135485060746412,0.07138017794068946,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_f67cb922,0.45373923860230964,,0.0053231301715833245,0.0332375604496226,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_f67cb922,0.11666918920450396,,0.43636123050015263,0.1209014801129276,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_f67cb922,0.1502512077628845,,0.07029049056637683,0.04208719250551426,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_f67cb922,0.18515878600563843,,0.14724584902172255,0.08019289877968873,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_f67cb922,0.3105982797777002,,0.004614755537802056,0.021172911282662396,,
V3d_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_f67cb922,0.23229788754861125,,0.04267635364641299,0.0495902674340705,,
FFA-1_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_f67cb922,0.01704235130370986,,0.32864394116253437,0.013303285391926148,,
RSC_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_f67cb922,0.1667607563964063,,0.16366904752721773,0.07729643123487176,,
OFA_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_f67cb922,0.03699385106075006,,0.7250087427763288,0.09145782827751488,,
EBA_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_f67cb922,0.15380905218940574,,0.06967623715468954,0.04287362518158337,,
mfs-words_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_f67cb922,0.06077108935494178,,0.47654761953835123,0.06994753890765218,,
hV4_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_f67cb922,0.3271091725782761,,0.036270094339672425,0.06405272466516404,,
RSC_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_f67cb922,0.18614173183238547,,0.22931817735100657,0.10882862489720174,,
V3v_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_f67cb922,0.4593439980272116,,0.003217400645455312,0.02611803889440833,,
V1v_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_f67cb922,0.4773031502568596,,0.018108408786821108,0.06511722049802444,,
EBA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_f67cb922,0.07494088589104526,,0.2506586813800394,0.04682769672259745,,
V1d_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_f67cb922,0.3417063413821901,,0.02122673154984216,0.05059359292588134,,
FFA-2_rh_subj02,backbone.blocks.1,vit_base_t=0_gs=112_f67cb922,0.04150517284133808,,0.49056617041309725,0.04957415096725823,,
V2v_rh_subj02,backbone.blocks.1,vit_base_t=0_gs=112_f67cb922,0.30048489920338267,,0.0034462318400396296,0.01768559472007229,,
PPA_rh_subj02,backbone.blocks.1,vit_base_t=0_gs=112_f67cb922,0.2204163402481467,,0.024981877079215557,0.035507016121460414,,
V2d_rh_subj02,backbone.blocks.1,vit_base_t=0_gs=112_f67cb922,0.17333861858095156,,0.015514782326676168,0.021845797887620703,,
OWFA_lh_subj02,backbone.blocks.1,vit_base_t=0_gs=112_f67cb922,0.09514950301482117,,0.13766473749595556,0.039505327782029,,
V2v_lh_subj02,backbone.blocks.1,vit_base_t=0_gs=112_f67cb922,0.3647761933739435,,0.005447529107174444,0.027033750484693024,,
V3d_lh_subj02,backbone.blocks.1,vit_base_t=0_gs=112_f67cb922,0.26117312551456323,,0.029157207624765362,0.045599862619112065,,
VWFA-2_lh_subj02,backbone.blocks.1,vit_base_t=0_gs=112_f67cb922,-0.01979462632981689,,0.8251250049936907,0.07880618420530461,,
EBA_rh_subj02,backbone.blocks.1,vit_base_t=0_gs=112_f67cb922,0.02545625274237054,,0.7730005328229187,0.07722656575185893,,
OWFA_rh_subj02,backbone.blocks.1,vit_base_t=0_gs=112_f67cb922,0.12076704181871029,,0.008560511091109226,0.011246065852540236,,
mfs-words_lh_subj02,backbone.blocks.1,vit_base_t=0_gs=112_f67cb922,-0.007487953824155673,,0.8176144495101552,0.028543785382361683,,
OPA_rh_subj02,backbone.blocks.1,vit_base_t=0_gs=112_f67cb922,0.0302892309710443,,0.7732106773321575,0.0919781267129264,,
V1v_lh_subj02,backbone.blocks.1,vit_base_t=0_gs=112_f67cb922,0.41057150793646896,,0.004365456545624348,0.02721630699429467,,
OFA_lh_subj02,backbone.blocks.1,vit_base_t=0_gs=112_f67cb922,0.1351310779865418,,0.16325137145368696,0.06253145233496972,,
FFA-1_lh_subj02,backbone.blocks.1,vit_base_t=0_gs=112_f67cb922,0.031261308430732215,,0.5357217683492358,0.04216919220662464,,
V2d_lh_subj02,backbone.blocks.1,vit_base_t=0_gs=112_f67cb922,0.17123808027395318,,0.02935701896545088,0.030004458011648357,,
V3v_lh_subj02,backbone.blocks.1,vit_base_t=0_gs=112_f67cb922,0.23325740488433022,,0.02178640772203719,0.03500387730969658,,
