ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_716b48b9,0.3028373342666413,,0.003872502966252296,0.018900335197017025,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_716b48b9,0.16145882437537348,,0.006609835125349317,0.013192235671138442,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_716b48b9,0.09758657048042711,,0.09319773423752545,0.03207878922686579,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_716b48b9,0.37813359530295504,,0.025409748222271333,0.06145353618367855,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_716b48b9,0.065979089450334,,0.40041409301590647,0.06227279596142443,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_716b48b9,0.5316884312417786,,0.004132133454488394,0.03428416340722215,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_716b48b9,0.04915663700814199,,0.40209836536216204,0.04659921483749159,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_716b48b9,0.2450620485637781,,0.012639629641155942,0.027815755281921057,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_716b48b9,0.3615765213355611,,0.020004487079430335,0.051922662044064614,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_716b48b9,0.12470314956490451,,0.2622632468913593,0.08069037143290818,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_716b48b9,0.5495316725931838,,0.00327096165833164,0.031506336934502416,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_716b48b9,0.3061024648604503,,0.006719648432580878,0.02521955696475045,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_716b48b9,0.18216122739573914,,0.05872240829625488,0.04620287238962052,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_716b48b9,0.05094352164778156,,0.6631900074371548,0.10070309694795689,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_716b48b9,0.1248126967251732,,0.1459616975011034,0.053758262543224765,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_716b48b9,0.020648321516172533,,0.21456195153174545,0.011505528394896498,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_716b48b9,0.16124826363570668,,0.09681013566633817,0.054187918143012645,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_716b48b9,0.4521095354357078,,0.004147865775542059,0.02920857294880449,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_716b48b9,0.15445134452265283,,0.29032611549990317,0.1084220369558385,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_716b48b9,0.16235748856749846,,0.035565553678937295,0.0314643070059318,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_716b48b9,0.1815767040433696,,0.16623419985354462,0.08502236413398856,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_716b48b9,0.32044930457688825,,0.0028944545238068836,0.017277745717476117,,
V3d_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_716b48b9,0.24425424756988043,,0.005906351588616994,0.018855248086955146,,
FFA-1_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_716b48b9,0.04402625087225711,,0.14143842199326556,0.01859077246338933,,
RSC_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_716b48b9,0.10494247572502412,,0.4211152346295982,0.10452492896879484,,
