ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_6d4566e1,0.29741663754429143,,0.007686721753795924,0.02622713512871641,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_6d4566e1,0.16425573835794685,,0.02172713889737808,0.02461443742823745,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_6d4566e1,0.06917653674741474,,0.08608684484733986,0.02172543086909522,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_6d4566e1,0.37661503759135595,,0.0332083650078227,0.07039676432614436,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_6d4566e1,0.01588881093338837,,0.8273598137215926,0.06410089619939809,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_6d4566e1,0.5288827697475563,,0.004609100135086381,0.03603070999565242,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_6d4566e1,0.044823792580552774,,0.3680330068988684,0.038868544332812054,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_6d4566e1,0.22700125565992088,,0.01834322742650565,0.03117494441135873,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_6d4566e1,0.3581713491465129,,0.026821142595883172,0.059869419060393045,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_6d4566e1,0.12300845019564821,,0.32732580190403127,0.09567775543932076,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_6d4566e1,0.5456130497074371,,0.00543037169375688,0.040371411850502054,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_6d4566e1,0.30093866591443336,,0.012426161834364789,0.033862853798063954,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_6d4566e1,0.15787564423231545,,0.052333568137019754,0.037609027481272025,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_6d4566e1,0.05570245935058186,,0.6482960346048683,0.10483579287837808,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_6d4566e1,0.09182263609420012,,0.23483088685353978,0.054632125415528636,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_6d4566e1,-0.03386421829987845,,0.07388550448549039,0.009753984177465938,,
