ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_857ca1be,0.30416416839540794,,0.010594221151063623,0.03155838831128817,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_857ca1be,0.13690531839315448,,0.08403976441616964,0.042409617985692476,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_857ca1be,0.052978596870578654,,0.07399557610107428,0.015272281156102387,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_857ca1be,0.3759926109545169,,0.017398336448668856,0.05025258570444039,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_857ca1be,0.043094735668010455,,0.5711022077155892,0.06418195101842918,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_857ca1be,0.5293468579613876,,0.004016860902347252,0.03365078393407821,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_857ca1be,0.06491715641212507,,0.29043540260148637,0.045584803374937956,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_857ca1be,0.23961680151559575,,0.019102766688999115,0.03360143831249374,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_857ca1be,0.36260884448483993,,0.02972349430629138,0.06395012546456087,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_857ca1be,0.10597370787753478,,0.2959265965952461,0.07557903489992253,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_857ca1be,0.5599538320437767,,0.0015785838760958588,0.022274127642393237,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_857ca1be,0.2894075211624954,,0.010268043489753293,0.029554142284740733,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_857ca1be,0.16759060521826244,,0.06363260757942205,0.04442445723360688,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_857ca1be,0.047106981597437765,,0.7132610689593769,0.11128921994967413,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_857ca1be,0.11430338929503592,,0.1315045010424972,0.04613100065220804,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_857ca1be,-0.006851873479827595,,0.22105475919755124,0.003900485194631437,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_857ca1be,0.13340442911747677,,0.06676435282222645,0.036314381400561396,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_857ca1be,0.4496624443106813,,0.005617375031072842,0.0338445732675931,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_857ca1be,0.14765374921183338,,0.3192717562922124,0.11235300973634238,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_857ca1be,0.1435809748938278,,0.021223411593669146,0.021257114271340433,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_857ca1be,0.16886299758720083,,0.19920936675547732,0.08930730849212766,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_857ca1be,0.318297176109948,,0.00037656593341460823,0.006178399435544233,,
V3d_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_857ca1be,0.23078923805349513,,0.015065103585827177,0.028651820733578717,,
FFA-1_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_857ca1be,0.028327067992548745,,0.2918256782566651,0.019969826797677878,,
RSC_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_857ca1be,0.12544511998686095,,0.34246977358931585,0.10164005776333557,,
OFA_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_857ca1be,0.04406917147908381,,0.6577372538816948,0.0855470909815761,,
EBA_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_857ca1be,0.14291616267479007,,0.03135351906091193,0.02591958582242721,,
mfs-words_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_857ca1be,0.06262792167562649,,0.5134528618454244,0.07951841438164689,,
hV4_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_857ca1be,0.3460468448037059,,0.025025373405082166,0.05579530113163321,,
RSC_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_857ca1be,0.14802885696213344,,0.3620368754827593,0.12634680833056028,,
