ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.2974819552487791,,0.01646357661179509,0.03864892030707314,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.14136482460046376,,0.03600889061722179,0.027575789919037842,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.04364089263647272,,0.157380080410074,0.019721487468252585,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.3466442725032586,,0.04321861093708351,0.07450113151351276,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.012559641177103042,,0.9089494977557565,0.09713420548587068,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.5105704770661728,,0.007969738451908917,0.04585490319929179,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.04974756416337885,,0.4396194069816374,0.05199091187794158,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.21616407086089376,,0.038615706695571746,0.04375571957247344,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.3459948436213671,,0.022642170307279982,0.05296667276761636,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.11995853202097222,,0.3144752374583403,0.09008527178598885,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.5415518889333018,,0.005747442274181977,0.04123402673245339,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.30425871046364444,,0.01034665960980002,0.03119131725758456,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.1440331712964483,,0.03784301016854463,0.028844386022501604,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.06899742706015304,,0.5799968105213629,0.1054199418641249,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.10244070654404407,,0.22828048019815803,0.05969390026989037,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,-0.047869731086631555,,0.016021107021636036,0.006133028627312758,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.11969266294933083,,0.12537554942496226,0.04691313766978683,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.44032395805796126,,0.007306532049342465,0.03784583133030557,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.12262490422617496,,0.43517604241811547,0.12668226110205974,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.12482559735687469,,0.034701803165334694,0.0238790700287042,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.17364168739095442,,0.17292639029691512,0.08344561052033662,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.33576849357107247,,0.0006683786235268601,0.008684983701882629,,
V3d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.23451481120232595,,0.025376989757741216,0.038087350899830466,,
FFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,-0.008508074215719037,,0.7346542495200341,0.02186000404381338,,
RSC_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.1787585829064777,,0.16329851773997311,0.08273547727412565,,
OFA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.024474176229613898,,0.8279128208146141,0.0990642215126226,,
EBA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.1461424128391424,,0.03428678327905673,0.02778027562735132,,
mfs-words_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.06166518965932433,,0.44764665671410564,0.0658068420029359,,
hV4_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.32889650724260117,,0.033901794526868693,0.062149399291732375,,
RSC_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.21208442444971154,,0.20553443130044757,0.11463798788035902,,
V3v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.45320095509479147,,0.0016911519338689816,0.018660940032487125,,
V1v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.47218544420648473,,0.020599669214953518,0.06883895890038955,,
EBA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.044850801044813315,,0.3222804212863981,0.03440977411691651,,
V1d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.34728013471334673,,0.009680124566138659,0.03441845417450581,,
FFA-2_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.0358386197334166,,0.37957992495816206,0.03203434589978135,,
V2v_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.3233331151652667,,0.0038579931290781714,0.020141433469363094,,
PPA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.1749166441313564,,0.04563303454057829,0.03870289680806355,,
V2d_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.22440641192139318,,0.028697540487931605,0.038856595471624227,,
OWFA_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.04677419357454061,,0.34993685574671685,0.03866169508419867,,
V2v_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.3662582246929924,,0.005656198387888426,0.027662928104533874,,
V3d_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.2580719099449168,,0.03703155051995585,0.051092398141897935,,
VWFA-2_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.0054448438677739686,,0.9618252212015128,0.10078066535137506,,
EBA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.010757184552489122,,0.8478026600612523,0.04939549947125294,,
OWFA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.16953302046138166,,0.007168612494922315,0.014431671446404963,,
mfs-words_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,-0.01723441373020791,,0.7300621129812384,0.04346991771219233,,
OPA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,-0.006551437040096947,,0.9176007903457608,0.05602981010185284,,
V1v_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.4211497846502521,,0.010424160533117621,0.043338442181277186,,
OFA_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.10251033971145336,,0.28236154427770715,0.07034214760766798,,
FFA-1_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,-0.014460025457003728,,0.5097739657412697,0.01817910874238807,,
V2d_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.1700138521716199,,0.029905306902417172,0.030079655881640806,,
V3v_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.22870262457501886,,0.04405996118076431,0.04966212768862711,,
EBA_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.032722451308324,,0.5466626219585805,0.04549380014890062,,
VWFA-1_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,-0.0236909046541133,,0.7270604268985993,0.05904583746045352,,
RSC_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.17374253867790848,,0.10066758076011176,0.05973326069249855,,
OPA_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.0735381090019553,,0.6097771396657607,0.12269095145778325,,
hV4_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.20858049697044936,,0.07873965159405241,0.062268180413204845,,
FBA-2_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.018891761006281916,,0.7482545997037733,0.05135451127262702,,
hV4_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.43127347723989296,,0.009064298154673528,0.04134166709096369,,
V1d_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.41273271049174465,,0.004993146886743784,0.029274345006790093,,
V1d_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.41682050703643675,,0.011163401403993278,0.04441271979632198,,
VWFA-1_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.02585734383979191,,0.7192306505099547,0.06250126008831702,,
V3d_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.29689816045747314,,0.017100855743252538,0.0393317061974221,,
FFA-1_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.19044555000899158,,0.05016102898536227,0.044339259801521945,,
RSC_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.12542143083136847,,0.2831901449914479,0.08626864014901928,,
V1v_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.5261849024977124,,0.001824108529249329,0.02250393699461576,,
PPA_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.2135095234199591,,0.06690861430270206,0.05818958821045986,,
V3v_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.45220497341080995,,0.0022478741374756302,0.021476053189767405,,
OFA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.11177131231147913,,0.06209771131463259,0.029232199329010337,,
V3v_lh_subj03,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.16933634751549698,,0.13796387117103653,0.07040223716069409,,
PPA_lh_subj03,backbone.blocks.1,vit_base_t=15_gs=112_961ebc62,0.21968319676155887,,0.03246227584465983,0.0405756000051728,,
