ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_85d03c35_center_crop,0.29451916857307636,,0.008242391556069588,0.026905303191459444,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_85d03c35_center_crop,0.1545510427525918,,0.04946295141794003,0.03571124639663991,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_85d03c35_center_crop,0.05497569195014416,,0.21952003650122173,0.031138635416972555,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_85d03c35_center_crop,0.3554830285257877,,0.026583525845825923,0.05914538285600292,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_85d03c35_center_crop,0.022925851781158215,,0.7645244138260836,0.06690789381067301,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_85d03c35_center_crop,0.5239843941661672,,0.00470583453176554,0.03607228794203977,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_85d03c35_center_crop,0.05181725998479647,,0.40189609017578776,0.0490955582720088,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_85d03c35_center_crop,0.229816709665847,,0.020327706045721917,0.03327565532303607,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_85d03c35_center_crop,0.34984789134735084,,0.024919028074160736,0.05628356313164214,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_85d03c35_center_crop,0.13104401159694684,,0.2117884882931839,0.07234691665262773,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_85d03c35_center_crop,0.5505854637353673,,0.0017836947643413163,0.023284483127566563,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_85d03c35_center_crop,0.2883268195822417,,0.010303671885906206,0.029495617594713884,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_85d03c35_center_crop,0.1743229197194114,,0.059202264018461744,0.04441222444728623,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_85d03c35_center_crop,0.07143598102542727,,0.5602027292961824,0.10315083993657113,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_85d03c35_center_crop,0.10338205048964606,,0.16745246472711947,0.048640104692986415,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_85d03c35_center_crop,-0.006675215353317075,,0.6287854344579205,0.011806718814457984,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_85d03c35_center_crop,0.11518933641981921,,0.10110329662220019,0.03970277106041255,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_85d03c35_center_crop,0.4394542194695609,,0.0068920454351722935,0.03667259628942963,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_85d03c35_center_crop,0.13812400172490857,,0.3444338735466502,0.11250293255181038,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_85d03c35_center_crop,0.12850493299137444,,0.023252487250579927,0.019944942823495473,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_85d03c35_center_crop,0.18093062137717675,,0.14305175583304391,0.07694651939908681,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_85d03c35_center_crop,0.3187973641287321,,0.00031413019801269844,0.005651606337576981,,
V3d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_85d03c35_center_crop,0.2175741394725709,,0.018534362896035134,0.030039955261489334,,
FFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_85d03c35_center_crop,0.02240149233184287,,0.42771616333394336,0.022698323386945492,,
RSC_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_85d03c35_center_crop,0.17457240206175342,,0.11793029135481274,0.06593078094433466,,
OFA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_85d03c35_center_crop,0.047583711447061895,,0.64950298842036,0.08990759623796246,,
EBA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_85d03c35_center_crop,0.15376286785933188,,0.028253794057034962,0.026408729825572335,,
mfs-words_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_85d03c35_center_crop,0.0732963996122078,,0.47966924472496586,0.08506053796008874,,
hV4_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_85d03c35_center_crop,0.34440756950766854,,0.029751323318642078,0.06076986857283591,,
RSC_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_85d03c35_center_crop,0.18830282670516962,,0.2120031692477236,0.1040331910098944,,
V3v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_85d03c35_center_crop,0.4799648189065088,,0.00019757896867857766,0.006747519140018611,,
V1v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_85d03c35_center_crop,0.47679666934552395,,0.02083840822237457,0.06992568724870071,,
EBA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_85d03c35_center_crop,0.05994514659808292,,0.2407011594438467,0.036327473232286044,,
V1d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_85d03c35_center_crop,0.3432667798981283,,0.003976783613306256,0.021711813065613962,,
FFA-2_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_85d03c35_center_crop,0.010136169780388588,,0.7183552650758032,0.024418034896683462,,
V2v_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_85d03c35_center_crop,0.33419211950810906,,0.00359610692917847,0.020094920558909383,,
PPA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_85d03c35_center_crop,0.15962843729328402,,0.032346703211309225,0.029428273547241986,,
V2d_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_85d03c35_center_crop,0.2331514438544985,,0.020032818023431754,0.03350515246062266,,
OWFA_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_85d03c35_center_crop,0.013595534401581807,,0.815216624692781,0.05112983357594316,,
