ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_f4c9bbc1,0.29070219262981706,,0.00854676061981866,0.027048731343067553,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_f4c9bbc1,0.12608883344038732,,0.05702852690221245,0.031473305924917774,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_f4c9bbc1,0.0461280854414182,,0.21900737356725572,0.02608338352690643,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_f4c9bbc1,0.36858643448174105,,0.017875712241020178,0.04995224567176942,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_f4c9bbc1,0.024887014810606973,,0.762770045337264,0.07206266357570498,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_f4c9bbc1,0.5270404992651366,,0.004333292916969934,0.0348071155627056,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_f4c9bbc1,0.056066041079236933,,0.40301949187531005,0.05327673171839004,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_f4c9bbc1,0.23821711734057696,,0.021837171626101912,0.035791180605624626,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_f4c9bbc1,0.345147583164157,,0.029342019282082875,0.06046084832888353,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_f4c9bbc1,0.09951915397583883,,0.26212351996847205,0.06436806572509163,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_f4c9bbc1,0.5571213291353874,,0.0011001088699637528,0.018493800876270606,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_f4c9bbc1,0.2812683566492646,,0.013269829480482786,0.03272725535024227,,
