ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.3051987693318469,,0.010510044408058576,0.03153766539865146,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.14468127871176448,,0.06212587081300171,0.03784877357366171,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.07054459206067108,,0.03695676835899724,0.013951306219025746,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.3721219483214917,,0.020358914277836686,0.053922973604757556,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.009937342677899995,,0.8896150263134928,0.06326786116058927,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.5302880797827422,,0.003178334507146636,0.029967384486870724,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.08138897344493543,,0.24991996829136626,0.05074256331059466,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.23518824563884952,,0.022765623507095187,0.03610528103281822,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.35606969522286785,,0.03211110451431819,0.06539166828650857,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.12427603194430419,,0.2980495804976213,0.08916279047535497,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.5618077727781423,,0.0006209326514149007,0.01400594176605306,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.29342930082368124,,0.009747680096834266,0.02918416794092012,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.16450211711834636,,0.06645837413410749,0.04466572888214336,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.06940603012398681,,0.609177287022912,0.11558730815289847,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.09896612066716633,,0.19462212714073016,0.05150531180092544,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,-0.010725901439011991,,0.27290242208151194,0.00716124016407924,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.13863274489001828,,0.1286431774232334,0.05519839755176558,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.44801496578437444,,0.006647508921684057,0.03671095265754574,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.143435565814097,,0.30730263451405626,0.10560175068539422,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.15005804147376212,,0.0509922516081075,0.03524791195763148,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.1691364924550308,,0.19617384690911918,0.088507094474511,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.320269342176188,,0.0005790573786043055,0.007710185777608539,,
V3d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.2256577372909201,,0.012916112245359594,0.02589734095074283,,
FFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.04258704730950674,,0.1794074772790776,0.02097305153847479,,
RSC_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.14274108465125954,,0.2580566624123842,0.09120902334054388,,
OFA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.05278836382156024,,0.582425969551051,0.08122373605083932,,
EBA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.16525066940622934,,0.021465680200052007,0.02460913160991411,,
mfs-words_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.06407440586116951,,0.4917205629222622,0.07676568681830183,,
hV4_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.3490507564199013,,0.023982509960131522,0.05505017378941633,,
RSC_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.17856820535219753,,0.28329662488728513,0.12286212347738584,,
V3v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.48655830576168313,,0.00020510920392261434,0.006969382193249078,,
V1v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.4755737932568347,,0.02407560915949922,0.07515546181533553,,
EBA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.07730480547242183,,0.24989000087891494,0.048191855883260616,,
V1d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.3543640703842823,,0.002153245908973399,0.016470194820916606,,
FFA-2_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.03088762542884679,,0.4520351371653507,0.03334137141038414,,
V2v_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.3326482494104522,,0.001758953910252911,0.013969664907954637,,
PPA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.14153567319712446,,0.03422401862107403,0.02687862391134383,,
V2d_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.23591881653183344,,0.0044839471243979575,0.015851018390739578,,
OWFA_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,-0.00021546493390114477,,0.9965611557833902,0.04430436664513451,,
V2v_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.3600090284579381,,0.01700024669871708,0.04754818322570164,,
V3d_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.23963873704482178,,0.03401027561845013,0.04535918211864549,,
VWFA-2_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,-0.004639912196278989,,0.955440502362576,0.0735568111531889,,
EBA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,-0.000603545271529983,,0.9909784664556472,0.04730388517305558,,
OWFA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.15119962763741157,,0.0025242167018604033,0.007610925002915165,,
mfs-words_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,-0.004644004017783018,,0.92827111008645,0.04566288694570555,,
OPA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,-0.008339369794485471,,0.9080117129205403,0.06383228894252091,,
V1v_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.4161369177006479,,0.01139306405903311,0.044801477801888125,,
OFA_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.035472287097630964,,0.6429520720512087,0.06561974964647843,,
FFA-1_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,-0.01581543778251256,,0.00678394731391573,0.0013093052560492573,,
V2d_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.17601115454202054,,0.009505737189030491,0.017284093064352,,
V3v_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.21239291155775933,,0.04807983093969697,0.04833224671638356,,
EBA_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.03595856439000883,,0.508084095604863,0.04500248074305323,,
VWFA-1_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,-0.03816105090140794,,0.599437699705002,0.061724630433161544,,
RSC_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.11631357814892108,,0.23480056295120527,0.06919699477854173,,
OPA_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.08455610047411925,,0.5687321999419501,0.12508270771190383,,
hV4_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.17863703584062843,,0.1270390646280747,0.07058212016763789,,
FBA-2_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.010627588263937768,,0.7978190821937943,0.03640128239441664,,
hV4_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.4432718321246594,,0.006273991922563812,0.03527712591620317,,
V1d_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.4264562413816504,,0.0026639598569072904,0.022055015698969692,,
V1d_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.4254686703333647,,0.009206453604888226,0.041108224123551265,,
VWFA-1_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,-0.02387216772108029,,0.737205939326659,0.06197577861766817,,
V3d_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.30747207656964276,,0.013945850136961441,0.03669509003240862,,
FFA-1_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.18029303454852,,0.06646988850234418,0.04895798837094011,,
RSC_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.09186984125972673,,0.4205724996330439,0.09137536992910705,,
V1v_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.5333658379305546,,0.0023325592445465,0.025804909244116127,,
PPA_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.197278485233484,,0.048872733427092675,0.04528998831012758,,
V3v_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.4752161529072932,,0.00186840924125966,0.020570101826792593,,
OFA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.10526210003858531,,0.046658958583527844,0.0235703103364325,,
V3v_lh_subj03,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.19028261586161507,,0.0759648863277255,0.05566838003554317,,
PPA_lh_subj03,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.2032514274186736,,0.04391810728591485,0.044059426251160716,,
RSC_lh_subj03,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.06463705568595467,,0.4358239237230803,0.06688831478820001,,
V3d_lh_subj03,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.17275329006255466,,0.022841762324680652,0.026566353682784476,,
VWFA-1_lh_subj03,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.006794222372014565,,0.9399010170380957,0.07979430662827526,,
RSC_rh_subj03,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.133745613316517,,0.18413511749882333,0.06702801917806922,,
V3v_rh_subj03,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.19363342381961732,,0.007798715410610866,0.017200603547184293,,
OPA_rh_subj03,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.2068086403510864,,0.019934322511251996,0.029644152542485556,,
OPA_lh_subj03,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.1517814880320791,,0.07075600638100896,0.04267261725492466,,
hV4_lh_subj03,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.20952425293833624,,0.05465242345790193,0.05110120065694998,,
V2d_rh_subj03,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.2354346670589282,,0.023568519146645414,0.03679769965442266,,
V3d_rh_subj03,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.1730822655016417,,0.1007805953756118,0.05954536098130144,,
OFA_rh_subj03,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.10786805586463087,,0.04859193119501167,0.02468693373276957,,
EBA_rh_subj03,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.07185001059452971,,0.2552924037114552,0.045530909650231786,,
V1v_lh_subj03,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.4456534245909978,,0.005616259015762315,0.03353946746096781,,
V1v_rh_subj03,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.3272228216928296,,0.03522389890614103,0.06309243618169096,,
mfs-words_lh_subj03,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.07086043566355348,,0.665988740950197,0.14139723105870375,,
OWFA_lh_subj03,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.044515382742384556,,0.6641618480153444,0.08828338285670793,,
hV4_rh_subj03,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.08203710087307896,,0.01127167465634788,0.00878416090737264,,
EBA_lh_subj03,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.07740568027349747,,0.2523087229246852,0.04861093918774074,,
V2v_lh_subj03,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.43249565651656985,,0.001363273435088005,0.015985183879556976,,
FFA-1_lh_subj03,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.0953347316453133,,0.13829232667396457,0.039694558546839356,,
VWFA-2_lh_subj03,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.12055274034436379,,0.38218306090239373,0.10849324125824789,,
FFA-2_rh_subj03,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.17529604922641406,,0.11762978132420988,0.0661024346053584,,
V2d_lh_subj03,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.21905951510251,,0.022889708354664088,0.033724002634745405,,
OFA_lh_subj03,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.07902282446212168,,0.42271296793311597,0.07903580857300091,,
OWFA_rh_subj03,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.027983395396853492,,0.5453241164776059,0.03876090989758391,,
V1d_lh_subj03,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.3267159326151287,,0.011318362513096087,0.03505688140620581,,
FFA-1_rh_subj03,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.018117790247300005,,0.7117159252466947,0.0425528584358322,,
PPA_rh_subj03,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.2152512553316075,,0.025835858824903687,0.03528593556957661,,
V2v_rh_subj03,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.30115943310551246,,0.00531127510368729,0.022035922831045336,,
VWFA-1_rh_subj03,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.0074712475282505035,,0.9594253232140972,0.13009639829086525,,
FBA-2_rh_subj03,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.042265051959576194,,0.6110934115208766,0.07079644143203111,,
V1d_rh_subj03,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.29871417984563425,,0.031693370120917504,0.054482687797153234,,
RSC_lh_subj04,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.1363643381054182,,0.5686239013861829,0.2016597240282406,,
hV4_rh_subj04,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.16159435730061059,,0.025761942852908035,0.026450578148806022,,
PPA_lh_subj04,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.17128502172338878,,0.04147298687701452,0.036012019178166585,,
hV4_lh_subj04,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.09441701850089392,,0.06783411738840933,0.025929155642056938,,
FFA-2_rh_subj04,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,-0.01709825803241895,,0.6006000812952205,0.027751886606864746,,
OWFA_lh_subj04,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.025865447932099394,,0.4052824489461009,0.02472378942111501,,
V1v_lh_subj04,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.3877935644341341,,0.011385909159304198,0.041736681670491764,,
V2d_lh_subj04,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.30355520683391846,,0.05505312161946791,0.07432931678016837,,
V3d_lh_subj04,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.2231103304290661,,0.0617272694822039,0.058159620387723536,,
EBA_lh_subj04,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.02037743444023586,,0.6478502348514099,0.03829629963329489,,
RSC_rh_subj04,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.1704516897350139,,0.4605690016330456,0.18813858766608993,,
OPA_rh_subj04,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.16164210608845417,,0.003915572844223324,0.010144495628319228,,
OWFA_rh_subj04,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.11396683892735139,,0.13472425394357526,0.046687797812327125,,
mfs-words_lh_subj04,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,-0.025900842768637692,,0.7363299938345337,0.06700253785386964,,
OFA_lh_subj04,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.06423309966693211,,0.21487806176581087,0.03582917036457808,,
FFA-1_rh_subj04,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.028366803665378647,,0.5521351811418016,0.04004378992672355,,
FFA-1_lh_subj04,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.02154941964582538,,0.7613039306998105,0.06199215433769115,,
PPA_rh_subj04,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.14239550697118022,,0.00417936549456078,0.009234557670338575,,
V2v_rh_subj04,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.43465266776360406,,0.004820723235276765,0.03028817388023496,,
OPA_lh_subj04,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.1419071263540327,,0.009853786005704286,0.014191683994252304,,
V1v_rh_subj04,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.4649302828409614,,0.007741711199818451,0.04114711643263645,,
V1d_rh_subj04,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.3770328182341152,,0.0326660246180349,0.06986745171652696,,
V3v_lh_subj04,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.17774407639330647,,0.04186610226489451,0.0375583401416167,,
VWFA-2_lh_subj04,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,-0.12045083582347284,,0.42788886759424394,0.12210165116229005,,
FBA-2_rh_subj04,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.0266188887864157,,0.7958699594052883,0.0902663234083379,,
V3d_rh_subj04,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.21737803906850053,,0.17124260077909842,0.10379040480075347,,
V3v_rh_subj04,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.24462337903041542,,0.032472232160922175,0.04518934347600971,,
VWFA-1_rh_subj04,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,-0.005826665840051898,,0.9310324849603562,0.0595971108962747,,
EBA_rh_subj04,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,-0.005968436267717978,,0.920390276747645,0.05284438565633962,,
V1d_lh_subj04,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.3157849331218627,,0.0034298336238638353,0.018541605675953317,,
V2v_lh_subj04,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.36939638833395655,,0.004039388862716299,0.023548828086027762,,
OFA_rh_subj04,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.08516663918993617,,0.10894811311000614,0.030677014862067038,,
VWFA-1_lh_subj04,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,-0.027208068015946385,,0.31817928123223016,0.020641360079038676,,
V2d_rh_subj04,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.24935685598424503,,0.13777524698961938,0.10358275928640671,,
V2d_lh_subj05,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.2739900113072887,,0.013534000742595129,0.032202625209348995,,
PPA_lh_subj05,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.16751976745167882,,0.10155880655956635,0.057892029716259806,,
V3d_rh_subj05,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.22263585446616782,,0.006873827356181931,0.01855420658053811,,
OFA_lh_subj05,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.0830660769621137,,0.12864419056758428,0.03307397893744381,,
RSC_lh_subj05,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.2561922283579545,,0.04299405268572892,0.05490812093622773,,
FFA-1_lh_subj05,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.17799686362922792,,0.016718309924363288,0.023308149078166748,,
FFA-2_rh_subj05,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.16929490999342542,,0.17012665140794928,0.08048478318443031,,
RSC_rh_subj05,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.2001044037181536,,0.07672094615271198,0.05886901801127045,,
V3v_lh_subj05,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.32637396462232465,,0.016444904448164464,0.04237791911969895,,
FFA-1_rh_subj05,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.03327572486564336,,0.48299487990273693,0.03895672768757461,,
VWFA-2_lh_subj05,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.07828394214626451,,0.6445364681715999,0.1455560642794091,,
V1d_lh_subj05,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.414999541181902,,0.0044609763303378016,0.02781117912701279,,
V2d_rh_subj05,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.258209862267962,,0.0040775847966903,0.016538862990734104,,
V2v_rh_subj05,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.4280979711504774,,0.00747973668913981,0.037233453312832517,,
VWFA-1_lh_subj05,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.1602805310955331,,0.03372119099806775,0.030202112542790174,,
V1v_rh_subj05,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.5339757394926843,,0.001635727250718289,0.02162271727520173,,
VWFA-1_rh_subj05,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.036023693929869725,,0.4586961816513422,0.03956752133706988,,
V1d_rh_subj05,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.44288018674697865,,0.02122902051810748,0.06557720678783643,,
EBA_lh_subj05,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.07114851613014006,,0.007318572750934469,0.006120305294628243,,
EBA_rh_subj05,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.0555509261160946,,0.20369365517768814,0.02983836913573106,,
V2v_lh_subj05,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.5160871776737558,,0.0036709793038436534,0.03135539808101389,,
OWFA_rh_subj05,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.14549835926919427,,0.14399979044613437,0.062135409897127826,,
V3d_lh_subj05,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.21057902376713425,,0.05256815152763487,0.050285713605235746,,
FBA-2_rh_subj05,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.15533204454113728,,0.21102738438853894,0.08553727007424425,,
V3v_rh_subj05,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.2734322125032746,,0.0035997421476724398,0.016449789796218563,,
V1v_lh_subj05,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.4689611434472593,,0.006656693286226472,0.038454114660484054,,
OPA_lh_subj05,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.19184160899501443,,0.019959307285342835,0.027516518976930724,,
PPA_rh_subj05,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.09055867296535508,,0.20087848059430194,0.048172499689416705,,
OWFA_lh_subj05,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.12766504945328902,,0.2633452622852336,0.08287289897915767,,
OFA_rh_subj05,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.11733132880286545,,0.2297346517822694,0.06868961275759812,,
hV4_lh_subj05,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.2133149000726742,,0.025084584958997975,0.0344363383711456,,
OPA_rh_subj05,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.056943465438690576,,0.4728334349055059,0.0649050264174689,,
hV4_rh_subj05,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.20911987005277455,,0.10766356120441879,0.07479717945108952,,
mfs-words_lh_subj05,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.30254995162404313,,0.08828565220114833,0.0964006284692652,,
VWFA-1_lh_subj06,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.17256290075324832,,0.010754792451516143,0.01804154213037836,,
FFA-1_lh_subj06,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.008571302710935988,,0.8626361136324137,0.04370416235272953,,
V2v_rh_subj06,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.41874076480585365,,0.006325765178553395,0.033463383170920284,,
V3v_lh_subj06,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.2764715463376205,,0.00846140671183367,0.025594194722086988,,
FBA-2_rh_subj06,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,-0.11902661542471958,,0.44959381847491187,0.12766701234742472,,
V3v_rh_subj06,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.2813337073482825,,0.05232028565346978,0.06700990631532881,,
EBA_rh_subj06,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.01819619270258932,,0.818727774424634,0.06980379284592861,,
OPA_rh_subj06,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.16379133336911114,,0.08254800955210273,0.05022363308652072,,
mfs-words_lh_subj06,backbone.blocks.1,vit_base_t=15_gs=336_71a192c8,0.106569948629548,,0.26826555031618426,0.07019228135327168,,
