ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_45afc93c,0.28741012210772654,,0.013646784789798335,0.033923293278661615,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_45afc93c,0.1475997172074308,,0.037323952560405174,0.029343268458700746,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_45afc93c,0.06187534227100842,,0.10359534269301977,0.021633865957458066,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_45afc93c,0.35970730855809124,,0.022054734309973466,0.054322251939329116,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_45afc93c,0.0013637083845034809,,0.9842677404673634,0.061286053943061455,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_45afc93c,0.5189609223109106,,0.004641171099718823,0.0354784206827303,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_45afc93c,0.05518439031568253,,0.3569862422789162,0.04647584831062224,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_45afc93c,0.2163390951865158,,0.01973983605273421,0.03085400555129533,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_45afc93c,0.33905834880469654,,0.033335369467614624,0.06350404752329476,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_45afc93c,0.11176492447961849,,0.3462120248457091,0.09146703296462011,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_45afc93c,0.5342013161313405,,0.002988396981778072,0.029268413491542727,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_45afc93c,0.28727695108899076,,0.009626126907606319,0.0283909374520358,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_45afc93c,0.17102123333483973,,0.06779901034507603,0.046952995437639804,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_45afc93c,0.05669168351998823,,0.6631496593624472,0.11205069027200507,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_45afc93c,0.09102677109843138,,0.19450565562056807,0.04735390815666721,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_45afc93c,-0.034093009194417295,,0.036517623441993184,0.0066999462614176514,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_45afc93c,0.14549564732639408,,0.12403473509570695,0.05665420845337785,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_45afc93c,0.4331586225523676,,0.007321950398515177,0.037269666543815,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_45afc93c,0.14067686841695562,,0.28362849950455127,0.09688353471125329,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_45afc93c,0.1546255454051273,,0.04128060547342815,0.03242902374271106,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_45afc93c,0.17043756039803057,,0.18089125924043487,0.08440086009130082,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_45afc93c,0.31645923914280777,,0.0002598474084023998,0.005102248715277007,,
V3d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_45afc93c,0.20655743152357445,,0.021121793597498793,0.030505075011116493,,
