ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_8e85698d,0.272796135874885,,0.015102503759480296,0.03390983692826954,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_8e85698d,0.15172166203904133,,0.023350617326652848,0.02359977800381488,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_8e85698d,0.07690329863404421,,0.1414901773468022,0.03248106630397674,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_8e85698d,0.36949150972418715,,0.023368548104306417,0.05749597926483919,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_8e85698d,0.016310380572711676,,0.8161301181917034,0.06165526780825117,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_8e85698d,0.5173332923418663,,0.006295779334220108,0.04124330012170468,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_8e85698d,0.0593357777799188,,0.2857493243443482,0.0411131499806683,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_8e85698d,0.21968756717505789,,0.02367233054769559,0.03441476971633404,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_8e85698d,0.32833540420971763,,0.03418707455488479,0.06231775027834597,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_8e85698d,0.12583905041442262,,0.28728556836810465,0.08757583066732347,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_8e85698d,0.5341948146747241,,0.005437843533862785,0.03955395190657027,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_8e85698d,0.28246633196684795,,0.01473985853552698,0.03467816814270707,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_8e85698d,0.17510515416683448,,0.04887583084706555,0.04020094340776331,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_8e85698d,0.07242342797653811,,0.5634104789861628,0.10552845478867175,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_8e85698d,0.0965541686055525,,0.16916906863799785,0.04573281914910944,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_8e85698d,-0.00893429030292006,,0.5400346504896674,0.012195568035245815,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_8e85698d,0.14901666863731128,,0.13775176766305294,0.061894907084322846,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_8e85698d,0.43144388881439283,,0.011009526811647314,0.04564759425629166,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_8e85698d,0.14676696433209535,,0.27800229880175353,0.09945302015249989,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_8e85698d,0.15602332809017,,0.04997346745251203,0.03625173591244259,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_8e85698d,0.18106365217663503,,0.13126550807733178,0.07299251472103965,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_8e85698d,0.31134565468941783,,0.000305750951903848,0.00544535659151741,,
V3d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_8e85698d,0.20000657348355996,,0.015972431744291988,0.025584761787039764,,
FFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_8e85698d,0.03634599105349252,,0.25636010531053033,0.02310640898234798,,
RSC_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_8e85698d,0.12593701653055508,,0.3425220484997341,0.1020529012457279,,
OFA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_8e85698d,0.05158917308006375,,0.5878798320209575,0.08064915272647717,,
EBA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_8e85698d,0.16627904343173963,,0.03654761727271094,0.03269128451162214,,
mfs-words_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_8e85698d,0.05996355267564709,,0.5493086003495742,0.08398250117389307,,
