ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_73ab30db,0.28970112075521354,,0.009242225434588752,0.028045628538281183,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_73ab30db,0.13680099865230697,,0.04064979579619807,0.028456554508083647,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_73ab30db,0.04448865328764497,,0.22014474543263116,0.02525031284991035,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_73ab30db,0.35274263435530134,,0.031165117952956067,0.06377232113970698,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_73ab30db,0.012156140448018266,,0.8886250912197393,0.07669780403459574,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_73ab30db,0.5195263075911429,,0.006137156751147933,0.04088813858983498,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_73ab30db,0.05722790905533152,,0.4080599731571982,0.05509859469961449,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_73ab30db,0.21992588584028927,,0.03258797849558815,0.040702983434979904,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_73ab30db,0.35320140115973714,,0.02744349234317397,0.05974849782633768,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_73ab30db,0.11316358237010327,,0.2799576392137669,0.0771168665813269,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_73ab30db,0.5462414662636167,,0.002475032379726658,0.027225912433023934,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_73ab30db,0.27707206765624964,,0.01100943704580999,0.029314636800180368,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_73ab30db,0.17905887374832866,,0.04696962869031634,0.0402380727640827,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_73ab30db,0.05175154339319663,,0.6684121217585083,0.10411582334770085,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_73ab30db,0.09321356451937952,,0.2300259497594346,0.05462103121486963,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_73ab30db,-0.013963460017837747,,0.1238750987213752,0.005432939947423034,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_73ab30db,0.1409746331479114,,0.10084691225551089,0.04851808209179321,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_73ab30db,0.43689475498404867,,0.008053632952762353,0.03944649122657077,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_73ab30db,0.1344179875229217,,0.3684237871055309,0.1166793873428268,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_73ab30db,0.15007581883632343,,0.03170461854239952,0.027377530172135157,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_73ab30db,0.16671246490443006,,0.16844721247840388,0.07874171789420116,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_73ab30db,0.31346898867930656,,0.0006111136971828868,0.007752730997472799,,
V3d_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_73ab30db,0.21513074499498783,,0.017596716748254002,0.02892074684510668,,
FFA-1_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_73ab30db,0.017763937741224454,,0.5333608062164393,0.02380757845220071,,
RSC_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_73ab30db,0.14692366067249554,,0.22459449106457477,0.08460503155634008,,
OFA_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_73ab30db,0.03638053631506697,,0.7402696484236913,0.09564563705284214,,
EBA_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_73ab30db,0.15083014761456107,,0.03502448137514883,0.028994878375230713,,
mfs-words_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_73ab30db,0.06506989829861527,,0.5093483072511373,0.08171228419874536,,
hV4_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_73ab30db,0.33476254538671485,,0.033443007730970746,0.0628058835714892,,
RSC_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_73ab30db,0.1651261108942912,,0.29571230767788814,0.11769467381140562,,
V3v_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_73ab30db,0.47163171131634507,,0.0005149070081762122,0.010706195413849437,,
V1v_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_73ab30db,0.4688630531830582,,0.024648575907787216,0.07500461605647925,,
EBA_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_73ab30db,0.05575221732586034,,0.35654663157873456,0.046899361455222735,,
V1d_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_73ab30db,0.3380006180006072,,0.0033197228841419647,0.019523236370699557,,
FFA-2_rh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_73ab30db,0.013721010431377507,,0.7024965681910467,0.031135473728524023,,
V2v_rh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_73ab30db,0.3323032934554927,,0.004401242269214834,0.022118697634201115,,
PPA_rh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_73ab30db,0.15880214458511688,,0.027006191159019945,0.026639484614149292,,
V2d_rh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_73ab30db,0.22378223321443935,,0.025314650739614517,0.036297865708502415,,
OWFA_lh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_73ab30db,0.01981536539207245,,0.7334755068872003,0.05066984381370577,,
V2v_lh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_73ab30db,0.36188788369422537,,0.009489981714120299,0.03550708699371003,,
V3d_lh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_73ab30db,0.23100795309058242,,0.05002820658629022,0.053706005950615816,,
VWFA-2_lh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_73ab30db,-0.01936789824770241,,0.8162641392595168,0.0732683362088953,,
EBA_rh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_73ab30db,-0.012748969839981519,,0.7880071280890253,0.04155793345554848,,
OWFA_rh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_73ab30db,0.15165378962213072,,0.010078307505839353,0.01534084295260424,,
mfs-words_lh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_73ab30db,-0.01943859510434091,,0.6767404079828275,0.040237596870809765,,
OPA_rh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_73ab30db,-0.007194780886317027,,0.9260318299450184,0.06859087802141818,,
V1v_lh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_73ab30db,0.4161163609021156,,0.008616766633704915,0.038878348907260385,,
OFA_lh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_73ab30db,0.05558603382093216,,0.5216991512598064,0.07216739286874367,,
FFA-1_lh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_73ab30db,-0.017353482134742002,,0.34001841483011996,0.013968271619155495,,
V2d_lh_subj02,backbone.blocks.1,vit_base_t=20_gs=224_73ab30db,0.15180603458623712,,0.03634244276146463,0.029757143597782986,,
