ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_1cfad2ae,0.29759698875000795,,0.006331253447759536,0.023792674011024157,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_1cfad2ae,0.13620599512038248,,0.03520371884570132,0.026254191006793604,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_1cfad2ae,0.03700648358531177,,0.254113688692386,0.023367496971875575,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_1cfad2ae,0.37729432327995327,,0.011553057268754866,0.04090886000704183,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_1cfad2ae,0.030383920873349807,,0.7018700682814935,0.06878768294585927,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_1cfad2ae,0.5367465539905741,,0.0028486511554128313,0.028709016140545836,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_1cfad2ae,0.06526247599171568,,0.3198398150165759,0.04973692715030284,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_1cfad2ae,0.24263556161866162,,0.015892827462063892,0.030958521091112502,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_1cfad2ae,0.3527931663711614,,0.025951742282577923,0.057967802233271845,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_1cfad2ae,0.10580991074924606,,0.2913313930436577,0.07448875551682847,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_1cfad2ae,0.5654005940811982,,0.0007480029492005972,0.015472185445330822,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_1cfad2ae,0.28933662698543244,,0.008097331650953828,0.026195360422861646,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_1cfad2ae,0.1770436929746592,,0.05139133434489274,0.041762418037980115,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_1cfad2ae,0.05956712095083481,,0.6254791925248975,0.10427921512556951,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_1cfad2ae,0.10341102686903962,,0.15855040135283288,0.04695559373023018,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_1cfad2ae,-0.02365601853898679,,0.0889686796998344,0.00757087056719996,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_1cfad2ae,0.12257819600323354,,0.09977822497424552,0.0419245824652775,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_1cfad2ae,0.456282917673789,,0.004004355024608968,0.028960619975434556,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_1cfad2ae,0.14288116029916215,,0.2934976951078434,0.10120504785889137,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_1cfad2ae,0.13905252295497636,,0.0246423046017861,0.0222414704052232,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_1cfad2ae,0.16658966336599657,,0.1589529263582204,0.07576688965000067,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_1cfad2ae,0.3176116541892975,,0.00027684392600676127,0.005285719565345991,,
