ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.296489134320302,,0.009906042502326257,0.029730640001239414,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.14171391162683558,,0.03359018511272351,0.026648905151706,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.052010364469029735,,0.10176799607298471,0.01799561244152793,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.38264934812384443,,0.01111000707909614,0.04067246995860233,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.06680205818187332,,0.4091025729604175,0.06449112334239462,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.5303854810435161,,0.003138691090930704,0.029784487220104988,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.06003921135855519,,0.3758075043591048,0.053137719495281906,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.25178599665736534,,0.013872929749166062,0.029968934528614825,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.35923398576594173,,0.025636665670606903,0.05865240092988173,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.12434394072070272,,0.24847120046762222,0.07718104804761848,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.5621230384494339,,0.00046592439731032466,0.012137826175158972,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.27508511871818997,,0.009363778745507112,0.026807691594262772,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.18587193458552723,,0.06233415183278104,0.04871393279431657,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.05898920280716558,,0.6346800397983268,0.106286661864338,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.12928634322550933,,0.10380517004496873,0.04525704470856012,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,-0.011751406458090705,,0.3507008603404208,0.009733032073798524,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.14207857573122598,,0.08204437400096318,0.04341457855789134,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.45176634375366503,,0.0031348099511057334,0.02535376297426165,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.1458919617531579,,0.28147151466587544,0.09985457532069895,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.14883834074280006,,0.025316062932229384,0.024142536304041024,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.16985919628783766,,0.16923675514110867,0.08047486009119315,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.30702975417861994,,2.471253494940997e-05,0.0015263255095012097,,
V3d_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.23030078528387687,,0.01928140424740068,0.03245015161503673,,
FFA-1_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.04290040741744339,,0.2703342222569001,0.028428506938073365,,
RSC_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.14860583777537079,,0.24193905843561644,0.09040380457368519,,
OFA_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.03951989669464732,,0.689240823620606,0.08547198514478269,,
EBA_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.16099343173176178,,0.04792660265942585,0.03657287683771115,,
mfs-words_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.06763845224370611,,0.4785636669260188,0.07826617825492571,,
hV4_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.3450071642142853,,0.025507124215420257,0.05618145484428062,,
RSC_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.17573539596550317,,0.2849719390428155,0.12149483750043336,,
V3v_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.4844716236271594,,2.2566968667653692e-05,0.0023015070433599987,,
V1v_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.4807832140766823,,0.017688826226684135,0.06480680881513472,,
EBA_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.06888823987738403,,0.250273777683103,0.042995213954272735,,
V1d_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.3516339245825577,,0.004176769851669785,0.02279684919214902,,
FFA-2_rh_subj02,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.025019426112328904,,0.5459361540943448,0.034714274136606965,,
V2v_rh_subj02,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.3312483491012514,,0.0033865549269298913,0.019325824902974183,,
PPA_rh_subj02,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.16188688853451405,,0.04411176135646572,0.03517537834136929,,
V2d_rh_subj02,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.21516647359476873,,0.0149687579415834,0.026624787802603064,,
OWFA_lh_subj02,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.05460441606600994,,0.4501897659857441,0.05865931959265853,,
V2v_lh_subj02,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.37814828404463113,,0.012960948686661361,0.04347448014033014,,
V3d_lh_subj02,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.24283510762505867,,0.043970729030384056,0.05267381756769948,,
VWFA-2_lh_subj02,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,-0.049926067202317494,,0.5338370230013516,0.06699926677109257,,
EBA_rh_subj02,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,-0.010767330914538046,,0.855928578390927,0.052295046481973126,,
OWFA_rh_subj02,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.1507831967321256,,0.0017274010422060667,0.00627498588634029,,
mfs-words_lh_subj02,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,-0.016549585337703118,,0.7508317720485218,0.04548427126871437,,
OPA_rh_subj02,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,-0.0057993279394082204,,0.9462063389787023,0.07612061450134239,,
V1v_lh_subj02,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.42539782319751734,,0.010240647432954421,0.04338250602238888,,
OFA_lh_subj02,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.08629968715028773,,0.37961991797117633,0.07714704952309764,,
FFA-1_lh_subj02,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,-0.00830123433366143,,0.7219001468981836,0.020274393619545722,,
V2d_lh_subj02,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.1690711841310164,,0.02796193653986785,0.028881024468902984,,
V3v_lh_subj02,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.2281239525546365,,0.04752380832164534,0.05158818544433591,,
EBA_lh_subj02,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.023327026720373092,,0.693748078670084,0.051271961774864795,,
VWFA-1_lh_subj02,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,-0.02457762490609584,,0.7292302256328442,0.06178605972519091,,
RSC_rh_subj02,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.14432201003868284,,0.07403900511098682,0.04161777989732382,,
OPA_lh_subj02,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.07405936892268485,,0.6334588387905309,0.13292688165411354,,
hV4_lh_subj02,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.2084988330696631,,0.09077290766218375,0.06750301651609955,,
FBA-2_rh_subj02,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.0008926824519224821,,0.9801380537518165,0.031774192091021176,,
hV4_rh_subj02,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.44566843652107746,,0.007410738971077561,0.038580420609375936,,
V1d_lh_subj02,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.42203539156298014,,0.003135558330894327,0.02368806048456508,,
V1d_rh_subj02,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.4246885911305905,,0.015468196542178193,0.053441017581575836,,
VWFA-1_rh_subj02,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,-0.0016630604933016019,,0.9826047756059797,0.06759231113765078,,
V3d_rh_subj02,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.2773858985132283,,0.02143081368508066,0.041273642277916675,,
FFA-1_rh_subj02,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.1819130303597524,,0.04819012714969455,0.04144731451985135,,
RSC_lh_subj02,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.11375921876982954,,0.2974684080000225,0.08148426615556635,,
V1v_rh_subj02,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.5296300870528419,,0.0026115902327098796,0.02711921498782876,,
PPA_lh_subj02,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.2083119682188388,,0.05318576682853412,0.050060411539458165,,
V3v_rh_subj02,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.47486254031166003,,0.002555986629321813,0.02405364970601765,,
OFA_rh_subj02,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.09803423019784037,,0.05884173826947291,0.02489277453110078,,
V3v_lh_subj03,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.20632075748614911,,0.04434680593104311,0.044957764036942904,,
PPA_lh_subj03,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.20093381837734978,,0.04525161240025834,0.044260016033291334,,
RSC_lh_subj03,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.023321806356344007,,0.7910478710188809,0.07718027505103427,,
V3d_lh_subj03,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.18646655455321992,,0.021720328599390396,0.027938298883513075,,
VWFA-1_lh_subj03,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.013688832446488025,,0.8801070716723671,0.08015190493721298,,
RSC_rh_subj03,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.12601448874179386,,0.20345995069346817,0.06763255375249133,,
V3v_rh_subj03,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.18986256178515068,,0.014995293123307217,0.023514962098607345,,
OPA_rh_subj03,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.1985196557294181,,0.033673498706661094,0.03737976466393416,,
OPA_lh_subj03,backbone.blocks.1,vit_base_t=5_gs=224_15f40119,0.1431381381884056,,0.10482636975038796,0.050395627968933585,,
