ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.30428438311872724,,0.021137591799190402,0.04495505857480037,,
OPA_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.1322172595277138,,0.06598593523625,0.03575816628649395,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.10345756624962925,,0.20463984139270722,0.05575121217684719,,
V3v_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.3009387858586768,,0.07531892384185185,0.08761987678044048,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.3807934844654864,,0.019781889531571985,0.05436785374990828,,
V2v_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.295130781088079,,0.04549807147404313,0.06519844610021418,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.14733087607621773,,0.24575784356466476,0.09069146897599538,,
hV4_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.25650783256690174,,0.009087336197337413,0.024620374620118773,,
V1d_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.3745378980159018,,0.02173835396522135,0.05614110259050989,,
OPA_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.17219470923162108,,0.03844422561266042,0.034773324599088634,,
V1v_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.26181689531761904,,0.04907784299460443,0.06024214234872398,,
V3d_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.355173558869756,,0.012650890051340583,0.040332255813584884,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,-0.026831513970742838,,0.6151043892324208,0.04549567936463767,,
PPA_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.1122608315863237,,0.03899339625322361,0.022841359265981343,,
OFA_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.32352275859811025,,0.01846148999158431,0.04457764576483984,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.1612413707465197,,0.17801017970273242,0.07899333269582971,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.19937397791854997,,0.06687350523397351,0.054321297632544056,,
V2v_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.3318641136013824,,0.01822152413976045,0.04542047709675766,,
OWFA_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.20534057902451078,,0.05868571221478882,0.052064205930504814,,
FBA-2_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.1645586871070754,,0.15679235098631364,0.0741858106106584,,
PPA_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.13314405335401722,,0.06913577227225433,0.03695283074588022,,
V2d_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.339289110465639,,0.016172456769114697,0.04367932352211069,,
V3d_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.290157769818516,,0.09114252320850116,0.09416092102061834,,
FFA-1_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.22594303239681332,,0.002502894337437047,0.011324959259115953,,
RSC_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.10734238388037987,,0.2892858277299843,0.07513003098241819,,
OFA_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.17853137561288035,,0.028244945336318095,0.03065770181527475,,
EBA_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.20617071956320776,,0.03590754311172831,0.040157541150641206,,
mfs-words_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.09642523926372726,,0.23463605296712284,0.057335317972257924,,
hV4_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.24594282155637356,,0.007714879223233118,0.021728161750234898,,
RSC_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.18740985164616616,,0.12454217028401192,0.07315669114759735,,
V3v_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.2669047117652053,,0.1000007737537859,0.0914065881936329,,
V1v_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.3679229465585438,,0.020872682467191678,0.0540043457625086,,
EBA_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.24338524965285965,,0.07203314791749883,0.06911348172017455,,
V1d_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.35766854459433,,0.020805892343345386,0.052412433742769,,
FFA-2_rh_subj02,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.2579469201505505,,0.02816985622771161,0.044233575855205515,,
V2v_rh_subj02,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.28630260472804814,,0.010489948529548014,0.029556284524465556,,
PPA_rh_subj02,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.18690606873322035,,0.024387058843896522,0.029734558666051868,,
V2d_rh_subj02,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.2901110803398273,,0.04131836031359248,0.06087351417721901,,
OWFA_lh_subj02,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.246753482514425,,0.07267308679704154,0.07041739020492065,,
V2v_lh_subj02,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.33173973129652423,,0.0005600859053460732,0.007854296677631434,,
V3d_lh_subj02,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.27523970184279833,,0.041780616074704256,0.05809639993816049,,
VWFA-2_lh_subj02,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.1969738363142978,,0.0870292650766794,0.0622477287991539,,
EBA_rh_subj02,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.19711448904046083,,0.0531324649895696,0.04734373406982914,,
OWFA_rh_subj02,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.16741391972399233,,0.02580341329603085,0.02742608016057068,,
mfs-words_lh_subj02,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.15351189951071406,,0.01623160573615263,0.019799781967962702,,
OPA_rh_subj02,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.2782236797139563,,0.05569687695928349,0.06855909485985592,,
V1v_lh_subj02,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.3572660058904719,,0.0013677727251227446,0.013226487695673826,,
OFA_lh_subj02,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.3397267864670093,,0.07851727870277293,0.10125779324258911,,
FFA-1_lh_subj02,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.37813356967548756,,0.016924570639066494,0.049827814824811606,,
V2d_lh_subj02,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.15987927449982295,,0.12897722099842013,0.06375932390840627,,
V3v_lh_subj02,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.23955614771665878,,0.02846836932015632,0.041306514321169704,,
EBA_lh_subj02,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.22197324041599842,,0.04376147294083,0.04802598226894294,,
VWFA-1_lh_subj02,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.23994375406434723,,0.039015044573750275,0.048834983741307916,,
RSC_rh_subj02,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.3097270049601102,,0.00830172399382434,0.028397521418361917,,
OPA_lh_subj02,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.2252245403840055,,0.09101204304494417,0.07302870647048376,,
hV4_lh_subj02,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.392622909152772,,0.008720910531303801,0.0369072490870337,,
FBA-2_rh_subj02,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.18698716130111379,,0.008188759808589957,0.01702554099022499,,
hV4_rh_subj02,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.3725146317683686,,0.004172175828587428,0.024137201675037065,,
V1d_lh_subj02,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.43830241434298145,,0.0017066119229956175,0.01812999497896911,,
V1d_rh_subj02,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.4893764567339966,,0.007529750080202711,0.042706775369883494,,
VWFA-1_rh_subj02,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.21769355918901664,,0.054773674317270156,0.053157650834035376,,
V3d_rh_subj02,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.30891651859701197,,0.09243312648703211,0.10106509902063006,,
FFA-1_rh_subj02,backbone.layer1,resnet50_t=0_gs=112_3c4e45cc,0.3876152755768382,,0.0012124684655987112,0.013509252396000924,,
