ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.2917725225120535,,0.03110210628886964,0.05269360095627395,,
OPA_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.17001696498669874,,0.08816482649554286,0.054129475987623146,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.20437713240595468,,0.05298129503349107,0.049012301135406444,,
V3v_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.26098372354549954,,0.10916933318999929,0.09411956548858297,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.3534176942248967,,0.02437649272817831,0.05621196119596289,,
V2v_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.27454292669527275,,0.06174030902155146,0.07157520225178832,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.13687459595990603,,0.24234382833718718,0.08337169497816646,,
hV4_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.22559657746286357,,0.024744147875902896,0.0361615363566444,,
V1d_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.38330928730027036,,0.016799142875526668,0.05031749455910727,,
OPA_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.19751674552487,,0.01814646693418899,0.026975781457415783,,
V1v_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.2662953623544632,,0.03858344504602539,0.053879360031348016,,
V3d_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.35220981377086363,,0.0034200081272290537,0.020650530722775534,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,-0.06985511977915111,,0.013074263487913157,0.0080667426784705,,
PPA_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.12886143971641614,,0.01756430343482344,0.017306883391168735,,
OFA_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.29352267548107014,,0.03798238937673897,0.05889605812343039,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.15910999600449532,,0.13378323879212092,0.06489896632513364,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.21361615139967358,,0.01810657095890897,0.029141572923405516,,
V2v_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.319063046815479,,0.03518455799046619,0.06148287899481706,,
OWFA_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.16050622966771913,,0.13267313073016573,0.06513220130364449,,
FBA-2_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.17265670286688076,,0.07787283620710911,0.051222607684375754,,
PPA_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.1691380293008178,,0.025452240714824898,0.02751186129927256,,
V2d_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.3268629030092223,,0.013627449968671301,0.03855203509616204,,
V3d_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.2751859295106292,,0.10517412187899156,0.09707598193893015,,
FFA-1_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.21841229627488934,,0.011132558828430294,0.02323937412797326,,
RSC_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.14584812335717032,,0.15117983833441972,0.06423392103516853,,
OFA_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.17424099910342708,,0.019159073062529935,0.02447083692291744,,
EBA_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.229069830898159,,0.04794432858062822,0.052048147070935045,,
mfs-words_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.08850761948938983,,0.117540289523237,0.033360073505078226,,
hV4_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.2361009492814817,,0.01777709304285702,0.031906509437683084,,
RSC_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.2386342046092592,,0.03690182874863905,0.04715655724583082,,
V3v_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.23049457188031544,,0.16637667902728562,0.10798840740658262,,
V1v_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.3736968657863217,,0.02690513581258666,0.0625663550019728,,
EBA_lh_subj01,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.2541261926085902,,0.06898149832075126,0.07044264416373273,,
V1d_rh_subj01,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.3588445438116725,,0.01583988268597303,0.04570775872683267,,
FFA-2_rh_subj02,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.2715649566101234,,0.018433494073306418,0.037389284704352335,,
V2v_rh_subj02,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.28379617403311463,,0.008515645978655624,0.026357421493846477,,
PPA_rh_subj02,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.1809525519141446,,0.00510298969533164,0.01297609970758574,,
V2d_rh_subj02,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.29892219879966947,,0.024741844668848142,0.04791279976938109,,
OWFA_lh_subj02,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.24840887154334748,,0.08552512871058056,0.07772344311886015,,
V2v_lh_subj02,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.3214838803557307,,0.0010803472363900008,0.01057530734466814,,
V3d_lh_subj02,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.24683074782192538,,0.052759814809981806,0.05905892534286652,,
VWFA-2_lh_subj02,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.11233930543846922,,0.26764641465059363,0.07385755204367331,,
EBA_rh_subj02,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.2058833552529072,,0.09263028343558566,0.06743974147975154,,
OWFA_rh_subj02,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.1654300510018253,,0.02806703465088326,0.028314404517521756,,
mfs-words_lh_subj02,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.15847160120771178,,0.02955212724062692,0.027863847530976805,,
OPA_rh_subj02,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.23421673023266146,,0.052405777449103866,0.05583664747206723,,
V1v_lh_subj02,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.3420222046990808,,0.0005678357719657864,0.0081536242484837,,
OFA_lh_subj02,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.3427175635961845,,0.07584960894648647,0.10017858474782018,,
FFA-1_lh_subj02,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.34974281822905057,,0.02985014706742899,0.06181841320768564,,
V2d_lh_subj02,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.1576364515135215,,0.16328036514292815,0.07295416777414612,,
V3v_lh_subj02,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.2491645951535847,,0.025501951526950728,0.04057003874353021,,
EBA_lh_subj02,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.2102288466204658,,0.022434430114423694,0.032029811272688655,,
VWFA-1_lh_subj02,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.19662345434991926,,0.03287467525359451,0.03655815910568883,,
RSC_rh_subj02,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.30063757185677403,,0.011568694112472206,0.03261964500038176,,
OPA_lh_subj02,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.19298210864390433,,0.10309778641831116,0.06728280609168975,,
hV4_lh_subj02,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.377763424533198,,0.019216995486570788,0.053136527782188754,,
FBA-2_rh_subj02,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.193365724288851,,0.030783186505529685,0.03473338508257558,,
hV4_rh_subj02,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.3453154471382021,,0.006772475580722762,0.0285630397264738,,
V1d_lh_subj02,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.4163800420730946,,0.0066830100541712826,0.034210646749417956,,
V1d_rh_subj02,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.47282994563857766,,0.004755763562263055,0.03272415678847888,,
VWFA-1_rh_subj02,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.2050246880674321,,0.04567786842043884,0.045388638542708366,,
V3d_rh_subj02,backbone.layer1,resnet50_t=0_gs=224_5a528a3c,0.3100962937504424,,0.08036781692070621,0.09365209854683518,,
