ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_665d9d7c,0.28123720305494476,,0.025682005451980777,0.045960005037047356,,
OPA_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_665d9d7c,0.1557232158186064,,0.13390818032012042,0.06355423389618561,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_665d9d7c,0.20674909128446606,,0.06434427298240825,0.055141876202522006,,
V3v_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_665d9d7c,0.2628316911930347,,0.1058771950078685,0.09308310030217765,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_665d9d7c,0.34125834673184796,,0.02307567776458252,0.052756942404955064,,
V2v_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_665d9d7c,0.2787066694055584,,0.055095799689966536,0.06827362096078571,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_665d9d7c,0.17054051747322177,,0.18371932918183637,0.08533790401735009,,
hV4_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_665d9d7c,0.22838465450039255,,0.01753026767956138,0.030642930679653253,,
V1d_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_665d9d7c,0.37718691200592697,,0.018126970131747244,0.051485722236156856,,
OPA_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_665d9d7c,0.19853473857520418,,0.019875845898172168,0.028415116413242406,,
V1v_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_665d9d7c,0.26615966746112324,,0.04028573230892347,0.05510072391274378,,
V3d_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_665d9d7c,0.3181424826746255,,0.0074707549809487845,0.027653362998599013,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_665d9d7c,-0.022981120903443595,,0.23642351887347007,0.013741880077439173,,
PPA_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_665d9d7c,0.13778531321420104,,0.03980307629470083,0.02834234569744062,,
OFA_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_665d9d7c,0.2839387219663663,,0.04200187772378242,0.060101520065577924,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_665d9d7c,0.1723963206728002,,0.09426708916102822,0.05704583110301965,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_665d9d7c,0.23245999904469872,,0.02416597239157246,0.03680735785711642,,
V2v_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_665d9d7c,0.31708522528294036,,0.044215119228566024,0.06898374928908163,,
OWFA_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_665d9d7c,0.1260630781167729,,0.24152566789198618,0.07659169553732398,,
FBA-2_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_665d9d7c,0.19907008223358913,,0.08019428807515422,0.06004754464533464,,
PPA_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_665d9d7c,0.1615974756504609,,0.02851970357904182,0.027890371681887887,,
