ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.2618284056159203,,0.039598103124289595,0.05371041429831478,,
OPA_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.13386007191625318,,0.11110386685389957,0.04878133316684214,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.17798753852227203,,0.0991625300289576,0.06065609518275562,,
V3v_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.24223415807698764,,0.09857583813003795,0.0822651577496286,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.3036444610788768,,0.0602061716167548,0.07807573288464757,,
V2v_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.26326305023070784,,0.05326598011646829,0.06331770982225035,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.14789236635346004,,0.21283045746852097,0.08193363913133246,,
hV4_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.1919961580918951,,0.052250547266584756,0.04569787080732476,,
V1d_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.3561543210388211,,0.019826789371005116,0.05090942340044549,,
OPA_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.16603753555338283,,0.03560205018500843,0.03219491200985554,,
V1v_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.25057939544366253,,0.06058155660933723,0.06465129845324913,,
V3d_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.28430566263916063,,0.028316183374338905,0.04888566601115925,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_ee99d910,-0.08782342457046176,,0.029173860592349016,0.015338221934918251,,
PPA_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.1263477413726933,,0.010704272232185476,0.0131781546274659,,
OFA_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.27763978513690674,,0.04342251182617965,0.05982084494131855,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.1431809312664759,,0.17143209484831967,0.06841379637317414,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.19322307693594834,,0.017977300407988204,0.026262678609875807,,
V2v_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.31222660660741014,,0.02167390370174921,0.04672924697546834,,
OWFA_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.10665214693720985,,0.27517229337382937,0.07167951038585721,,
FBA-2_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.15727269403655314,,0.08011497459987227,0.047413196933183265,,
PPA_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.1404848519267887,,0.0033751929606346464,0.00818239313275559,,
V2d_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.2788692003274444,,0.022902350328769264,0.04294391866281918,,
V3d_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.25092306892853,,0.11827506470216276,0.09493298505537276,,
FFA-1_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.18662753893857695,,0.011830322876146871,0.02048114488968115,,
RSC_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.1327592434067599,,0.21469871550283165,0.0740088992421764,,
OFA_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.17657999023387994,,0.06318205541248005,0.046624325793226826,,
EBA_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.20660831038264885,,0.053110880678161394,0.04961306098462378,,
mfs-words_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.07593131484812266,,0.08103332981319977,0.023039429483775364,,
hV4_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.23165374011357268,,0.028652942691366437,0.04007892365716846,,
RSC_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.22479566911189774,,0.09926145440158313,0.07665239027971078,,
V3v_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.21752612063349866,,0.16081264128130587,0.09968058151182192,,
V1v_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.3570856368038016,,0.036364733231424536,0.07001890469748205,,
EBA_lh_subj01,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.22075747191715464,,0.08141738252185513,0.06716314309051973,,
V1d_rh_subj01,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.32784930568359466,,0.03003529024152626,0.058136445666711424,,
FFA-2_rh_subj02,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.26230431649101116,,0.02711211673001153,0.04409207735242462,,
V2v_rh_subj02,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.2650102602218433,,0.010128461925535607,0.02687528779656603,,
PPA_rh_subj02,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.19939122556039948,,0.031395015906564294,0.0361871173995059,,
V2d_rh_subj02,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.25954163953718723,,0.0323686362864698,0.047864792317265974,,
OWFA_lh_subj02,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.21017117927295167,,0.13257408438934803,0.08524654357244876,,
V2v_lh_subj02,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.28264782521821413,,0.001954664872620678,0.012514664302876266,,
V3d_lh_subj02,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.2826378535603768,,0.036029543864983145,0.05515037398820099,,
VWFA-2_lh_subj02,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.135757303008698,,0.11163523909949011,0.04961356996427986,,
EBA_rh_subj02,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.1956053672271215,,0.056148571032589266,0.04841311421019222,,
OWFA_rh_subj02,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.1374959832071212,,0.0802725452475458,0.04149723565514166,,
mfs-words_lh_subj02,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.17020349768104917,,0.0892539308116058,0.05457218473505624,,
OPA_rh_subj02,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.21924638454551074,,0.04758766838058261,0.04961641905802909,,
V1v_lh_subj02,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.3171512698832408,,0.0026055728968361167,0.016220642419793315,,
OFA_lh_subj02,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.3412678209602571,,0.08146213978509513,0.10385953495750976,,
FFA-1_lh_subj02,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.34119475693785445,,0.03581615998403456,0.06636790063602171,,
V2d_lh_subj02,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.18572388460774536,,0.12573947981987335,0.0729226936237564,,
V3v_lh_subj02,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.22484969461871163,,0.028350545073570547,0.038686839430926934,,
EBA_lh_subj02,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.19460901507144798,,0.012024479459221582,0.021534779602916772,,
VWFA-1_lh_subj02,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.19600222804415637,,0.04973484764122337,0.04542327394247776,,
RSC_rh_subj02,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.33963783149320675,,0.007430260984160724,0.029440747357774927,,
OPA_lh_subj02,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.1842417600420243,,0.14146490609647755,0.07780809177605877,,
hV4_lh_subj02,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.3346068662539026,,0.026226742607429535,0.05528188136284137,,
FBA-2_rh_subj02,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.17493215463652959,,0.015881116658220777,0.02231163751504461,,
hV4_rh_subj02,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.3297621366138214,,0.0034181884191054526,0.019329222633610914,,
V1d_lh_subj02,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.4198310112917733,,0.0031454318424523854,0.023601579662812396,,
V1d_rh_subj02,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.45253199708140407,,0.005725136454764192,0.034388502409167854,,
VWFA-1_rh_subj02,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.20911683080355745,,0.06376003949511867,0.05549331833742242,,
V3d_rh_subj02,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.25148179172148116,,0.10002150313480095,0.0861351563599389,,
FFA-1_rh_subj02,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.40576003569070623,,0.0024528006999314095,0.020132628246133367,,
RSC_lh_subj02,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.2918597303659411,,0.0050827419015029894,0.02088736649334208,,
V1v_rh_subj02,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.4068413707868648,,0.0015484606337617592,0.01602802515513863,,
PPA_lh_subj02,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.26109411778553016,,0.007216433124442886,0.022300719350970628,,
V3v_rh_subj02,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.3402767555515887,,0.007922869269236335,0.030469558882625463,,
OFA_rh_subj02,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.15588920224903138,,0.11140702178493991,0.0569014884876731,,
V3v_lh_subj03,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.4336702615352503,,0.0029123951141946697,0.02345497809198685,,
PPA_lh_subj03,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.010071241774997047,,0.8923484259477534,0.0657682756231598,,
RSC_lh_subj03,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.00570455097373346,,0.7618681726829045,0.016451760638108822,,
V3d_lh_subj03,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.18485789635484196,,0.2871736150838109,0.1286080584909144,,
VWFA-1_lh_subj03,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.10431192115222494,,0.1589413057998061,0.047440018219534315,,
RSC_rh_subj03,backbone.layer1,resnet50_t=10_gs=224_ee99d910,-0.06659186175842996,,0.19612655453058722,0.03484092755604941,,
V3v_rh_subj03,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.3572758143850881,,0.006435196758222296,0.028799736581879284,,
OPA_rh_subj03,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.012598612053556191,,0.724404714138064,0.03107298728490655,,
OPA_lh_subj03,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.04412805935669572,,0.3703504584645029,0.03849944705731772,,
hV4_lh_subj03,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.3598731937016653,,0.05123234723154717,0.08474747913952195,,
V2d_rh_subj03,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.24217623956166032,,0.11264989028067739,0.08898425075300626,,
V3d_rh_subj03,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.24661636974706627,,0.05531625883712264,0.06054403389952236,,
OFA_rh_subj03,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.1542582389980479,,0.19716669389584252,0.08100327046321322,,
EBA_rh_subj03,backbone.layer1,resnet50_t=10_gs=224_ee99d910,0.05592199411601321,,0.011601139114744332,0.006076275904620392,,
