ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_81391323,0.26883657298791935,,0.01590562526872175,0.03431572189655657,,
OPA_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_81391323,0.1524937645461094,,0.02792823740585511,0.02603285991637832,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_81391323,0.14441660077523794,,0.13428504808870537,0.05904235583484116,,
V3v_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_81391323,0.25344013062189125,,0.08215921783255555,0.07750459621618012,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_81391323,0.33394835300285264,,0.044112545969234876,0.07256221627668058,,
V2v_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_81391323,0.26237544732232015,,0.053831275317229074,0.06346688518962676,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_81391323,0.14560122549477397,,0.2343198138315856,0.0864894533703392,,
hV4_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_81391323,0.2048951909255894,,0.03477956371558213,0.03924261680808736,,
V1d_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_81391323,0.3612792975292316,,0.012849955279223767,0.04135338331065299,,
OPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_81391323,0.16930213927114368,,0.06009991503052685,0.04349029656182303,,
V1v_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_81391323,0.2393934937304462,,0.058362609754016394,0.06051528252819035,,
V3d_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_81391323,0.31271259589381867,,0.029915832218024088,0.05533678136322585,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_81391323,-0.061482938126723514,,0.08357722602727095,0.018985995780653755,,
PPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_81391323,0.12174300616638889,,0.020783661449782064,0.01783027477101194,,
OFA_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_81391323,0.30992471167162333,,0.026363580440665835,0.051342873184358574,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_81391323,0.16179651368730627,,0.1512203904765333,0.07127003508848673,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_81391323,0.19793222389525966,,0.018156777016529353,0.027040417177855415,,
V2v_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_81391323,0.301763427097258,,0.013727146612204777,0.035724331898815916,,
OWFA_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_81391323,0.13127540695496787,,0.1844885632066916,0.06587528972570277,,
FBA-2_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_81391323,0.16810655845506872,,0.07230978643194548,0.04783919299982123,,
PPA_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_81391323,0.12788410496214572,,0.03801124289837151,0.025670590950214726,,
V2d_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_81391323,0.2936346287235361,,0.01815088185149696,0.040108062015254305,,
V3d_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_81391323,0.2597510550420789,,0.07449304207252531,0.07516108406464163,,
