ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_a0763a45_center_crop,0.25746021640190037,,0.03896795802205842,0.05236648619097173,,
OPA_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_a0763a45_center_crop,0.13900083189454968,,0.07873029904555054,0.04149356320377943,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_a0763a45_center_crop,0.15672916626830613,,0.10457321324285473,0.05510214137708283,,
V3v_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_a0763a45_center_crop,0.23088158263350186,,0.13922939585741315,0.09653810140434556,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_a0763a45_center_crop,0.3021271739974736,,0.060707179203066036,0.07803968528412614,,
V2v_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_a0763a45_center_crop,0.2706234985622145,,0.06428434282409154,0.07214064077818155,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_a0763a45_center_crop,0.11255050492849239,,0.24192051041253812,0.0684657392788013,,
hV4_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_a0763a45_center_crop,0.17996959582266991,,0.06310572518996388,0.047487673913420465,,
V1d_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_a0763a45_center_crop,0.35232633419748066,,0.022907832844233277,0.054262529640151644,,
OPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_a0763a45_center_crop,0.16913102633097923,,0.026068497007897262,0.027855047792653947,,
V1v_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_a0763a45_center_crop,0.25637042707156715,,0.06202204637567407,0.06700508462884162,,
V3d_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_a0763a45_center_crop,0.30370074258272234,,0.031130683453562357,0.05487422843232113,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_a0763a45_center_crop,-0.06118626791218853,,0.012310272844596064,0.006852145327603526,,
PPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_a0763a45_center_crop,0.1320505395179478,,0.003011361296270253,0.007262801958448645,,
OFA_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_a0763a45_center_crop,0.27435081302336367,,0.04190035553372823,0.05799717274371366,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_a0763a45_center_crop,0.1430353834214332,,0.1697459996106077,0.06790049905310985,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_a0763a45_center_crop,0.17779227183681626,,0.011560507069493325,0.019283791370261993,,
V2v_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_a0763a45_center_crop,0.3078657435368695,,0.02519088587087307,0.04980937244621214,,
OWFA_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_a0763a45_center_crop,0.11526770567124194,,0.25449113515764205,0.07286805842911125,,
FBA-2_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_a0763a45_center_crop,0.14070441297798,,0.0667509967836693,0.03829728274846815,,
PPA_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_a0763a45_center_crop,0.1486127687417099,,0.0019929838555807758,0.006644433021596712,,
V2d_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_a0763a45_center_crop,0.29058794459563564,,0.018822670060469723,0.04044058037792613,,
V3d_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_a0763a45_center_crop,0.24729792612888324,,0.11980274750225574,0.09428889883487818,,
FFA-1_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_a0763a45_center_crop,0.1626828290681818,,0.018777581205112515,0.022612349912222746,,
RSC_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_a0763a45_center_crop,0.13971398479982533,,0.23736729955306685,0.08379166386111216,,
OFA_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_a0763a45_center_crop,0.1716007010100277,,0.05910125057352,0.04367781896634231,,
EBA_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_a0763a45_center_crop,0.20500597599763695,,0.05495910208883989,0.0501516357743271,,
