ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_c6a1076c,0.2539100829942102,,0.03631342910432053,0.04975066135746977,,
OPA_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_c6a1076c,0.1350296201260536,,0.10412949077854672,0.04735436479153496,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_c6a1076c,0.19725937088818535,,0.07239786823822295,0.05617363086896162,,
V3v_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_c6a1076c,0.22512135861757956,,0.12180681633723048,0.08669969456539979,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_c6a1076c,0.30122659008898095,,0.06456256468334297,0.08049029465225523,,
V2v_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_c6a1076c,0.268888673583488,,0.06481840423432508,0.07200648139281789,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_c6a1076c,0.1263315942278367,,0.21588149584574212,0.07070251037908086,,
hV4_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_c6a1076c,0.17673175451880682,,0.06532085103150004,0.047529957872325515,,
V1d_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_c6a1076c,0.34905571293323145,,0.01765845704607109,0.04700919992744028,,
OPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_c6a1076c,0.15742933790426164,,0.04299204010518262,0.03374002843456655,,
V1v_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_c6a1076c,0.24737278976220378,,0.07567007438900018,0.07221239725067309,,
V3d_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_c6a1076c,0.28862108646767254,,0.02986194404165186,0.051025455099204135,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_c6a1076c,-0.07048840094990731,,0.14054395840047984,0.029646814805318004,,
PPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_c6a1076c,0.11749058252992807,,0.0024550877807886116,0.005832266897314881,,
OFA_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_c6a1076c,0.2711192380768886,,0.04382134884536701,0.05870207091369354,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_c6a1076c,0.14005013239226197,,0.17533936948645312,0.06792412229291606,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_c6a1076c,0.1874969796804197,,0.029740288750588154,0.03307696158987676,,
V2v_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_c6a1076c,0.3049644874680001,,0.0230860024264423,0.04715700297108541,,
OWFA_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_c6a1076c,0.10424249188022132,,0.31336306340115916,0.07804360645740849,,
FBA-2_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_c6a1076c,0.14764070668904405,,0.07925283030765556,0.04423776898052596,,
PPA_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_c6a1076c,0.13850624351730878,,0.0031980857625306205,0.007851597620955561,,
V2d_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_c6a1076c,0.28091955790007167,,0.02000132773341432,0.040336977576649086,,
V3d_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_c6a1076c,0.23618474722652885,,0.12183483456761544,0.09097315856689045,,
FFA-1_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_c6a1076c,0.17330435788130125,,0.015757661231432,0.022015861201355277,,
RSC_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_c6a1076c,0.12395257816268979,,0.2785852909735704,0.08413513957318872,,
OFA_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_c6a1076c,0.17802963515875933,,0.06900600607822589,0.04935877040430773,,
EBA_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_c6a1076c,0.2043600659298724,,0.05800567546384768,0.05148633432901828,,
mfs-words_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_c6a1076c,0.06940672568767807,,0.06493583916324146,0.018605230746258885,,
hV4_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_c6a1076c,0.22124347564336197,,0.03464493120140181,0.04228718313077993,,
RSC_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_c6a1076c,0.21952294819529228,,0.12696685952312842,0.08670659237908379,,
V3v_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_c6a1076c,0.2110205701855489,,0.18323234317586534,0.10540519720108453,,
V1v_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_c6a1076c,0.34877876861101814,,0.03470624990192149,0.06672569856555811,,
EBA_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_c6a1076c,0.22035874719932305,,0.08902207714867812,0.07054790821881105,,
V1d_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_c6a1076c,0.32769074826211547,,0.027256914489331152,0.05523630774454273,,
