ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.2663194018452893,,0.03588443411043111,0.05185555465162372,,
OPA_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.1320960360345643,,0.151312203010535,0.058209731275079196,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.17685282212626552,,0.10993705331827874,0.06404518066459094,,
V3v_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.22738714241146218,,0.13903469017000986,0.09499395693480979,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.30307902387572505,,0.047437338368278945,0.06847152092011981,,
V2v_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.27331353923820706,,0.07091922591430305,0.07693959125494233,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.14080114420926707,,0.21383894114729382,0.07826784284696907,,
hV4_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.180961028997373,,0.05221333190322584,0.04305472921877907,,
V1d_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.3565212628596437,,0.022302664823986938,0.054153221822467595,,
OPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.1851962676908675,,0.02789282776493858,0.031594727472335056,,
V1v_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.2519553518300322,,0.077137532394806,0.0743495917647288,,
V3d_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.29452559624325686,,0.022656760595352977,0.04510252671115745,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,-0.07235000211885569,,0.016601788621136992,0.009440098697144166,,
PPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.13291849106561882,,0.009201124548663068,0.012838640780498069,,
OFA_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.2752469958832529,,0.0419561956744593,0.058227946726232924,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.1440133681342979,,0.17222756066943087,0.06902226945111897,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.1991101016419302,,0.031110377215402992,0.03596394420859812,,
V2v_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.3057164871777341,,0.03516611003890373,0.05889472505687261,,
OWFA_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.10749558700428813,,0.292676880186052,0.07596435473350065,,
FBA-2_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.16187322116429725,,0.10087839974882559,0.05572076352828328,,
PPA_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.14954024040845063,,0.002832927275376131,0.007976273898855657,,
V2d_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.29246297962449747,,0.01749387542286366,0.03919863281171636,,
V3d_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.245962264145273,,0.12686451722494926,0.09710163166456696,,
FFA-1_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.18532862381283155,,0.026306290770362097,0.0306672494202414,,
RSC_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.15611451110365152,,0.19883488328922536,0.0824573354904302,,
OFA_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.18202322974808696,,0.03675400535218362,0.03589337559995707,,
EBA_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.21391606399360316,,0.06908574844212172,0.0593464095891381,,
mfs-words_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.07424040380706948,,0.10593249297723598,0.02630070192426579,,
hV4_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.2167881701985163,,0.027322310565010013,0.036587977690863985,,
RSC_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.2538808968873479,,0.0907453792912209,0.08218143011826741,,
V3v_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.20946632031868426,,0.19648578415520454,0.10973141844309879,,
V1v_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.35371022916340467,,0.04394560413089798,0.07670050134113932,,
EBA_lh_subj01,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.22652499161970016,,0.08121780793133342,0.0688219585270657,,
V1d_rh_subj01,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.33281353858567864,,0.02632172166428974,0.05508911966660827,,
FFA-2_rh_subj02,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.26603548761026,,0.02900458978747502,0.04632160173796594,,
V2v_rh_subj02,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.2626500738474054,,0.010905573938830371,0.027655195851620726,,
PPA_rh_subj02,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.18806478255834655,,0.021781920473905033,0.028219022154807247,,
V2d_rh_subj02,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.2589349524181415,,0.0279863551540531,0.04425185155343583,,
OWFA_lh_subj02,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.22272160459475743,,0.13695470618164177,0.09217517000635289,,
V2v_lh_subj02,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.2914731854015715,,0.0008968661968019765,0.008734835208692945,,
V3d_lh_subj02,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.2649311204146135,,0.04388767525999694,0.05740863818838725,,
VWFA-2_lh_subj02,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.12276886139603782,,0.25580314039893887,0.07791769260915218,,
EBA_rh_subj02,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.1820654868437445,,0.08284770662229864,0.05594222359033411,,
OWFA_rh_subj02,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.1435607575221738,,0.08516244051992009,0.044809157139163704,,
mfs-words_lh_subj02,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.15476601711051954,,0.11133333310434158,0.05646924500684016,,
OPA_rh_subj02,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.20376493385927583,,0.053962014924086234,0.04935436982031563,,
V1v_lh_subj02,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.3116770203297353,,0.00029957973828404416,0.005395834222278103,,
OFA_lh_subj02,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.3467256781302564,,0.08719755132824683,0.10969363193694948,,
FFA-1_lh_subj02,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.34467902200428835,,0.03627262903087608,0.06749564850229332,,
V2d_lh_subj02,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.17652263181391722,,0.13533834837024367,0.07251864045935223,,
V3v_lh_subj02,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.21731254956143278,,0.040129162019509085,0.044895290142936896,,
EBA_lh_subj02,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.186557369017047,,0.01199198265718594,0.020615387543339303,,
VWFA-1_lh_subj02,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.19393148383781386,,0.0523377532891,0.04620022642605808,,
RSC_rh_subj02,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.31379202328176453,,0.006068599234039933,0.024556689882116626,,
OPA_lh_subj02,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.17319758298040563,,0.1425834025351928,0.07350622019185762,,
hV4_lh_subj02,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.33209325874360573,,0.037427328250384154,0.06611786495067305,,
FBA-2_rh_subj02,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.17511235891676172,,0.025886410773092387,0.028735197528116183,,
hV4_rh_subj02,backbone.layer1,resnet50_t=15_gs=336_25fde9dd,0.3289507501969224,,0.004388644890969793,0.021863981236027247,,
