ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_ab3988b6,0.24714916417158075,,0.03754702501237063,0.049289228948389115,,
OPA_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_ab3988b6,0.11212566160226227,,0.1645015176926773,0.05214423794447262,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_ab3988b6,0.15413452082842988,,0.14822771995891498,0.06703782569695067,,
V3v_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_ab3988b6,0.20603784061486516,,0.1763279709732174,0.10030247447360427,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_ab3988b6,0.27849890252959164,,0.05622528995215453,0.06898091809478478,,
V2v_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_ab3988b6,0.2511257677888851,,0.0684969387274561,0.06933863291688436,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_ab3988b6,0.1296552250001843,,0.19930350120066037,0.06859379323370733,,
hV4_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_ab3988b6,0.16738619221294296,,0.07596104143576961,0.04896849268379223,,
V1d_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_ab3988b6,0.34990087745508,,0.020156073057789794,0.05044191527254505,,
OPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_ab3988b6,0.16400853931491585,,0.03476531184380434,0.03140500140687425,,
V1v_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_ab3988b6,0.246123956651329,,0.07521099416595294,0.07160254544179352,,
V3d_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_ab3988b6,0.2715414825748548,,0.03281740177842094,0.05044140175944075,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_ab3988b6,-0.06618167219970737,,0.0801121231847688,0.019951469889374948,,
PPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_ab3988b6,0.12276160366805504,,0.012014793338879613,0.013578814020795422,,
OFA_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_ab3988b6,0.2565242983354112,,0.04704598578723848,0.057696419380413796,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_ab3988b6,0.13955022245382512,,0.1635094585401729,0.06464281923722862,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_ab3988b6,0.1832379784509559,,0.022190285256078187,0.027760024283353633,,
V2v_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_ab3988b6,0.29177229899327556,,0.048806473279196017,0.06693435152860655,,
OWFA_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_ab3988b6,0.08217470519873445,,0.38102720010903834,0.07373086991132013,,
FBA-2_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_ab3988b6,0.14370745455199196,,0.1103576581326241,0.052160278102441976,,
PPA_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_ab3988b6,0.1291994437548512,,0.002289430288205964,0.006192572055574321,,
V2d_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_ab3988b6,0.27782955674861354,,0.014098989483763981,0.033342866084568115,,
V3d_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_ab3988b6,0.2207685835124933,,0.15381525562855375,0.09830924635407166,,
FFA-1_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_ab3988b6,0.17102862079909006,,0.03199688135834017,0.03135044832753203,,
RSC_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_ab3988b6,0.13684109539649628,,0.22304301797953066,0.07840384184075848,,
OFA_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_ab3988b6,0.1786014138695484,,0.04564521556481606,0.0395238619813513,,
EBA_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_ab3988b6,0.2007652851204187,,0.0727876441702942,0.057344006003376524,,
mfs-words_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_ab3988b6,0.06410384735466317,,0.07378123205231507,0.018449358819677714,,
hV4_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_ab3988b6,0.20561747070034656,,0.038680991826818875,0.041658190765289003,,
RSC_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_ab3988b6,0.22571333561205642,,0.09565379338868436,0.07532368374064843,,
V3v_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_ab3988b6,0.18944085877910366,,0.21230220918021117,0.10476671748207858,,
V1v_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_ab3988b6,0.34978370999200314,,0.05026727645196657,0.0815292407354941,,
EBA_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_ab3988b6,0.21413284448361347,,0.086559825944822,0.06746116100332959,,
V1d_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_ab3988b6,0.3245572288159759,,0.028494924053069953,0.05599044463382201,,
FFA-2_rh_subj02,backbone.layer1,resnet50_t=15_gs=448_ab3988b6,0.2682356164887298,,0.028988429090534285,0.04669108517708618,,
V2v_rh_subj02,backbone.layer1,resnet50_t=15_gs=448_ab3988b6,0.25034312416167237,,0.005097994473329144,0.017943238393345353,,
PPA_rh_subj02,backbone.layer1,resnet50_t=15_gs=448_ab3988b6,0.19304739661435066,,0.02438393074283445,0.030709527863121523,,
