ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.2669670126970179,,0.030088903169655453,0.04738459440179618,,
OPA_rh_subj01,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.158450304701533,,0.08163710028664901,0.04828062892377825,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.21614810635686066,,0.047870382742008756,0.0490713648883266,,
V3v_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.24505057030530986,,0.1231718743983369,0.09501545982942183,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.3286514137709977,,0.030221527718030706,0.058467546325505805,,
V2v_rh_subj01,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.2747314758261064,,0.051316282904839826,0.06475454382381585,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.15634462010454048,,0.21400653105720346,0.08695658052326158,,
hV4_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.20918805525057624,,0.0357238990892785,0.040635085210992794,,
V1d_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.36386083779502626,,0.01501374469659363,0.04509344468015941,,
OPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.19324537527059546,,0.019690181179828896,0.027524674092710453,,
V1v_rh_subj01,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.2527985836761338,,0.04866689622986308,0.057904132603619374,,
V3d_rh_subj01,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.30440703246632234,,0.011038214574780342,0.03224948686591219,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,-0.05545896706080424,,0.11426055529233042,0.020551323754756587,,
PPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.13293552895931648,,0.008696959993321873,0.012478777657104777,,
OFA_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.2960002856723602,,0.034499687041607864,0.05645063737832299,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.15857951295195225,,0.09332376006783284,0.05216923141060419,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.2171818930839564,,0.01466605735494895,0.026594917432720373,,
V2v_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.3204237044128719,,0.030692227898856277,0.05746705595571121,,
OWFA_rh_subj01,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.10562502996138386,,0.26250378300805877,0.06839459268108629,,
FBA-2_rh_subj01,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.17263395275711735,,0.0792975827237258,0.0517430410051042,,
PPA_rh_subj01,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.15506236864578954,,0.02403908565359231,0.024485396325318966,,
V2d_rh_subj01,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.28346805653823864,,0.015163869895688681,0.035309576494391384,,
V3d_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.25149677585166336,,0.08814725477741289,0.08006161183314811,,
FFA-1_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.21575957610757499,,0.021125160487555184,0.03186669974964893,,
RSC_rh_subj01,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.1403885124618131,,0.16946981809726971,0.06657264060087509,,
OFA_rh_subj01,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.19201434523508443,,0.01345227385256962,0.02249820809873494,,
EBA_rh_subj01,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.2227881610212167,,0.05727226523288888,0.05574025834400835,,
mfs-words_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.10493672266760905,,0.10004432492540902,0.0359467260783048,,
hV4_rh_subj01,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.22667591504484805,,0.02751894100562393,0.038400025058094756,,
RSC_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.24217744790681842,,0.0755966114048424,0.07065719499701971,,
V3v_rh_subj01,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.22232013968486827,,0.15106606035563747,0.09786650095407369,,
V1v_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.362297089642762,,0.03844669790412501,0.0731654525905834,,
EBA_lh_subj01,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.24226289279913218,,0.06527352757030136,0.06512769191246957,,
V1d_rh_subj01,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.3210545755243646,,0.023485943887504065,0.050088650377472795,,
FFA-2_rh_subj02,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.28411067186534916,,0.016585865624226932,0.0370520188615294,,
V2v_rh_subj02,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.26064535451683973,,0.006815079927499041,0.021627889766600017,,
PPA_rh_subj02,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.20416129116501272,,0.016623019548895387,0.026656060166537793,,
V2d_rh_subj02,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.26590853746593746,,0.03654089216460357,0.05227385160740396,,
OWFA_lh_subj02,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.22585531223709857,,0.12237555316355914,0.08722847889956624,,
V2v_lh_subj02,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.2924801589566463,,0.000522719829511458,0.006689616332328172,,
V3d_lh_subj02,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.2481255331055048,,0.06590731468430025,0.06706129534924532,,
VWFA-2_lh_subj02,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.15044450821811614,,0.1385604373164324,0.06271632767410848,,
EBA_rh_subj02,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.2007065310065271,,0.09069194942052286,0.0649468124724914,,
OWFA_rh_subj02,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.14667516119664717,,0.0606097246907959,0.03785291057821489,,
mfs-words_lh_subj02,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.15024645408515383,,0.07855438989775523,0.04479389273899575,,
OPA_rh_subj02,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.19374044911670443,,0.053171568072992684,0.04655191892271893,,
V1v_lh_subj02,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.3131941214898828,,0.00016609790387901935,0.0040369166685044885,,
OFA_lh_subj02,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.33914513997683216,,0.077296751218753,0.10019482725863105,,
FFA-1_lh_subj02,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.3551852483801096,,0.02959181212175838,0.06249558712093409,,
V2d_lh_subj02,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.15360414761360183,,0.18285207364641598,0.07661827116366497,,
V3v_lh_subj02,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.21913813325986853,,0.05325455195810076,0.05269903780233813,,
EBA_lh_subj02,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.20474429548841858,,0.017509167888124583,0.027454064734947332,,
VWFA-1_lh_subj02,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.19482104639593031,,0.04041613418877918,0.040401477662555293,,
RSC_rh_subj02,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.33849323844503504,,0.011194961220070276,0.03611866849312178,,
OPA_lh_subj02,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.17238272739478624,,0.12013247161984283,0.06583476488236285,,
hV4_lh_subj02,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.34502173296936123,,0.037970912596339106,0.06921838934481972,,
FBA-2_rh_subj02,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.19214706027066022,,0.021731149695156656,0.028796819853776502,,
hV4_rh_subj02,backbone.layer1,resnet50_t=15_gs=540_7a2c67fd,0.3312940091180769,,0.006078100921161863,0.025946832615039835,,
