ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_3fdb1382,0.25471506428389823,,0.03614225033090075,0.04978394377367508,,
OPA_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_3fdb1382,0.15410990418825785,,0.08956246668955535,0.04951021852468589,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_3fdb1382,0.20046501348336054,,0.08318770985399887,0.06173941925968401,,
V3v_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_3fdb1382,0.2427144569386156,,0.10849982829558119,0.08721213817985256,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_3fdb1382,0.3251011345903247,,0.053972810883358306,0.07875204481276195,,
V2v_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_3fdb1382,0.271848989891225,,0.058523714110778814,0.06882327351482673,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_3fdb1382,0.13724759978881915,,0.19453448737183726,0.07140616534726368,,
hV4_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_3fdb1382,0.19190146859161725,,0.05284374902348638,0.04595564679539784,,
V1d_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_3fdb1382,0.3484548386002646,,0.019584211998706517,0.049493987715005086,,
OPA_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_3fdb1382,0.1698652097678024,,0.038049992458969936,0.03411600705437513,,
V1v_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_3fdb1382,0.24632503038486217,,0.06841939990623604,0.06797029567418399,,
V3d_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_3fdb1382,0.28949278215486035,,0.026781807758227832,0.04835262131623716,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_3fdb1382,-0.07842345264978001,,0.11231337476567745,0.028764178300147047,,
PPA_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_3fdb1382,0.12197343725971584,,0.004929429951344013,0.008595553817026062,,
OFA_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_3fdb1382,0.28803766525101154,,0.04271185626086579,0.06151672546463764,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_3fdb1382,0.15425919137513294,,0.1675578714089322,0.07260717721333507,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_3fdb1382,0.18890304825273993,,0.03030484842249944,0.03365459045910657,,
V2v_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_3fdb1382,0.30716291908199317,,0.023051549255981314,0.04746023364245932,,
OWFA_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_3fdb1382,0.11798042925377245,,0.24991758848461756,0.07355524613101876,,
FBA-2_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_3fdb1382,0.15209592195127827,,0.09476246210632176,0.05048155800049937,,
PPA_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_3fdb1382,0.1504977408464158,,0.0006864183312048273,0.0039450098106528775,,
V2d_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_3fdb1382,0.28311379829164723,,0.02220838956651415,0.04290901355329576,,
V3d_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_3fdb1382,0.24505565999208948,,0.12005129504416785,0.09355108050261483,,
FFA-1_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_3fdb1382,0.17996928901839013,,0.007921607086685288,0.016113774189528238,,
RSC_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_3fdb1382,0.13466832773153484,,0.25434936830151456,0.08509598622096179,,
OFA_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_3fdb1382,0.18041356547577866,,0.0737243711114602,0.05190135633600595,,
EBA_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_3fdb1382,0.20675642358468002,,0.05938229472098234,0.05276298374768258,,
mfs-words_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_3fdb1382,0.07022083484564534,,0.07073271353319625,0.0197386161564777,,
