ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_15ee6bb9,0.2712296758216392,,0.02850719363987768,0.046801249625773714,,
OPA_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_15ee6bb9,0.13826111481068856,,0.11261831792415217,0.05079359865283894,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_15ee6bb9,0.1725603016713082,,0.09065939209555444,0.05582740148661661,,
V3v_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_15ee6bb9,0.2460410531006889,,0.09984012730171951,0.08418225684876977,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_15ee6bb9,0.3280304542308836,,0.039633377618787706,0.06732266542341098,,
V2v_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_15ee6bb9,0.27773075587674767,,0.0575160448417295,0.06964793423451153,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_15ee6bb9,0.13814396477454916,,0.21911933588021362,0.07814298736590443,,
hV4_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_15ee6bb9,0.1938954986877709,,0.03572319738602339,0.03766409317381756,,
V1d_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_15ee6bb9,0.3563647843810078,,0.015018109709378733,0.04417102203408701,,
OPA_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_15ee6bb9,0.16893319102218876,,0.03608160763907921,0.03298863754480063,,
V1v_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_15ee6bb9,0.2517325314193231,,0.06587409803296862,0.06801718313358489,,
V3d_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_15ee6bb9,0.28742574098733226,,0.029080851498667733,0.050114748970479794,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_15ee6bb9,-0.06496542145141865,,0.044160008929478384,0.014124181922208509,,
PPA_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_15ee6bb9,0.12551628028596956,,0.00543448925967201,0.009290844419288806,,
OFA_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_15ee6bb9,0.2875276068212927,,0.03863061183655153,0.05821296931241038,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_15ee6bb9,0.15050690165075045,,0.1715703053145636,0.07195251106918481,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_15ee6bb9,0.1896399547034755,,0.025239179567704682,0.030712250974467722,,
