ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_875e379c,0.25100824745255973,,0.03660965765701362,0.0493937346550372,,
OPA_rh_subj01,backbone.layer1,resnet50_t=5_gs=224_875e379c,0.14244902673134882,,0.10482407541201609,0.050152360726158834,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=5_gs=224_875e379c,0.18211909465622358,,0.11462401287120724,0.06761600941862682,,
V3v_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_875e379c,0.2201508533076516,,0.13962074018253476,0.09221278847816991,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_875e379c,0.2974032294460534,,0.043634360856298904,0.06424599222894467,,
V2v_rh_subj01,backbone.layer1,resnet50_t=5_gs=224_875e379c,0.26580877329353403,,0.05802822546750839,0.06698190967845731,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=5_gs=224_875e379c,0.13461697880611426,,0.19648191073656127,0.07051974303923887,,
hV4_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_875e379c,0.17777371041246381,,0.051427739687162605,0.041950688724303846,,
V1d_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_875e379c,0.3447460315760897,,0.022086330120119107,0.05210137758519699,,
OPA_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_875e379c,0.1693691430984432,,0.04167973825229282,0.035703679231761404,,
V1v_rh_subj01,backbone.layer1,resnet50_t=5_gs=224_875e379c,0.24770885489478303,,0.06310571979978412,0.06536168911897104,,
V3d_rh_subj01,backbone.layer1,resnet50_t=5_gs=224_875e379c,0.2909115641667998,,0.02228796675668947,0.04417247981249263,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_875e379c,-0.06779860457340127,,0.0857823427376508,0.021249600170440718,,
PPA_lh_subj01,backbone.layer1,resnet50_t=5_gs=224_875e379c,0.12228321552385184,,0.0035770491305164003,0.007333256228667209,,
