ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_69ef49a0,0.3247798002802324,,0.013021868404347539,0.037428263403915446,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_69ef49a0,0.1088622480201377,,0.29572444381083174,0.07759490479207377,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_69ef49a0,0.10716949887401687,,0.29325285030422665,0.0758573820654701,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_69ef49a0,0.38110535877397056,,0.028524291708563843,0.06578111973304433,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_69ef49a0,0.4753193686305928,,0.005690099313711453,0.03600849713053877,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_69ef49a0,0.3238313936191614,,0.03035988786950431,0.057747993590048764,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_69ef49a0,0.16262396400432208,,0.07064519470250967,0.045680974494754015,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_69ef49a0,0.3173669320656886,,0.004026606304064887,0.02019974548384438,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_69ef49a0,0.4304925561537621,,0.010590968251768354,0.0446585536655238,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_69ef49a0,0.13064426683606367,,0.041287527038774155,0.02740196836084809,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_69ef49a0,0.33179112476135564,,0.011169818925461334,0.03536307081623968,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_69ef49a0,0.3562589799045263,,0.0035019882288030955,0.02113811068565172,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_69ef49a0,-0.020068835139150688,,0.5087399411700055,0.025160561122299616,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=112_69ef49a0,0.0696859690982317,,0.1564795187286713,0.031375268311922735,,
