ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_aac5f892,0.3437225713211996,,0.012256966931571668,0.038407912736142316,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_aac5f892,0.13919802787218064,,0.23181584322683982,0.08203289588280266,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_aac5f892,0.1598646242615683,,0.17158931288002482,0.07643172714788049,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_aac5f892,0.35930021947358176,,0.028236925962734256,0.06169048214054771,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_aac5f892,0.4654192733933383,,0.002014364209398186,0.020920413031550157,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_aac5f892,0.3212506752820809,,0.038158988528737496,0.06461838392962711,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_aac5f892,0.15578008820167555,,0.09339473197920203,0.05127082357465874,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_aac5f892,0.30630345881082893,,0.00037305349063092904,0.005917782411021293,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_aac5f892,0.4225503739169026,,0.009640786534045136,0.04179195729256825,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_aac5f892,0.17372952500056782,,0.03241721014165348,0.03206452606005857,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_aac5f892,0.32804624471909927,,0.011414078749915004,0.035350720026594146,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_aac5f892,0.38380165765891755,,0.004210483691975996,0.024983176829726457,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_aac5f892,-0.007192743079001467,,0.7827927914530237,0.022856566020664233,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_aac5f892,0.08904909483083424,,0.09623503963805653,0.02982169275053259,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_aac5f892,0.3737136411256398,,0.010186055868725468,0.03800840516410269,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_aac5f892,0.189056327281072,,0.09530455875388959,0.0629569131177907,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_aac5f892,0.18928319123000104,,0.0424738433047073,0.04030518995673597,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_aac5f892,0.36695654862641375,,0.019462054747756745,0.05195426060463469,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_aac5f892,0.2450065558726273,,0.04304187448973568,0.05254194287808605,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_aac5f892,0.15522745134316596,,0.1112694841406243,0.0566182540025846,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_aac5f892,0.1314742772239181,,0.07528762757279354,0.03827047484223127,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_aac5f892,0.3804872881278567,,0.002964827328574928,0.020763818988874423,,
V3d_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_aac5f892,0.3377661431383659,,0.06977734330634712,0.09422694775445252,,
FFA-1_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_aac5f892,0.22472528874922482,,0.009427386926637187,0.021975325218800974,,
RSC_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_aac5f892,0.13063649578687894,,0.15423137260714023,0.05827374708540578,,
OFA_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_aac5f892,0.20054255474073804,,0.038637579662752504,0.04060582003838947,,
EBA_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_aac5f892,0.2093070686883156,,0.06638984030814828,0.056798726740014766,,
mfs-words_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_aac5f892,0.10772692550759333,,0.11862436175933651,0.04082939341324256,,
hV4_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_aac5f892,0.2740887517669524,,0.00836446755230014,0.02522598995378188,,
RSC_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_aac5f892,0.20303803913570873,,0.04888591597752392,0.04661900611184588,,
V3v_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=224_aac5f892,0.2977091427739957,,0.08216474658398863,0.09104599543954983,,
