ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_f5f901f8,0.33498800017850555,,0.012546755240644513,0.03788016694670562,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_f5f901f8,0.1631555778630933,,0.15562728720415742,0.07320149582875156,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_f5f901f8,0.2092231381117616,,0.13087483395444463,0.08418983392727,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_f5f901f8,0.34331257283788336,,0.022989268494754488,0.052971523804676054,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_f5f901f8,0.42816500390020956,,0.007259906160646945,0.03668186771986155,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_f5f901f8,0.31321601164941976,,0.032394951765776496,0.05778810652704913,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_f5f901f8,0.14634706207969686,,0.12050749835746771,0.05599692818211179,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_f5f901f8,0.2834532626697587,,0.006301504154317032,0.022608080144957705,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_f5f901f8,0.41298992043702626,,0.010107521773318485,0.04183825650024373,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_f5f901f8,0.18344270965255402,,0.01684051374206599,0.02411115271981183,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_f5f901f8,0.30093498039898375,,0.014792285289590782,0.03701267596367893,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_f5f901f8,0.37367495544446266,,0.0043377668774837955,0.02469127878007053,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_f5f901f8,-0.018363607171094632,,0.6282666118893592,0.03242785863184562,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_f5f901f8,0.09593302013023129,,0.08204493052709433,0.029314114839513152,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_f5f901f8,0.35421747991306435,,0.016816441662738775,0.0465231264963092,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_f5f901f8,0.1894069668182066,,0.10763475821424026,0.06773561161842172,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=0_gs=540_f5f901f8,0.19168263809520023,,0.04122786069555404,0.04017350588025513,,
