ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a3da1632,0.327988886977824,,0.016534323632935853,0.04270615634086002,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a3da1632,0.12423955625024674,,0.28408134959958486,0.08567437125317469,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a3da1632,0.13807918956893475,,0.28102227278294106,0.09438506742432598,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a3da1632,0.3144956112856802,,0.03157694687073766,0.057250431170437203,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a3da1632,0.40707784406199354,,0.010883584676752284,0.04281846946312901,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a3da1632,0.303724986979124,,0.0372115345379851,0.060285127558343955,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a3da1632,0.1449392797359538,,0.16504345448289595,0.06754905409713033,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a3da1632,0.2682053023377493,,0.009848142558565767,0.02681456935935208,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a3da1632,0.4143823315115757,,0.008129160954305624,0.03759105873828396,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a3da1632,0.16789832332779384,,0.03486567729547009,0.03219873237689843,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a3da1632,0.30360172937453556,,0.01816122750628351,0.04148163107933564,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a3da1632,0.35744962627264004,,0.007549337276642811,0.0312348285015178,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a3da1632,-0.04844901303518112,,0.26042597769891734,0.031178261617049074,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a3da1632,0.08820200448940058,,0.05867817334492037,0.022362089943892237,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a3da1632,0.32136744068828443,,0.025037110767817398,0.051828706028423835,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a3da1632,0.16066653286191676,,0.11029430434607682,0.05829585578399295,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a3da1632,0.1665709974955191,,0.0340374671701927,0.03154208103855324,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a3da1632,0.34142792702064045,,0.019792193462489543,0.04876050942746883,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a3da1632,0.17947046592565896,,0.02934418609863156,0.031439755205003216,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a3da1632,0.13234497312284285,,0.11489802218107596,0.049206541556222456,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a3da1632,0.1293126640028156,,0.04970043604058842,0.029956860173207048,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a3da1632,0.36042998003270266,,0.0038509830305960046,0.022431787454796397,,
V3d_lh_subj01,backbone.blocks.1,vit_base_t=10_gs=224_a3da1632,0.30556398714225746,,0.08364452643432924,0.0944017382562928,,
