ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_0943e58f,0.32084385299340057,,0.01191355725067089,0.03533638717252028,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_0943e58f,0.08653210594975867,,0.4274907585035008,0.08762736300576211,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_0943e58f,0.09941633966673981,,0.36621370878136883,0.08579556779652556,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_0943e58f,0.3335108324356469,,0.025748441357975264,0.054575855786365104,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_0943e58f,0.410992708126696,,0.005165077796315351,0.029652411033588257,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_0943e58f,0.30217719192090603,,0.02866748222246396,0.05229419403584229,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_0943e58f,0.14119902504513962,,0.1466250168579444,0.06099054002481208,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_0943e58f,0.27527651668696357,,0.0030030971851624216,0.015119371777787794,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_0943e58f,0.4163731487317726,,0.007949680495717766,0.03734728235655607,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_0943e58f,0.13247509357868714,,0.056731879008147676,0.03297342247892204,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_0943e58f,0.31147845331355706,,0.015895337134987107,0.03974558400860475,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_0943e58f,0.3428086097279674,,0.00652287416933068,0.027823001521860274,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_0943e58f,-0.06374233133218164,,0.0723018752474081,0.018138466200522268,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_0943e58f,0.07153392600417231,,0.143634488600905,0.030499941518592786,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_0943e58f,0.34436037312879764,,0.012071498327223783,0.038181556290521494,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_0943e58f,0.1553445097241432,,0.12769988889496398,0.06157408606489752,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_0943e58f,0.14983535733502842,,0.04782085155763855,0.03399766818712918,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_0943e58f,0.3600549378519768,,0.020537549070761347,0.05240997144635415,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_0943e58f,0.1860493492574489,,0.04418218306946801,0.040459994578351186,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=112_0943e58f,0.11083057350068348,,0.17896510495979506,0.05449118855700969,,
