ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.3297987420269806,,0.015167893312838993,0.0410862324732883,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.12974821203437506,,0.27477976993324943,0.08710260075458903,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.14957331392623166,,0.23182803899527574,0.08815072684901364,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.31220455059692975,,0.03296992885412407,0.0581364831467249,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.4022285817754107,,0.008066283978498507,0.03634540166006109,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.30032661930514076,,0.03202125668088403,0.05507346440834176,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.140793409120442,,0.15168030500330762,0.06213852204563922,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.2604978760872188,,0.004387872064955582,0.017312670210059104,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.41758711506491125,,0.007052975103767597,0.03525657056209391,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.17286298914295437,,0.03565486270688502,0.033544614720072786,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.30909652524493497,,0.01379105781204072,0.03667933429608578,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.36164422163832644,,0.007320918494542466,0.031114235109394907,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,-0.05137925622772644,,0.228896447032479,0.0299986432946,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.09474694019845602,,0.054143596585299304,0.02299079197659206,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.3183074943652307,,0.019385811755184265,0.04497546187252418,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.16879079613508444,,0.11626725857666721,0.06320496246651088,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.18355380202864188,,0.04065051411667582,0.03818216188343772,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.3466997194728463,,0.019525901772542206,0.04916912738040825,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.19089933345436336,,0.016113965829310673,0.024530375567823504,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.14802685347849914,,0.11095071471904366,0.05389970263701597,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.13172742492437264,,0.03921873761289157,0.02688425826345365,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.3607850832955633,,0.004257173364361531,0.023615619656586834,,
V3d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.32356843874220403,,0.07127583605908697,0.09134202409037229,,
FFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.2059116712398068,,0.014653894858837328,0.025204135808425322,,
RSC_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.11773446944302342,,0.19401821706950104,0.06114223988752091,,
OFA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.19496503489529662,,0.014839937772868383,0.024018658154703165,,
EBA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.1995871513462899,,0.055941026153247884,0.0492990316656992,,
mfs-words_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.10554247414035926,,0.10062282558589075,0.03627640762233354,,
hV4_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.2653894466480894,,0.008560969811946005,0.024714261029532572,,
RSC_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.19531665689666877,,0.06425363268442419,0.05205221369877773,,
V3v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.28894877269702945,,0.07110936815459165,0.08146264090308941,,
V1v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.40935183449827584,,0.016441290775011507,0.053146165981742065,,
EBA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.23248636360544642,,0.051175897735524715,0.054716188187705954,,
V1d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.4194448302080808,,0.008937853363121607,0.03992252301530181,,
FFA-2_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.26397346580366604,,0.027939256364116913,0.045073308471964516,,
V2v_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.32708970321374514,,0.003999743368995894,0.020748599343569665,,
PPA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.2593575132171096,,0.029218076957682953,0.04533224781114505,,
V2d_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.30577833519016734,,0.0054052394567021215,0.02257253593180209,,
OWFA_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.20501572021233697,,0.1811570089137627,0.10162409837522382,,
V2v_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.3291294230554669,,0.002459997289017374,0.016354468965573504,,
V3d_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.3056800535497522,,0.036955572595690926,0.060452019326158464,,
VWFA-2_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.1384618045701407,,0.11596650530680035,0.05176746090140912,,
EBA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.21261636799949826,,0.0413796912453226,0.0446481862728962,,
OWFA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.16953933519933215,,0.04521928461090878,0.037330405381825194,,
mfs-words_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.17628745606019822,,0.05714766823398341,0.0440536490028212,,
OPA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.28974907966178715,,0.002099502293153107,0.013297344866125677,,
V1v_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.3654763277886465,,0.0007210244449847073,0.009819043828795563,,
OFA_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.3194250574441048,,0.11189125683841146,0.11689593684353726,,
FFA-1_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.3832245558426179,,0.03210890720245277,0.07037608945758142,,
V2d_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.18717111297883093,,0.12820123043812184,0.07436751139896114,,
V3v_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.2388044668938639,,0.044390903942811824,0.052063719566269075,,
EBA_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.21520689040845328,,0.011222281126856557,0.022991970725293787,,
VWFA-1_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.2360871342281732,,0.041129022255630664,0.049416758824919596,,
RSC_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.3104034091810491,,0.010212509110004415,0.031611063011027486,,
OPA_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.19566125435549878,,0.07708983919890726,0.05771762806118639,,
hV4_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.37686937171284507,,0.022565343335020138,0.057591734139820605,,
FBA-2_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.18954726981435202,,0.04485036704712229,0.04155316644078894,,
hV4_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.3876114484472617,,0.006547238642580043,0.031518565013694905,,
V1d_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.46294801926816204,,0.002790880596219173,0.02450831137460439,,
V1d_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.5069895767742527,,0.0019035772932955277,0.02215159552577941,,
VWFA-1_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_0fadac85,0.2509273839183152,,0.06451932203177714,0.0670251133169763,,
