ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.33232954089208605,,0.01741897788235304,0.04444392276120037,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.10312050679158358,,0.28494716059207137,0.0712874080866579,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.12322226574305854,,0.271512887095026,0.08193710505644436,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.3235555339032737,,0.038731249670486426,0.0655976557482265,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.4184883700431052,,0.007702295453115333,0.036941422341409805,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.3083580655088856,,0.03464453866186612,0.05893740403518064,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.14198065089588666,,0.12816331908290846,0.05640204848151424,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.27437505786460914,,0.005281989958042843,0.020020235885150756,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.4195858014759873,,0.008959895683766171,0.03998582278689993,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.1500499731610988,,0.021423548427268912,0.02232278026512,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.32320168637460817,,0.01635277807891302,0.04184535352465909,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.36423027146247877,,0.004950437031684655,0.025722604569765276,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,-0.05104322913887325,,0.15474551439726575,0.022817750584164284,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.07917429550840717,,0.051989826903392045,0.018793644527462603,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.33176850444614964,,0.022417678684171292,0.05052768764968647,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.15813426844314962,,0.1284805085602105,0.06291434683983052,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.1675058266449775,,0.03371369551621121,0.03155990256087971,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.3577971484768499,,0.02212767581833733,0.05412610170075699,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.20064491289667785,,0.02504692328543363,0.032365701530016576,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.1335068412439813,,0.10571943693987185,0.04724048019107752,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.11095437097479545,,0.055409663571699776,0.02726419867565081,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.368165628840162,,0.0037405241957722667,0.02258034160100923,,
V3d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.3236448719172252,,0.07911932162489263,0.09688172054943263,,
FFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.1966563995338747,,0.012515896830502523,0.022209858517435514,,
RSC_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.11259908348961611,,0.23132835045017316,0.0662547518795484,,
OFA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.19441504904725512,,0.018340636953135137,0.026697818550764557,,
EBA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.1919466764335498,,0.04881772921500099,0.044039214047289985,,
mfs-words_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.09675722908874858,,0.07285386608240416,0.02765055537291618,,
hV4_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.2584501086858006,,0.013712313907719757,0.030579794236940797,,
RSC_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.18424712576309618,,0.08569902872260009,0.05771511992941689,,
V3v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.29233670411977414,,0.07846325221878471,0.08709900428332783,,
V1v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.4211367411812234,,0.018657194163263897,0.05834321645867263,,
EBA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.22058299055776356,,0.05749067167743306,0.05530337211332591,,
V1d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.4309200469291372,,0.0100204249762463,0.04346331485986135,,
FFA-2_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.2553987840039138,,0.028468687934080684,0.04403850734691189,,
V2v_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.32402140958193887,,0.002512152097534659,0.016271070755481908,,
PPA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.24775540514773473,,0.02152684923725793,0.036950008460012326,,
V2d_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.31199918889777944,,0.00499093206678292,0.02212456266553645,,
OWFA_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.21748880557762726,,0.14996255583398702,0.09529399397731374,,
V2v_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.33106839377718306,,0.00318252624610362,0.01872156985798684,,
V3d_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.3143268961837444,,0.027990668356124276,0.05372262550237532,,
VWFA-2_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.13339827191807344,,0.17947600836967145,0.06571209691950072,,
EBA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.20209976690551837,,0.05081876670796308,0.047384886320781784,,
OWFA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.16801670539227062,,0.04512636586164835,0.03695439439304073,,
mfs-words_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.16416724552977185,,0.05502872582214114,0.04018872525985925,,
OPA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.2898447153215753,,0.0029692292101868674,0.01582909432821151,,
V1v_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.36559672679769734,,0.000878702676093685,0.010844502468249941,,
OFA_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.3324231532308827,,0.09109986380230674,0.10784762030902663,,
FFA-1_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.38133651209623637,,0.02657259572344671,0.06343331253041917,,
V2d_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.19388922686958987,,0.11632123784028862,0.07262350273779489,,
V3v_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.23720960812631944,,0.042361372443246906,0.05043904981637583,,
EBA_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.20987538439678613,,0.00678798926144565,0.017380083756356295,,
VWFA-1_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.2234369395552707,,0.03373364889308744,0.042111038723646514,,
RSC_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.3026102102809782,,0.008768552630874137,0.02852451937099131,,
OPA_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.191186332605946,,0.09631660370422854,0.06405801589600735,,
hV4_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.37856439976851536,,0.018551300983872233,0.052292062443089565,,
FBA-2_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.1817650697077832,,0.06101269174186486,0.047079656255963345,,
hV4_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.38885569745723,,0.009743504699117255,0.03866676985130638,,
V1d_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.4631298322498769,,0.0038048110297825713,0.028649125317565437,,
V1d_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.4983205079990162,,0.0022168743409306754,0.023501864414164186,,
VWFA-1_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.23291674507005763,,0.054771714695496694,0.05687382823350434,,
V3d_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.3062023484224361,,0.046990036868048805,0.06882578931536662,,
FFA-1_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.4258730304202715,,0.006790847843794954,0.03527466220679134,,
RSC_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.27899148726251105,,0.007257639183102005,0.023898060897490126,,
V1v_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.45192433058488835,,0.0020874077957027913,0.020679980043764624,,
PPA_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.30671138080066135,,0.006490910260219277,0.024831614706221704,,
V3v_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.42332282139392124,,0.005073473818616952,0.03026786850390686,,
OFA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.20061189170606605,,0.021446413756576153,0.02986127253244447,,
V3v_lh_subj03,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.45451440467954446,,0.005884697686045827,0.03502136799609592,,
PPA_lh_subj03,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,-0.007724685194618784,,0.8826496560376191,0.04622429397656854,,
RSC_lh_subj03,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.01590188966700837,,0.7636832372521486,0.04623391999711089,,
V3d_lh_subj03,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.1971263100281455,,0.2691145022426119,0.13016162759845357,,
VWFA-1_lh_subj03,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.1298234716338225,,0.008019766017974167,0.011696571050253967,,
RSC_rh_subj03,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,-0.10725076157374706,,0.03776586390147841,0.021455060933026588,,
V3v_rh_subj03,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.38139079795285324,,0.006024748898913952,0.02973781112289327,,
OPA_rh_subj03,backbone.blocks.1,vit_base_t=15_gs=224_a631d9bb_center_crop,0.014427312003234945,,0.3577544773098016,0.012175335092772865,,
