ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,0.34185506511607017,,0.014033538206073452,0.04092931011689837,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,0.13089926275195643,,0.2718694513579137,0.08713275171486595,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,0.14369363247027495,,0.25826451965629016,0.0918749138725399,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,0.3436554662386686,,0.016565628858123554,0.044789452790632955,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,0.432548827809976,,0.005745570789553755,0.03292907109871087,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,0.3120435636302639,,0.03202517776698114,0.05722577903296516,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,0.13696393799977472,,0.13782230837755266,0.056906879893242744,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,0.28954716381509904,,0.0055773854106017035,0.02171487073119116,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,0.42254467291002734,,0.00806429633394714,0.03817640309336237,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,0.1764314587810056,,0.023725713235446012,0.027670845196179877,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,0.31202351007793744,,0.015811603381148263,0.03970758630765685,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,0.37704459917252864,,0.0073954342366957995,0.03260572476608937,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,-0.016760565030625237,,0.6031578644117513,0.027412272501368518,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,0.09746746126842191,,0.07955677097054631,0.02926758980190742,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,0.3506013762872712,,0.012766796441473337,0.03999855016228237,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,0.17861736240236334,,0.09449807231522438,0.059188245408525596,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,0.1751094536259119,,0.03786240287479506,0.03507730550543239,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,0.3609204862835593,,0.014474422410288488,0.04390025068362421,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,0.22446679701952335,,0.017832150208609215,0.03038249734182072,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,0.14185528871654082,,0.11019391161243433,0.051442561199961906,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,0.1379904154611642,,0.05738828845155038,0.034562546314445004,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,0.3741256852801247,,0.006505518911763395,0.03032393515551669,,
V3d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,0.33295416427851854,,0.06585561173532956,0.08994898854045685,,
FFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,0.2077457196858671,,0.015506150988779445,0.026174654780399778,,
RSC_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,0.13781031515294065,,0.1406151962350863,0.057980215527673074,,
OFA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,0.20109866612814775,,0.02532185693829439,0.032623375872833996,,
EBA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,0.20160083865501757,,0.05858424677031296,0.051067614953355704,,
mfs-words_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,0.10984325278795888,,0.09110973889534076,0.0356385330685949,,
hV4_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,0.2756036753197097,,0.007162555883847728,0.023451023840337672,,
RSC_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,0.21517096755597262,,0.03969808441450569,0.044198459976919034,,
V3v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,0.306106149525093,,0.06747907031835809,0.08381950986680362,,
V1v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,0.4061371729641436,,0.018939033596883276,0.05670085067838695,,
EBA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,0.2234203141626273,,0.05745641644140255,0.0559964986909515,,
V1d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,0.4285571276897228,,0.010750907619048216,0.04479764806945572,,
FFA-2_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,0.2617649908400224,,0.022760633777553958,0.04018069190176235,,
V2v_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,0.3318802474323968,,0.004077942093862739,0.021258536946255294,,
PPA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,0.26588961311977494,,0.02958696135070974,0.04677982250519414,,
V2d_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,0.31250660528477187,,0.006895565934030961,0.02608550614165789,,
OWFA_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,0.21411090460927065,,0.12945078521021003,0.08557903292616896,,
V2v_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,0.3282010141411162,,0.00073488697768779,0.008902042538181536,,
V3d_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,0.30363393006414313,,0.025511209479944848,0.049448294363314105,,
VWFA-2_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,0.13738272234639795,,0.14159385743874572,0.05805195184349063,,
EBA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,0.19667830590567484,,0.049586027643682876,0.04550631905511804,,
OWFA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,0.17734275778226452,,0.0366044308426247,0.03489510808160332,,
mfs-words_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,0.16099975267654196,,0.07685012296245824,0.04740966034876175,,
OPA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,0.2827240348639016,,0.0016303614395621888,0.011429736704487216,,
V1v_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,0.3708311427461319,,0.0021095179558191205,0.017059086582970475,,
OFA_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,0.32975295325457804,,0.07853741046597745,0.09829925885012952,,
FFA-1_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,0.3797190140508486,,0.029856231702662977,0.0671239807639493,,
V2d_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,0.18624433925906095,,0.1291509989831332,0.07433502278260001,,
V3v_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,0.23768764298401926,,0.04017597506509792,0.0491350883567372,,
EBA_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,0.20856795849486764,,0.009267925706366536,0.02021966928314705,,
VWFA-1_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=336_938c7fc1,0.23523302765985554,,0.03528199855497911,0.04539516711016582,,
