ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_0536e5a0,0.32579377750685096,,0.01437752293777374,0.03949185767372258,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_0536e5a0,0.11816905730575832,,0.266824067189956,0.07750226545755869,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_0536e5a0,0.13967343357662998,,0.2431223738697152,0.08528180116682707,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_0536e5a0,0.31434861240883316,,0.03132657373406938,0.056985249265048964,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_0536e5a0,0.4104068882120225,,0.009255058689978373,0.039758974936414775,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_0536e5a0,0.30391316097691706,,0.03391942149644037,0.05744417985547885,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_0536e5a0,0.14212647587427812,,0.13433065500170277,0.058118293674242295,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_0536e5a0,0.2625493902347079,,0.0098855606328414,0.026299670023383466,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_0536e5a0,0.41669936609330166,,0.007768870872590704,0.036943990712171706,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_0536e5a0,0.16620632350983192,,0.01997108508367547,0.023846807886044017,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_0536e5a0,0.29931626920714166,,0.020520042873046616,0.04354962886656856,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_0536e5a0,0.3630128498058592,,0.008521796533760393,0.0337269592917162,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_0536e5a0,-0.045636894891394775,,0.16759259361033688,0.021483428178569297,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_0536e5a0,0.07911853648471996,,0.12924473504397269,0.03159235905707454,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_0536e5a0,0.3260017967406361,,0.02071563629445038,0.04766497957942691,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_0536e5a0,0.16403582900671068,,0.13051742909211128,0.0658958106001329,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_0536e5a0,0.17630317165130363,,0.04037975323441736,0.036543783911816986,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_0536e5a0,0.3402934024151083,,0.02279443135419763,0.05227486161767213,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_0536e5a0,0.18344486720391714,,0.029085743458743478,0.03198774599846924,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_0536e5a0,0.14404909248452977,,0.09643457030884589,0.048298784529844416,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_0536e5a0,0.11601116989054248,,0.07606041475531854,0.03396380149639304,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_0536e5a0,0.36371726001227467,,0.00520672133925336,0.026347971578807937,,
V3d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_0536e5a0,0.30633580357933304,,0.07397539290904216,0.08829473138014883,,
FFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_0536e5a0,0.20085626779206253,,0.008563941499278591,0.018707928864642006,,
RSC_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=448_0536e5a0,0.11125828878991682,,0.19708767973061747,0.05840718800195483,,
