ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_d92e53d2,0.3293371651274994,,0.020908311443449765,0.04838322565287076,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_d92e53d2,0.1250800933843297,,0.2175529853037128,0.07038969753653353,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_d92e53d2,0.15748551644550637,,0.1677435181583967,0.07417959228466409,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_d92e53d2,0.32341105572557377,,0.037654229897510993,0.06459566509059012,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_d92e53d2,0.41084271840570974,,0.010120864996908239,0.041648617626808514,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_d92e53d2,0.3076426962445928,,0.03805123834915415,0.06178853515607419,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_d92e53d2,0.14005354943525308,,0.13163976151757673,0.05655917217222512,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_d92e53d2,0.2610447609103452,,0.00888394090228101,0.024770033192624722,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_d92e53d2,0.4155147070625284,,0.008734684000625072,0.03909035866761663,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_d92e53d2,0.16396320826366248,,0.01843905837549336,0.022578091432502386,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_d92e53d2,0.30220630700897855,,0.02066582665470293,0.044130979740944494,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_d92e53d2,0.36266884118161885,,0.00879221389064207,0.034232447850326655,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_d92e53d2,-0.056121291092375396,,0.1485570514049113,0.024443247488887227,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_d92e53d2,0.0745894646038463,,0.12368150562873761,0.028993869242651214,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_d92e53d2,0.33277032059584283,,0.021513696212458404,0.049613386978076254,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_d92e53d2,0.15944232868305816,,0.13290362977602865,0.06476987383535444,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_d92e53d2,0.16458067700021795,,0.03561897016836459,0.031920429985016416,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_d92e53d2,0.34493473221676596,,0.02587807111583665,0.05659284748290039,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_d92e53d2,0.19785968990033587,,0.04260444964764817,0.04220051001909334,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_d92e53d2,0.12917937119198544,,0.1091732915469346,0.04658745703386017,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_d92e53d2,0.12200579239486509,,0.042248600756582114,0.02590583490222733,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_d92e53d2,0.3548416625442861,,0.007344921640819812,0.030579535724026375,,
V3d_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_d92e53d2,0.31819992052626905,,0.07190278313663742,0.09026698004079377,,
FFA-1_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_d92e53d2,0.19513638345254722,,0.01536754164849486,0.024473233289894064,,
RSC_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_d92e53d2,0.11042764935239142,,0.22315191010191068,0.06329248999840292,,
OFA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_d92e53d2,0.20658801474908747,,0.017671535335973286,0.027832892744402583,,
EBA_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_d92e53d2,0.18952091161163942,,0.04633625839431515,0.04227973504888446,,
mfs-words_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_d92e53d2,0.11265805548747533,,0.07044420680415321,0.031595345099419254,,
hV4_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_d92e53d2,0.27198244773281616,,0.007136620935593444,0.023100504560220336,,
RSC_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_d92e53d2,0.1882224714875853,,0.06653511240397413,0.051138982125344054,,
V3v_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_d92e53d2,0.29773923111096284,,0.07727470798865016,0.08794799553835442,,
V1v_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_d92e53d2,0.40652838065529445,,0.022647903753779647,0.06224161216952347,,
EBA_lh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_d92e53d2,0.22726572508632747,,0.05848420102579166,0.05751499390196173,,
V1d_rh_subj01,backbone.blocks.1,vit_base_t=15_gs=540_d92e53d2,0.4157744090057461,,0.010731282667069596,0.043421120345533824,,
FFA-2_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=540_d92e53d2,0.2616798777383877,,0.019013439150094083,0.03660693573593571,,
V2v_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=540_d92e53d2,0.32802808855480253,,0.005224891860039489,0.023804373129621723,,
PPA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=540_d92e53d2,0.254854680892727,,0.04359289069706822,0.05502654833208448,,
V2d_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=540_d92e53d2,0.29709981172694394,,0.006349002228868052,0.023786514739071053,,
OWFA_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=540_d92e53d2,0.19294962535054294,,0.17328026892220783,0.09284983908348882,,
V2v_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=540_d92e53d2,0.31516930971671636,,0.003142497814529325,0.01770952326815034,,
V3d_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=540_d92e53d2,0.3007702482854796,,0.025689417167609828,0.04915948437800092,,
VWFA-2_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=540_d92e53d2,0.14893695018699762,,0.10991249417516948,0.053928611786591064,,
EBA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=540_d92e53d2,0.2043013909264663,,0.04939787525790231,0.04717327475870707,,
OWFA_rh_subj02,backbone.blocks.1,vit_base_t=15_gs=540_d92e53d2,0.16778629014540422,,0.03085422638076094,0.030175094044230986,,
mfs-words_lh_subj02,backbone.blocks.1,vit_base_t=15_gs=540_d92e53d2,0.16298052932276563,,0.04456165652844635,0.03560580316552681,,
