ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_014b5f39,0.3236722485956364,,0.018398587189494074,0.0445200539061807,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_014b5f39,0.11827404675271184,,0.2838290298576648,0.0815016549957162,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_014b5f39,0.13392766684920884,,0.27285118599897973,0.08940458825428071,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_014b5f39,0.31541546654045965,,0.03228912702813055,0.05809398406765615,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_014b5f39,0.4195975864557775,,0.007369670579244935,0.03622161822407227,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_014b5f39,0.30275239035968765,,0.0385460998321206,0.06122423835148536,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_014b5f39,0.1381381709707167,,0.1677413098700787,0.06506594999452334,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_014b5f39,0.269507390581573,,0.004558421687171625,0.018258565855419136,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_014b5f39,0.41530128076785783,,0.008882651093125122,0.03940423716743259,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_014b5f39,0.15637168565312484,,0.03476639425571894,0.029943158031979104,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_014b5f39,0.3181331034109287,,0.015552224622573128,0.04014368900325101,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_014b5f39,0.35714341711044034,,0.007642564179548452,0.031402389657428864,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_014b5f39,-0.05011548305237403,,0.17149298252825274,0.023951472820289872,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_014b5f39,0.08416700003346149,,0.08362902162079802,0.026000028505478497,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_014b5f39,0.3315373568135935,,0.01781861942243614,0.04485744137770774,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_014b5f39,0.1567641364268,,0.13378067958590842,0.06394136304292379,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_014b5f39,0.16700175359506342,,0.050226471637970026,0.03890849145047955,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_014b5f39,0.34511061638075086,,0.02099342603434221,0.05080693444843085,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_014b5f39,0.1974614554542606,,0.02416381758745967,0.031264296469554725,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_014b5f39,0.12832902025407278,,0.13342339539416434,0.05225668116208921,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_014b5f39,0.12146348575961256,,0.047675786846378326,0.027515082602981987,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_014b5f39,0.3559538610223895,,0.005796178535694426,0.027218170568030563,,
V3d_lh_subj01,backbone.blocks.1,vit_base_t=20_gs=224_014b5f39,0.30217400346369877,,0.0878754969073912,0.09602403654194902,,
