ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.3257967343465075,,0.019501882046664348,0.04617537639946459,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.11761075243559956,,0.2849179834833723,0.08129775482956529,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.13261283748291705,,0.25048384997304823,0.08282060859301694,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.32248338034402785,,0.03895338670396784,0.0655789496750089,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.43040415944252947,,0.008186405124040596,0.03918342255006017,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.29906325727352595,,0.03750975302847783,0.059611160923848314,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.13720092128849393,,0.1314962324611644,0.055369929039204936,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.2693522644881247,,0.005889442583954297,0.020762644105235446,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.41817165044887705,,0.008496671134671513,0.03879362249629768,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.16286267899666254,,0.04272100924020369,0.0347868550939927,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.30651246590467096,,0.016885697822345513,0.0403424723385646,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.36126337899323085,,0.006817381101737038,0.029982107922422,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,-0.041485592818264104,,0.24286514117186506,0.025310119768431234,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.09344290380377009,,0.046659478076497236,0.020923878669168262,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.3408043166381964,,0.01989422842755585,0.048800569181344525,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.16611437738580606,,0.11237765981445463,0.06094829303655325,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.17117890905663882,,0.052289790729781696,0.040759638119157914,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.35169729855580095,,0.02254035498379899,0.05371423423186689,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.19620819561404443,,0.03124471296867603,0.03551993797543077,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.13700044684810564,,0.12626452866142826,0.05392893436489636,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.12408807043618882,,0.03738512925077099,0.02469047544299304,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.35308818931305974,,0.005352050688378542,0.02593534549386824,,
V3d_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.3138569757315888,,0.07864334738488701,0.09363193558458416,,
FFA-1_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.19679335360361852,,0.01099713153759344,0.020809195590166384,,
RSC_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.11505858568813314,,0.21801897459885541,0.06484948065452724,,
OFA_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.2032404978662892,,0.01695975425706071,0.026810165551655635,,
EBA_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.18765772925439864,,0.04937415671495012,0.04331902516249823,,
mfs-words_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.11297234436813869,,0.07334340571054465,0.032405670790031614,,
hV4_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.2632003899245708,,0.008765084999467484,0.02480471576009144,,
RSC_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.189548478485027,,0.07167618981795129,0.0536763841727236,,
V3v_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.285214538286319,,0.087723467856897,0.09054477665482787,,
V1v_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.41545382309945494,,0.017178304062386206,0.055165175086221645,,
EBA_lh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.2276152102364223,,0.06111899304737629,0.05901187341236501,,
V1d_rh_subj01,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.42024930642812497,,0.010204492162858177,0.0427805585363944,,
FFA-2_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.2668941691623863,,0.02120611360889162,0.03949695924012303,,
V2v_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.3268377413752071,,0.0038271697550779707,0.020277781695704118,,
PPA_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.24661361894234848,,0.021593146805504292,0.03683819521833962,,
V2d_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.3154701581514436,,0.0069799040332095144,0.026495115242054314,,
OWFA_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.2090155879596928,,0.16060200591718402,0.09569937207133103,,
V2v_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.32429666431442916,,0.002283678073234458,0.015524040129309056,,
V3d_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.3034116315585642,,0.033059492063280696,0.05657976953079604,,
VWFA-2_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.14637008946753605,,0.11683840681893257,0.05497101722046274,,
EBA_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.21261312724881035,,0.04266966353081692,0.04538422556003372,,
OWFA_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.17257982164384086,,0.03495434775081547,0.033140883573908556,,
mfs-words_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.17529409950792463,,0.041384688615143855,0.036813097159286344,,
OPA_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.2804559936931064,,0.003267626835841552,0.016071163545121038,,
V1v_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.3621231520856312,,0.0011210926221470895,0.01213507434939429,,
OFA_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.3244145378622178,,0.09687427930979266,0.10906240760302899,,
FFA-1_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.379077789732484,,0.027212468220345728,0.06384390915711836,,
V2d_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.18647150100328988,,0.12650032794366725,0.07348646541533443,,
V3v_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.2339910201497408,,0.04635475640114041,0.05221164178657647,,
EBA_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.2191234272344754,,0.009278719847547202,0.02125551261478338,,
VWFA-1_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.23277517049508037,,0.03569639959885013,0.04519853734219319,,
RSC_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.3036640091806188,,0.011846517918334517,0.033348340740064465,,
OPA_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.19009002339591916,,0.0850765978451039,0.059298041626785175,,
hV4_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.36799086786128327,,0.02264568777542236,0.05633846568023403,,
FBA-2_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.19259138827032865,,0.04976016444100126,0.04464507409816452,,
hV4_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.37773208256041424,,0.0073004646857545395,0.03245242976455571,,
V1d_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.4578915090987154,,0.003269262859973312,0.026245473555786252,,
V1d_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.5051614856755554,,0.0019948571348466244,0.022596264764595305,,
VWFA-1_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.23862853864414824,,0.044608906621928734,0.05216194792499556,,
V3d_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.2984781645002695,,0.057389391562695735,0.07476079872147806,,
FFA-1_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.4268096818705743,,0.003864050851991292,0.02660829984374641,,
RSC_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.2833611295098337,,0.009106461852475902,0.027226833511796177,,
V1v_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.45394818632998524,,0.002068397514510302,0.02067749017861023,,
PPA_lh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.30369189567143967,,0.0056427625138778985,0.022909896574276396,,
V3v_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.42137817372712144,,0.004884562065908076,0.029558364861533057,,
OFA_rh_subj02,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.19846929760329599,,0.024142804135582282,0.03140969346069444,,
V3v_lh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.44781713668806894,,0.007846482370328065,0.03990301738625853,,
PPA_lh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,-0.006797614100303541,,0.890112219851861,0.04347644492748467,,
RSC_lh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.002165073497992455,,0.9628668866629142,0.04119994715555603,,
V3d_lh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.1749841677262783,,0.341844342749659,0.14154091106905442,,
VWFA-1_lh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.12343382259733161,,0.024388048366735943,0.01963728373588315,,
RSC_rh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,-0.120195372935388,,0.07385555933677139,0.03461226729239916,,
V3v_rh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.3809433642018793,,0.008775161265493917,0.035922035889815636,,
OPA_rh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.012781708608082152,,0.5644043953763255,0.018676766077639333,,
OPA_lh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.0312739607311803,,0.1473329213371375,0.013549927942020125,,
hV4_lh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.39254428173587225,,0.03640588171639394,0.07701780820237217,,
V2d_rh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.2478182438877312,,0.12064353878956807,0.09488770284681895,,
V3d_rh_subj03,backbone.blocks.1,vit_base_t=25_gs=224_f9181069,0.25540000052462036,,0.039685741825553636,0.052453276263891194,,
