ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b2be84f6,0.33586266210586685,,0.01792910340174081,0.045587183945892444,,
OPA_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b2be84f6,0.11864954541409474,,0.2932838339396002,0.08399061639190852,,
VWFA-1_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b2be84f6,0.13556635677251466,,0.2664292245792185,0.08880892738330835,,
V3v_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b2be84f6,0.33200159608312546,,0.033883736528835216,0.06271855250012066,,
OWFA_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b2be84f6,0.42492066614930124,,0.006757639692506112,0.03510873588663869,,
V2v_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b2be84f6,0.3091898387371836,,0.037044407030963566,0.06122383306096958,,
FFA-1_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b2be84f6,0.13188309028763512,,0.12108343315132333,0.05060839654324535,,
hV4_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b2be84f6,0.27282267185993553,,0.005367302208659598,0.02006837553969609,,
V1d_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b2be84f6,0.4209491003109944,,0.010596880478542469,0.043680915066679704,,
OPA_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b2be84f6,0.16227682185135842,,0.04115464083565726,0.03397835966479453,,
V1v_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b2be84f6,0.3140804828803598,,0.019064286334889862,0.043997791027472775,,
V3d_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b2be84f6,0.3694006278690218,,0.00561686222098546,0.02780225757588437,,
VWFA-2_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b2be84f6,-0.04066439015122126,,0.22985575392471871,0.023815472886671258,,
PPA_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b2be84f6,0.08408289951846659,,0.043892362323897996,0.018221190405241807,,
OFA_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b2be84f6,0.3391592246977027,,0.01879068409264367,0.04715887643770413,,
VWFA-1_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b2be84f6,0.1658244228434814,,0.10644905626267709,0.05891468817380308,,
FFA-2_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b2be84f6,0.1664538550633339,,0.05284038673288499,0.03986019865502995,,
V2v_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b2be84f6,0.3535314741107745,,0.02086174899516544,0.051877912626899086,,
OWFA_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b2be84f6,0.20502027042859924,,0.0240230206279644,0.03236286619646075,,
FBA-2_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b2be84f6,0.13037314848849954,,0.13610398745175534,0.05374746067321217,,
PPA_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b2be84f6,0.13109013969075176,,0.03805597360015541,0.026330551245854008,,
V2d_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b2be84f6,0.3614445576122052,,0.006708981092424905,0.02975526498604391,,
V3d_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b2be84f6,0.3191313665911489,,0.08070049805224305,0.09660663435143184,,
FFA-1_lh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b2be84f6,0.19685569685149337,,0.010078288488593346,0.01991331337274374,,
RSC_rh_subj01,backbone.blocks.1,vit_base_t=5_gs=224_b2be84f6,0.11427767430338069,,0.22180144300574428,0.06521211484875784,,
