ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.36484833538931466,,0.00026127456564810586,0.005898560685768637,,
OPA_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.2686668316107512,,0.0004679931102696543,0.0058141503776933615,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.23063485222810973,,0.0020776986785262207,0.010529161547219551,,
V3v_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.3815934075965366,,0.0007306220541590095,0.010320133903266589,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.2686314953337235,,0.004447065257373137,0.017974050282534335,,
V2v_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.40505919069554736,,0.0006334516181082073,0.010199564302092736,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.19543477702445974,,0.013349337535473267,0.022809409820823957,,
hV4_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.3058072443989172,,0.0009407145979153583,0.009386059213841946,,
V1d_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.48139508492290856,,2.304469754991607e-06,0.0007307821128410148,,
OPA_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.2820006102530338,,0.0009415013418302946,0.008658992330160022,,
V1v_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.4551876615327836,,4.270902681636763e-06,0.0009407012266088202,,
V3d_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.37968988384911895,,0.0030368156773781067,0.020971483495494082,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.14398708180317596,,0.011959793520030688,0.015889430690029634,,
PPA_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.2892315239726626,,0.0009617835669722476,0.00897630810458078,,
OFA_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.26853663270590805,,0.002222895751643483,0.012682009395539406,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.1770221671250606,,0.00648100179533323,0.014320815164286712,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.24146021104756402,,0.012380038925522672,0.027118670789498187,,
V2v_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.4151160172122754,,0.00027698667259843274,0.006910176852362341,,
OWFA_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.21902588785001828,,0.0024429358480911145,0.010845468861926853,,
FBA-2_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.21376748920995636,,0.010195841724391757,0.021751744537482905,,
PPA_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.3141191513102428,,0.0005154190000598792,0.00713415532609139,,
V2d_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.40358834834001506,,0.0016377682792761822,0.016353051814058838,,
V3d_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.3750070876267661,,0.0006969527951470598,0.00990531434577756,,
FFA-1_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.2296499421461519,,0.0027723215781806252,0.012116930285173593,,
RSC_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.31363967096746037,,0.00035454554332808196,0.005907211379929465,,
VWFA-2_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.1616479179411445,,0.005133265584359911,0.011626366766741648,,
OFA_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.2359921967787503,,0.0017040266076253747,0.00975419465884623,,
EBA_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.20140999352164712,,0.0007171776411395907,0.005396697604255813,,
mfs-words_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.12731833788430597,,0.002432976871967616,0.006291490549783614,,
hV4_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.35256491750291485,,0.003628565831278524,0.021295655181572268,,
RSC_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.3935806338376336,,0.0010466461295886632,0.01274309085338908,,
V3v_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.3710163866563236,,0.0023782904720055908,0.01812597075070577,,
FBA-1_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.30024004891031314,,0.0028806871054233305,0.016149405753936766,,
V1v_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.47890029719057137,,2.4676489597427913e-05,0.0023790021442934477,,
EBA_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.19821500838001618,,0.0013798136765929597,0.0073704932708748535,,
V1d_rh_subj01,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.45104268965727384,,0.0012538286182999978,0.01598620708686033,,
FBA-1_lh_subj01,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.187167176177223,,0.0021110343333169473,0.00861322500211512,,
FFA-2_rh_subj02,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.18664559324519395,,0.003699186430012865,0.011383566771387158,,
V2v_rh_subj02,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.26194894966389287,,0.0006396722446292337,0.006628325804727973,,
PPA_rh_subj02,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.3368316888459712,,0.0074344858059619085,0.029205896118875682,,
V2d_rh_subj02,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.3053243310496318,,0.002795275931538855,0.016176543281164718,,
OWFA_lh_subj02,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.2419109230491182,,0.002286259289294853,0.011586810313593925,,
V2v_lh_subj02,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.3675189476571111,,0.0001645217420965756,0.004714601362624745,,
VWFA-2_rh_subj02,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.20804285879266202,,0.001493196019181887,0.008048186169141571,,
V3d_lh_subj02,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.3319813556130408,,0.0013432339636499377,0.012179441918117647,,
VWFA-2_lh_subj02,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.14676457134303755,,0.0008659162830730597,0.004321568220730514,,
EBA_rh_subj02,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.24795248973924702,,0.0017122938437492648,0.010273440469298655,,
OWFA_rh_subj02,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.15180143358518894,,0.006039596133634395,0.011850972910678258,,
mfs-words_lh_subj02,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.21114195225812274,,0.005578398940331608,0.015836246561898144,,
OPA_rh_subj02,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.24283070786326133,,0.011060475509865771,0.025752331953621428,,
V1v_lh_subj02,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.39621479056996645,,0.0007541113691073067,0.010886647614854436,,
mfs-words_rh_subj02,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.15764755903875372,,0.011129164205932126,0.01677132013815359,,
OFA_lh_subj02,backbone.layer1,resnet50_t=0_gs=540_c44fb9fe,0.29954073268515596,,0.0031956700107068554,0.01697382391435375,,
