ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_be272581,0.373186934447713,,2.4218747098010773e-05,0.0018365812876100468,,
OPA_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_be272581,0.26067447353095097,,0.003553911749450018,0.015581591481343384,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_be272581,0.207262259233117,,0.011541326899414433,0.02246119557357434,,
V3v_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_be272581,0.3816139542284665,,0.0009545970170683954,0.011799005098162006,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_be272581,0.27465969380152694,,0.0024969023305645866,0.013750237159378228,,
V2v_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_be272581,0.4068391770170677,,0.00010258953211068828,0.0041210483435868885,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_be272581,0.18955980586631674,,0.021406108200269343,0.028188758370305985,,
hV4_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_be272581,0.30615483974607755,,0.001590354414313907,0.012223809730557554,,
V1d_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_be272581,0.4852780739625209,,7.220225322015453e-05,0.00412372374484377,,
OPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_be272581,0.2672319499026602,,0.00568762868610976,0.02024010445231248,,
V1v_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_be272581,0.45323531409986934,,8.500756965236458e-05,0.004179075631417415,,
V3d_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_be272581,0.38530339023985594,,0.0009807838897197235,0.012075611623791003,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_be272581,0.13727367912928132,,0.007545104517419744,0.011991910453095653,,
PPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_be272581,0.266382968722491,,0.005830808871826438,0.02043038545881102,,
OFA_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_be272581,0.27711500341952156,,0.000485383460199645,0.006107460554627045,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_be272581,0.15794460820616682,,0.006512820816264377,0.012809106260451845,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_be272581,0.2523912920121875,,0.011430475509668574,0.02721790472430917,,
V2v_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_be272581,0.40945184251576805,,0.00021063736171499748,0.0059434573478603335,,
OWFA_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_be272581,0.23225537560834333,,0.001975891027736828,0.010339311051555673,,
FBA-2_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_be272581,0.21441088458272337,,0.011343115455852268,0.023032036552502425,,
PPA_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_be272581,0.2958411530332034,,0.004548130903077327,0.020019831999753077,,
V2d_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_be272581,0.4007458138664047,,0.0003330097428825201,0.007314858908156527,,
V3d_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_be272581,0.38512951144947,,0.00023852421370657858,0.005949092728013208,,
FFA-1_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_be272581,0.22201270940292397,,0.003747535808325423,0.013629315931715427,,
RSC_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_be272581,0.2913969290429091,,0.004272897855493518,0.019109154760040284,,
VWFA-2_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_be272581,0.1396356932302831,,0.01658941452251416,0.018212451647910015,,
OFA_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_be272581,0.2496497532648665,,0.0013149623418034376,0.009061841015401789,,
EBA_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_be272581,0.188414627794906,,0.00170132377248988,0.007781490816148569,,
mfs-words_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_be272581,0.12005931455738378,,0.0049807499340138095,0.008504921179315608,,
hV4_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_be272581,0.3615608566418416,,0.00203623014498272,0.016340256500500774,,
RSC_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_be272581,0.3676681888972135,,0.00045807727735900755,0.007871811316336835,,
V3v_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_be272581,0.3830516979365899,,0.0011059123436478213,0.012749060903109937,,
FBA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_be272581,0.30789069448471285,,0.0020553264646366583,0.013980002108597244,,
V1v_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_be272581,0.476318443853653,,0.0001961703730884449,0.006672337590886762,,
EBA_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_be272581,0.18588256878442797,,0.0026789322612688826,0.009640365104434882,,
V1d_rh_subj01,backbone.layer1,resnet50_t=15_gs=112_be272581,0.44367327547469587,,0.00032907581645223933,0.008050418562744998,,
FBA-1_lh_subj01,backbone.layer1,resnet50_t=15_gs=112_be272581,0.16708190739157538,,0.0038977251268272877,0.010461826031466224,,
FFA-2_rh_subj02,backbone.layer1,resnet50_t=15_gs=112_be272581,0.18712914547503212,,0.006481605276297636,0.01513916553101468,,
V2v_rh_subj02,backbone.layer1,resnet50_t=15_gs=112_be272581,0.25447022496423477,,0.0002461710819193544,0.003993334456710593,,
PPA_rh_subj02,backbone.layer1,resnet50_t=15_gs=112_be272581,0.3203146304573876,,0.013482003126126779,0.037573376911953824,,
V2d_rh_subj02,backbone.layer1,resnet50_t=15_gs=112_be272581,0.29748956981504554,,0.004186549038010751,0.019309312960598166,,
OWFA_lh_subj02,backbone.layer1,resnet50_t=15_gs=112_be272581,0.23928567743289583,,0.00285364600381449,0.012809960652788275,,
V2v_lh_subj02,backbone.layer1,resnet50_t=15_gs=112_be272581,0.35971149979472333,,0.0002680504425746314,0.005890469475357758,,
VWFA-2_rh_subj02,backbone.layer1,resnet50_t=15_gs=112_be272581,0.18758999270799734,,0.008886323147532323,0.017802470643940787,,
