ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.366009570642398,,0.00011631702203828124,0.003947771146946751,,
OPA_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.2683881635310538,,0.0008212686806382448,0.007696151739735058,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.23362939460399004,,0.00515166176701882,0.016833879705437857,,
V3v_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.3807727549214219,,0.00047246474436911053,0.008279507493823227,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.27228464163393934,,0.002598660508592391,0.01390739027335301,,
V2v_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.40244611677644215,,0.0003453560757926976,0.007480899217957421,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.20156434629855643,,0.015755744129852537,0.02560429682459751,,
hV4_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.3082896856655371,,0.000843478085450768,0.008959231743763167,,
V1d_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.48290517174272746,,5.7106159007104934e-06,0.0011539983603703128,,
OPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.28135938719357606,,0.0017924422124022653,0.01192802218000766,,
V1v_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.4489373487388162,,1.049055696479573e-05,0.0014540804239697475,,
V3d_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.38070968289599944,,0.0020993364948401045,0.017471073342375142,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.14701039549929273,,0.010467851884706851,0.01516028636945085,,
PPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.279435866739938,,0.0033246560589119834,0.016152528856949476,,
OFA_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.2772415118205424,,0.0005337673389207244,0.006407788514838248,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.17879350189601287,,0.005582786982228228,0.013415338490531604,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.26732242642920295,,0.006528744651297973,0.021706256020124874,,
V2v_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.4119524639104799,,0.00018737077007461485,0.005639739739970978,,
OWFA_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.22195954000290352,,0.004002897174315638,0.014085358772006373,,
FBA-2_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.23064618686489421,,0.006758046218248807,0.01905753887340483,,
PPA_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.3100115127812873,,0.0016896946366101492,0.01275947622642279,,
V2d_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.4021461110707764,,0.0009268396423227437,0.012251470765459948,,
V3d_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.38050886154199764,,0.00010743152776207831,0.003944261006765187,,
FFA-1_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.24060964172576002,,0.0006702839852146429,0.006232479502664157,,
RSC_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.30344265506863183,,0.0022067074098996785,0.014278043596881012,,
VWFA-2_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.16010276248884248,,0.010084171436218696,0.016200298715415947,,
OFA_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.24397936950395152,,0.003002828480683594,0.013399795444095395,,
EBA_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.21166970483325565,,0.0020459608642834546,0.009589027716100429,,
mfs-words_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.12973298741796974,,0.006057131307383447,0.010142939813756188,,
hV4_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.35758417280984495,,0.0028875488674619506,0.019256842654404346,,
RSC_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.38834482782366037,,0.0002635771233173,0.006306047649646847,,
V3v_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.37383845175062896,,0.001620455255377952,0.015067139415481653,,
FBA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.3054849894106417,,0.0033746696118580107,0.017791266902766247,,
V1v_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.47458396742780473,,4.3552592267535124e-05,0.0031320901499555004,,
EBA_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.20748160201910362,,0.0006636105679511136,0.005347520706545023,,
V1d_rh_subj01,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.445823909450411,,0.0008229449252201026,0.012797257854079981,,
FBA-1_lh_subj01,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.19038380342560166,,0.0010870171244132755,0.006282065793047808,,
FFA-2_rh_subj02,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.19404404883565599,,0.0027917415930547077,0.010274217342672004,,
V2v_rh_subj02,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.25572678148594247,,0.0003844372738755051,0.005015499651055117,,
PPA_rh_subj02,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.3344585347180618,,0.008642696456164013,0.03129653809477982,,
V2d_rh_subj02,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.3021884356848859,,0.003565634773334879,0.018092979545238485,,
OWFA_lh_subj02,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.2437741670270104,,0.0015737190618561416,0.009681983718901202,,
V2v_lh_subj02,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.3647990298084092,,0.0001407118443630326,0.004327776645609941,,
VWFA-2_rh_subj02,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.19923899670818676,,0.002119402913427029,0.009186969998776003,,
V3d_lh_subj02,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.334224467193249,,0.0016213092965806808,0.013474100129885655,,
VWFA-2_lh_subj02,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.16100350564885102,,0.0005340235432837264,0.0037221128062274694,,
EBA_rh_subj02,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.2537167804708031,,0.0017904768457841632,0.010750219996981916,,
OWFA_rh_subj02,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.1515747414026022,,0.004721466060070369,0.010452192556974974,,
mfs-words_lh_subj02,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.21190323580291567,,0.005004607349074913,0.015047261696596384,,
OPA_rh_subj02,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.23462647343761747,,0.011602338880840193,0.02549498149035551,,
V1v_lh_subj02,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.3937704106764915,,0.00022399732413713237,0.005894370950970582,,
mfs-words_rh_subj02,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.16408501026787253,,0.01959114993785009,0.02331063376733885,,
OFA_lh_subj02,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.2999909845846933,,0.002070378075714146,0.013671249661789451,,
FFA-1_lh_subj02,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.22609545524475352,,0.0017280322968675564,0.009410900560021944,,
FBA-2_lh_subj02,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.23509364416111836,,0.0013322601270964577,0.008589535630864313,,
V2d_lh_subj02,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.29726268404610023,,0.0008774576403053299,0.008811288625747088,,
V3v_lh_subj02,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.28531522396018205,,0.00017833029954462755,0.00381061968837263,,
EBA_lh_subj02,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.21903206607436532,,0.002898723015655183,0.011818349622180487,,
VWFA-1_lh_subj02,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.2104067676428554,,0.0021659837950800784,0.009808299191168941,,
RSC_rh_subj02,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.3657616533866799,,0.0018248079931354629,0.01564594397371551,,
OPA_lh_subj02,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.28193894762804717,,0.011580392493219507,0.030606550304233985,,
hV4_lh_subj02,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.37117402173608816,,0.003241430997783385,0.021183795034914125,,
FBA-2_rh_subj02,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.20642693043085267,,0.0009716661697512356,0.006439343122720943,,
hV4_rh_subj02,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.3413894777219559,,0.000903200429283953,0.010266834118813762,,
V1d_lh_subj02,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.4704377846506375,,0.0003834526516565933,0.009214738079560223,,
V1d_rh_subj02,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.4848543731969821,,0.0004859027800443787,0.010691639888505616,,
VWFA-1_rh_subj02,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.2333801654515005,,0.003456270545382823,0.01375611707412388,,
V3d_rh_subj02,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.32415085533108123,,0.001919106387587839,0.01422074965585514,,
FFA-1_rh_subj02,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.2754476301277675,,0.0034056954584884723,0.016115859055739454,,
RSC_lh_subj02,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.4394154653485279,,0.0031684102602477443,0.024793050929572135,,
V1v_rh_subj02,backbone.layer1,resnet50_t=15_gs=224_7c077e46,0.46120580958123475,,8.7213909387497e-06,0.0013620419606092096,,
