ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_c6fea3f5,0.36294504767100916,,0.00021150062515362225,0.0052791694393136065,,
OPA_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_c6fea3f5,0.26412280300784585,,0.0007534970098319765,0.007254244711912254,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_c6fea3f5,0.23452047295219192,,0.004124187897522203,0.01510763759806075,,
V3v_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_c6fea3f5,0.3818935839547173,,0.0008867687620538937,0.01137985015745181,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_c6fea3f5,0.27120113729871614,,0.003515331562542891,0.016122115342886965,,
V2v_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_c6fea3f5,0.4035700350050504,,0.0005577235942756244,0.009534768270695168,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_c6fea3f5,0.19587779427844454,,0.019142849906383406,0.02749757027301695,,
hV4_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_c6fea3f5,0.30678347310115456,,0.001160467621340076,0.010459880385554999,,
V1d_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_c6fea3f5,0.48563027896487915,,3.055122908215052e-05,0.0026842938216759702,,
OPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_c6fea3f5,0.2769382234539989,,0.0010831466147098567,0.009121779120120351,,
V1v_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_c6fea3f5,0.4553361131009624,,1.1026831689908582e-05,0.0015120322715533475,,
V3d_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_c6fea3f5,0.3794363137016539,,0.00234272463471413,0.018397704262679435,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_c6fea3f5,0.15473792684600415,,0.010104581000444066,0.015673527224911128,,
PPA_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_c6fea3f5,0.27814259328471014,,0.0018023930196292017,0.011824422603220934,,
OFA_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_c6fea3f5,0.2742037365440997,,0.0013267334378091182,0.009997644399645247,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_c6fea3f5,0.18131597888554088,,0.0077895692948101525,0.016096876803293345,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_c6fea3f5,0.26005279912888496,,0.006656478666875892,0.02132359463975391,,
V2v_lh_subj01,backbone.layer1,resnet50_t=15_gs=448_c6fea3f5,0.4154816841087052,,9.021918304202613e-05,0.003946669106957306,,
OWFA_rh_subj01,backbone.layer1,resnet50_t=15_gs=448_c6fea3f5,0.2193136959968387,,0.0064313537657615175,0.01767338242040873,,
