ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_8847d55e,0.37059966624407004,,3.3313530622639135e-05,0.0021390759562776845,,
OPA_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_8847d55e,0.26536837786223866,,0.00048753988729835816,0.005861558356514197,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_8847d55e,0.22687936523836505,,0.006657929808544882,0.0186055149224192,,
V3v_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_8847d55e,0.3872540217665448,,0.0006041834859951338,0.009523075481215743,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_8847d55e,0.2772762718326249,,0.0030141276889369363,0.01525727673496808,,
V2v_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_8847d55e,0.4100034596308015,,0.00024445197928349264,0.0064115633071971335,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_8847d55e,0.19712046938457342,,0.01717928062748032,0.026174996634838788,,
hV4_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_8847d55e,0.31169424585708044,,0.0010374551026621948,0.010047350802157965,,
V1d_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_8847d55e,0.4894044515906417,,2.7829322259552296e-05,0.0025818338771205246,,
OPA_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_8847d55e,0.2752958790890308,,0.0011177637372415301,0.009211684077173439,,
V1v_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_8847d55e,0.45715900034886636,,1.1763969715287953e-05,0.0015680072091574188,,
V3d_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_8847d55e,0.3844292053934553,,0.0019824397358200307,0.01714205328518083,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_8847d55e,0.13690617037367322,,0.006704857518359989,0.011267051869332686,,
PPA_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_8847d55e,0.2735161262794609,,0.0024311304283626133,0.013510768773683018,,
OFA_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_8847d55e,0.28034096654809715,,0.0006368607770775432,0.007078094123074671,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_8847d55e,0.17350179513563269,,0.004236110848259489,0.011328459076634987,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_8847d55e,0.2571808825705057,,0.006155578429781381,0.02027147492440533,,
V2v_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_8847d55e,0.41471629450918973,,0.0002334075518351494,0.0063370128418619035,,
OWFA_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_8847d55e,0.2287359748188209,,0.003375978513899718,0.013324045549359547,,
FBA-2_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_8847d55e,0.22244018276013774,,0.006933554712016105,0.018619104946627572,,
PPA_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_8847d55e,0.3040610038997269,,0.0006383663466184901,0.007686059173011768,,
V2d_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_8847d55e,0.40629301982610727,,0.0008132037473918983,0.01159321926738363,,
V3d_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_8847d55e,0.38567007088517985,,5.511594291517435e-05,0.0028633373048049925,,
FFA-1_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_8847d55e,0.2330502490353387,,0.0004612722254763889,0.0050070105954338135,,
RSC_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_8847d55e,0.29962610942049944,,0.001524993120154598,0.011714149483598222,,
VWFA-2_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_8847d55e,0.1568546991202049,,0.007550970184750193,0.013707849022765993,,
OFA_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_8847d55e,0.24562042125875397,,0.0031470343269128244,0.013811541498926643,,
EBA_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_8847d55e,0.20354497392327828,,0.0016525758731256053,0.008284759102429047,,
mfs-words_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_8847d55e,0.12759318420405313,,0.0036385624271014993,0.007717560963274911,,
hV4_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_8847d55e,0.36044535122864496,,0.0026534660838438496,0.018604235516027967,,
RSC_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_8847d55e,0.3833130583186848,,0.00031389022790703335,0.006792736556330446,,
V3v_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_8847d55e,0.38027606442665834,,0.0013900440371124052,0.014192745134421744,,
FBA-1_rh_subj01,backbone.layer1,resnet50_t=20_gs=224_8847d55e,0.30330370590496775,,0.0038926856810428826,0.01897899457385585,,
V1v_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_8847d55e,0.47870709786024884,,0.00011001878903684038,0.005021565533639838,,
EBA_lh_subj01,backbone.layer1,resnet50_t=20_gs=224_8847d55e,0.19879122310964584,,0.0004787600832190796,0.004351231185516863,,
