ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_b274a811,0.37379094286109743,,1.4826131495199149e-05,0.0014392874118802647,,
OPA_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_b274a811,0.27470324045348443,,0.00031026128263424336,0.004839813772908586,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_b274a811,0.23847233400281487,,0.0031983924075056265,0.013519094582684806,,
V3v_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_b274a811,0.3890523121159141,,0.0006956474804763266,0.010266662553747427,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_b274a811,0.2878702444655821,,0.002738930561539088,0.015096658901545677,,
V2v_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_b274a811,0.41115977702891654,,0.00022457790532113138,0.006162647038986906,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_b274a811,0.20426558200251152,,0.013633347084880813,0.024097543352175226,,
hV4_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_b274a811,0.3168590297943301,,0.0009686728883805862,0.009868936527780729,,
V1d_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_b274a811,0.489040378076443,,4.909293946389405e-05,0.0034266537889848557,,
OPA_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_b274a811,0.2872117868856377,,0.0007551557916127126,0.007897081428159165,,
V1v_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_b274a811,0.45733616635689844,,9.406093386181117e-06,0.0014026304208733461,,
V3d_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_b274a811,0.3861403429813505,,0.0016431100833462808,0.015671631717681305,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_b274a811,0.1448446872842484,,0.0061720435000858056,0.011432328445141082,,
PPA_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_b274a811,0.28991134681070047,,0.0024346102385599585,0.014330919848930134,,
OFA_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_b274a811,0.28815738225860826,,0.0007251787219261707,0.007764054625661939,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_b274a811,0.18134689431410697,,0.003664273657272064,0.011007790635693137,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_b274a811,0.2682759165804198,,0.0052619045274946725,0.019537651649379865,,
V2v_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_b274a811,0.42039987083748315,,0.0002814465153033438,0.007054271978004078,,
OWFA_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_b274a811,0.23055808131585756,,0.004154170057185272,0.014906609456657956,,
FBA-2_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_b274a811,0.23235641643794192,,0.005142442053687862,0.016727052383626862,,
PPA_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_b274a811,0.3190429310012937,,0.0008487788356330301,0.009300857688336776,,
V2d_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_b274a811,0.40689244233815053,,0.0007028701173304471,0.010793099889938318,,
V3d_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_b274a811,0.3875945129551,,9.788643192646801e-05,0.0038350475660296935,,
FFA-1_lh_subj01,backbone.layer1,resnet50_t=25_gs=224_b274a811,0.2436292390944164,,0.0002501774036271106,0.00385420623143354,,
RSC_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_b274a811,0.3136397294843833,,0.001346093574235578,0.011518806731499966,,
VWFA-2_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_b274a811,0.16347673334357618,,0.0055200560434507375,0.012196395648261847,,
OFA_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_b274a811,0.24735878129382785,,0.002480610546386881,0.01234285943951032,,
EBA_rh_subj01,backbone.layer1,resnet50_t=25_gs=224_b274a811,0.21124718028560105,,0.0013200993638289903,0.007682888792184632,,
