ROI,Layer,Model,R,%R2,Significance,SEM,LNC,UNC
V2d_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.4433947961433362,,0.021897150923940664,0.06671282170191471,,
OPA_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.23837967300230453,,0.06798956141393392,0.06554797802705109,,
VWFA-1_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.32896712771243,,0.04029008596260515,0.06810711996586238,,
V3v_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.5484938050140772,,0.00159638149163933,0.021941207685169082,,
OWFA_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.3349923695061556,,0.011572967508316144,0.03635402476743329,,
V2v_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.40396493938940514,,0.021267336306647323,0.05987075079124879,,
FFA-1_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.03159562646919353,,0.7033205844321117,0.0719146764149783,,
hV4_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.36786214550749535,,0.0004738420859578979,0.008010438641640694,,
V1d_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.5274494546086897,,0.006128534124246565,0.041482269727969846,,
OPA_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.2000908277230358,,0.04983843996617808,0.046422897343930285,,
V1v_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.4922880336618493,,0.006826188823597123,0.04088281174144351,,
V3d_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.41694774882711266,,0.020332695476726344,0.06037840063069996,,
VWFA-2_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.03554696993247774,,0.16071199890628896,0.016282669019615167,,
PPA_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.13635267734202822,,0.1873960375209924,0.06915146745201087,,
OFA_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.3182233016162588,,0.004091382388340004,0.020417513502196442,,
VWFA-1_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.18270079349812526,,0.0025766095258640655,0.009291915609466113,,
FFA-2_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.02819572192379612,,0.5217575756071396,0.036612327151397554,,
V2v_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.550040425024907,,0.002071822011042179,0.025075319929435378,,
OWFA_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.407582640397365,,0.014948186815444495,0.05039898472563579,,
FBA-2_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.06711206052976738,,0.2723021919841846,0.04472949225443921,,
PPA_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.245421456323492,,0.07204719726167426,0.06969929537051119,,
V2d_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.35275043013866925,,0.035622772590108806,0.06841981763581689,,
V3d_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.5025849560671033,,0.009429398449596263,0.04915184662693683,,
FFA-1_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.14546719095658442,,0.015293507470361645,0.018198892021595043,,
RSC_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.10036135044976635,,0.1454747211095389,0.043135688007654195,,
OFA_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.20295850470397478,,0.018619034308761172,0.028087765830123207,,
EBA_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.08916354797761111,,0.31189306238048053,0.06648432163191056,,
mfs-words_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.13513960779460818,,0.39661209576484413,0.12629127142730384,,
hV4_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.31321132903744126,,0.02237627267709799,0.04765587367525009,,
RSC_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.17275361527482871,,0.15441439668588613,0.07711974024372717,,
V3v_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.4569648742804344,,0.028552823972534207,0.07891612220749461,,
V1v_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.5577993707399064,,0.006420038943080184,0.0449102899843534,,
EBA_lh_subj01,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.1455181198583194,,0.0026817894635855237,0.007550997019527124,,
V1d_rh_subj01,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.4779224781143447,,0.014949299840913387,0.05909899606360214,,
FFA-2_rh_subj02,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.02909503448289182,,0.34412293916813563,0.023678396754367708,,
V2v_rh_subj02,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.14133064355226582,,0.11818434680011247,0.053445611804823746,,
PPA_rh_subj02,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.2509648725987356,,0.1869000608795707,0.12704851830961864,,
V2d_rh_subj02,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.2510785846285813,,0.155899181515764,0.11277545823833925,,
OWFA_lh_subj02,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.24146663168627214,,0.14825706131744187,0.10503441640948934,,
V2v_lh_subj02,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.37618328619431257,,0.012339433513895695,0.04217892489708278,,
V3d_lh_subj02,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.3188146357870748,,0.07728163695040877,0.09417813419156877,,
VWFA-2_lh_subj02,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.1327140151647887,,0.053670579422789896,0.03205057049831839,,
EBA_rh_subj02,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.13720417750946173,,0.030819576799487606,0.024660608806360007,,
OWFA_rh_subj02,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.06073258652828931,,0.0948939074157387,0.020173722348916116,,
mfs-words_lh_subj02,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.14330060877082343,,0.11580896156517786,0.053532864075681204,,
OPA_rh_subj02,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.17573651242037633,,0.10119440871254344,0.060603785113057036,,
V1v_lh_subj02,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.3730881301143026,,0.001969982583540124,0.016583837295243428,,
OFA_lh_subj02,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.20987297208889052,,0.06241495156886767,0.055043437498850704,,
FFA-1_lh_subj02,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.06376530672868846,,0.4963130537587851,0.07733308282884253,,
V2d_lh_subj02,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.35864462476018416,,0.011403880554772605,0.03863047521361133,,
V3v_lh_subj02,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.35312191766982587,,0.00378450191880966,0.021785345860827175,,
EBA_lh_subj02,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.14005210958000577,,0.1830707406149075,0.06991472995496144,,
VWFA-1_lh_subj02,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.08202388299658332,,0.13288053373944197,0.03331678808295056,,
RSC_rh_subj02,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.20127128107312356,,0.07868839136258522,0.060064035355429576,,
OPA_lh_subj02,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.22507907345337028,,0.10267379543276751,0.0782835624595353,,
hV4_lh_subj02,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.3690478246670823,,0.029894799561076227,0.06528168429261282,,
FBA-2_rh_subj02,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.03501505013339474,,0.3836331708644283,0.03163213727394834,,
hV4_rh_subj02,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.2844388257514314,,0.08039835864637623,0.08592178466480156,,
V1d_lh_subj02,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.4877034880246607,,0.003499194324228214,0.028925573954176085,,
V1d_rh_subj02,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.4310492351002339,,0.06445980614981989,0.11507872055542281,,
VWFA-1_rh_subj02,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.0997474226117548,,0.36332783987402095,0.08542815186377894,,
V3d_rh_subj02,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.2499597889853303,,0.09363437243766203,0.08238961544385032,,
FFA-1_rh_subj02,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.03232449552634319,,0.6233187993518279,0.0562101333492902,,
RSC_lh_subj02,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.2276554172258367,,0.035122345429720994,0.04382785884975781,,
V1v_rh_subj02,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.3609275302675339,,0.09636076742007421,0.12096295349379439,,
PPA_lh_subj02,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.2990780267102549,,0.07682485440599104,0.08805331219354763,,
V3v_rh_subj02,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.2914615262298504,,0.12605067259704297,0.11461236909651337,,
OFA_rh_subj02,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.04982224114422747,,0.2140230860697447,0.027711925516127882,,
V3v_lh_subj03,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.4628141781959278,,0.00953282648048247,0.04551346753933975,,
PPA_lh_subj03,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.3210319584180653,,0.007031440937485682,0.027062640173157636,,
RSC_lh_subj03,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.20007979680955845,,0.2620077675403932,0.12936519514369538,,
V3d_lh_subj03,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.3562620864405462,,0.021354532446453064,0.05291249566749196,,
VWFA-1_lh_subj03,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.10708712840429975,,0.21081051028811948,0.058927128858028664,,
RSC_rh_subj03,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.2476014923865031,,0.12051679122171485,0.09474443559246847,,
V3v_rh_subj03,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.38669008252428144,,0.047368542918188365,0.08729276928484216,,
OPA_rh_subj03,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.26875759699554913,,0.02304854492285923,0.041523363628709155,,
OPA_lh_subj03,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.17577216053994238,,0.015629065881688612,0.022235876384101315,,
hV4_lh_subj03,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.2424289654802129,,0.0369996531327736,0.047973574772198775,,
V2d_rh_subj03,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.36670651984736896,,0.011607405118193736,0.03985591559385892,,
V3d_rh_subj03,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.25171969926957855,,0.055744660152800225,0.06205703806204464,,
OFA_rh_subj03,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.11576449634017871,,0.10115145878960095,0.03991214867778549,,
EBA_rh_subj03,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.11114881409625088,,0.027827692605811093,0.01893902496047179,,
V1v_lh_subj03,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.6200262866004422,,0.0002748569397366079,0.010281417537223631,,
V1v_rh_subj03,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.5635898549025199,,0.0016920016770417847,0.02321214240526185,,
mfs-words_lh_subj03,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.2706176109674862,,0.03280905861376406,0.05026306641830055,,
OWFA_lh_subj03,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.3664446764234823,,0.025472759163420018,0.05963057472957464,,
hV4_rh_subj03,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.30508912529420945,,0.0318014624903847,0.05574492127251888,,
EBA_lh_subj03,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.08583628135467085,,0.03291754990606995,0.015970460092161087,,
V2v_lh_subj03,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.5322054890638691,,0.008008343021625215,0.04791499234792393,,
FFA-1_lh_subj03,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.1938256932594703,,0.040129976414108814,0.040043497844494944,,
VWFA-2_lh_subj03,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.17663942432651916,,0.23220506311137476,0.10422674724745111,,
FFA-2_rh_subj03,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.1268971721698163,,0.49129369962733016,0.1518597845146393,,
V2d_lh_subj03,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.38203446190871726,,0.018897525823791356,0.05327569401657852,,
OFA_lh_subj03,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.11889891374336103,,0.1009381289032499,0.04094213551120274,,
OWFA_rh_subj03,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.4078884115598495,,0.012046702243535629,0.04517801346777999,,
V1d_lh_subj03,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.5859851463955463,,0.0007580585930978477,0.016143028738926663,,
FFA-1_rh_subj03,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.11005937389872901,,0.02881976106979559,0.019099436725893492,,
PPA_rh_subj03,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.37157614201944517,,0.013387074515461162,0.043429566200594565,,
V2v_rh_subj03,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.39202439181319665,,0.026750535489201616,0.06543817145736362,,
VWFA-1_rh_subj03,backbone.layer1,resnet50_t=0_gs=112_154356d5,-0.03665118537420236,,0.5272447344491606,0.048306777856905625,,
FBA-2_rh_subj03,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.13082619750157867,,0.058798275099727466,0.03320585243851421,,
V1d_rh_subj03,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.6017844037930918,,0.0015284024154826837,0.023553641615627455,,
RSC_lh_subj04,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.11100102620206409,,0.38522714072115105,0.10069582607520342,,
hV4_rh_subj04,backbone.layer1,resnet50_t=0_gs=112_154356d5,0.2413975664559547,,0.08458923715920626,0.07505685994304212,,
